unit_id,region_name,first_year,last_year,year_count,source_data_status,constrains_common_year,selected_common_year,contains_selected_year
EEZ_906,Curaçao (Netherlands),1950,2019,70,available,True,2019,True
EEZ_907,Bonaire (Netherlands),1950,2019,70,available,True,2019,True
EEZ_908,Saba and Sint Eustatius (Netherlands),1950,2019,70,available,True,2019,True
EEZ_909,Sint Maarten (Netherlands),1950,2019,70,available,True,2019,True
EEZ_910,South Orkney Islands (UK),1950,2019,69,available,True,2019,True
EEZ_911,Musandam (Oman),1950,2019,70,available,True,2019,True
EEZ_912,Russia (Kara Sea),1950,2019,70,available,True,2019,True
EEZ_913,Russia (Laptev to Chukchi Sea),1950,2019,70,available,True,2019,True
EEZ_914,Sweden (Baltic),1950,2019,70,available,True,2019,True
EEZ_915,Sweden (West Coast),1950,2019,70,available,True,2019,True
EEZ_916,Yemen (Red Sea),1950,2019,70,available,True,2019,True
EEZ_917,Yemen (Arabian Sea),1950,2019,70,available,True,2019,True
EEZ_918,France (Mediterranean),1950,2019,70,available,True,2019,True
EEZ_919,France (Atlantic Coast),1950,2019,70,available,True,2019,True
EEZ_920,Honduras (Pacific),1950,2019,70,available,True,2019,True
EEZ_921,Honduras (Caribbean),1950,2019,70,available,True,2019,True
EEZ_922,Iran (Persian Gulf),1950,2019,70,available,True,2019,True
EEZ_923,Iran (Sea of Oman),1950,2019,70,available,True,2019,True
EEZ_924,Canada (Arctic),1950,2019,70,available,True,2019,True
EEZ_925,Canada (Pacific),1950,2019,70,available,True,2019,True
EEZ_926,Canada (East Coast),1950,2019,70,available,True,2019,True
EEZ_927,Colombia (Caribbean),1950,2019,70,available,True,2019,True
EEZ_928,Colombia (Pacific),1950,2019,70,available,True,2019,True
EEZ_929,Costa Rica (Caribbean),1950,2019,70,available,True,2019,True
EEZ_930,Costa Rica (Pacific),1950,2019,70,available,True,2019,True
EEZ_931,Denmark (Baltic Sea),1950,2019,70,available,True,2019,True
EEZ_932,Denmark (North Sea),1950,2019,70,available,True,2019,True
EEZ_933,Egypt (Mediterranean),1950,2019,70,available,True,2019,True
EEZ_934,Egypt (Red Sea),1950,2019,70,available,True,2019,True
EEZ_935,Guatemala (Caribbean),1950,2019,70,available,True,2019,True
EEZ_936,Guatemala (Pacific),1950,2019,70,available,True,2019,True
EEZ_937,Indonesia (Central),1950,2019,70,available,True,2019,True
EEZ_938,Indonesia (Indian Ocean),1950,2019,70,available,True,2019,True
EEZ_939,Israel (Mediterranean),1950,2019,70,available,True,2019,True
EEZ_940,Israel (Red Sea),1950,2019,70,available,True,2019,True
EEZ_941,Kiribati (Gilbert Islands),1950,2019,70,available,True,2019,True
EEZ_942,Kiribati (Line Islands),1950,2019,70,available,True,2019,True
EEZ_943,Kiribati (Phoenix Islands),1950,2019,70,available,True,2019,True
EEZ_944,Mexico (Atlantic),1950,2019,70,available,True,2019,True
EEZ_945,Mexico (Pacific),1950,2019,70,available,True,2019,True
EEZ_946,Morocco (Central),1950,2019,70,available,True,2019,True
EEZ_947,Morocco (Mediterranean),1950,2019,70,available,True,2019,True
EEZ_948,Morocco (South),1950,2019,70,available,True,2019,True
EEZ_949,Nicaragua (Caribbean),1950,2019,70,available,True,2019,True
EEZ_950,Nicaragua (Pacific),1950,2019,70,available,True,2019,True
EEZ_951,Panama (Caribbean),1950,2019,70,available,True,2019,True
EEZ_952,Panama (Pacific),1950,2019,70,available,True,2019,True
EEZ_953,South Africa (Atlantic and Cape),1950,2019,70,available,True,2019,True
EEZ_954,South Africa (Indian Ocean Coast),1950,2019,70,available,True,2019,True
EEZ_956,Thailand (Andaman Sea),1950,2019,70,available,True,2019,True
EEZ_957,Thailand (Gulf of Thailand),1950,2019,70,available,True,2019,True
EEZ_958,"USA (Alaska, Arctic)",1950,2019,70,available,True,2019,True
EEZ_959,"USA (Alaska, Subarctic)",1950,2019,70,available,True,2019,True
EEZ_962,"Spain (mainland, Med and Gulf of Cadiz)",1950,2019,70,available,True,2019,True
EEZ_963,Spain (Northwest),1950,2019,70,available,True,2019,True
EEZ_966,Turkey (Marmara Sea),1950,2019,70,available,True,2019,True
EEZ_967,Aruba (Netherlands),1950,2019,70,available,True,2019,True
EEZ_968,United Arab Emirates (Fujairah),1950,2019,70,available,True,2019,True
EEZ_969,Fernando de Noronha (Brazil),1950,2019,70,available,True,2019,True
EEZ_970,St Paul and St. Peter Archipelago (Brazil),1950,2019,70,available,True,2019,True
EEZ_971,Japan (Ogasawara Islands),1950,2019,70,available,True,2019,True
EEZ_972,Glorieuse Islands (France),1950,2019,61,available,True,2019,True
EEZ_973,"Korea (North, Yellow Sea)",1950,2019,70,available,True,2019,True
EEZ_974,"Korea (North, Sea of Japan)",1950,2019,70,available,True,2019,True
EEZ_977,Yemen (Socotra),1950,2019,70,available,True,2019,True
