unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
EEZ_328,Guyana,eez,2019,365,73,57488.0008723285,57488.0008723285,0.0,True,available
EEZ_332,Haiti,eez,2019,283,57,25123.669954393197,25123.669954393197,0.0,True,available
EEZ_334,Heard & McDonald Isl. (Australia),eez,2019,107,33,4250.4902151652,4250.4902151652,0.0,True,available
EEZ_344,Hong Kong (China),eez,2019,1163,49,13460.850930421202,13460.850930421202,0.0,True,available
EEZ_352,Iceland,eez,2019,1559,79,755890.0550702653,755890.0550702653,0.0,True,available
EEZ_356,India (mainland),eez,2019,1107,151,4344032.198932858,4344032.198932858,0.0,True,available
EEZ_357,Andaman & Nicobar Isl. (India),eez,2019,813,90,61303.310995657004,61303.310995657,-7.275957614183426e-12,True,available
EEZ_361,Indonesia (Eastern),eez,2019,2338,146,3382553.534088444,3382553.534088444,0.0,True,available
EEZ_368,Iraq,eez,2019,308,50,17378.277221609,17378.277221609,0.0,True,available
EEZ_372,Ireland,eez,2019,4513,287,408364.4619338021,408364.46193380206,-5.820766091346741e-11,True,available
EEZ_380,Italy (mainland),eez,2019,2091,159,234477.5946714614,234477.59467146138,-2.9103830456733704e-11,True,available
EEZ_384,Côte d'Ivoire / Ivory coast,eez,2019,896,194,239562.6386320301,239562.63863203008,-2.9103830456733704e-11,True,available
EEZ_388,Jamaica,eez,2019,139,58,24803.119502512003,24803.119502512003,0.0,True,available
EEZ_390,Japan (main isl.),eez,2019,2277,178,5962290.328495037,5962290.328495037,0.0,True,available
EEZ_393,Daito Isl. (Japan),eez,2019,222,29,17808.098251388197,17808.0982513882,3.637978807091713e-12,True,available
EEZ_396,Johnston Atoll (USA),eez,2019,116,19,308.2979479216999,308.29794792170003,1.1368683772161603e-13,True,available
EEZ_400,Jordan,eez,2019,19,12,387.759999999,387.759999999,0.0,True,available
EEZ_404,Kenya,eez,2019,466,120,30334.3358525884,30334.3358525884,0.0,True,available
