unit_id,sau_region_id,catch_csv,data_version,csv_bytes,empty_catch_csv,source_url
EEZ_242,242,SAU EEZ 242 v50-1.csv,50.1,6163399,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=242
EEZ_246,246,SAU EEZ 246 v50-1.csv,50.1,26395862,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=246
EEZ_251,251,SAU EEZ 251 v50-1.csv,50.1,1385367,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=251
EEZ_252,252,SAU EEZ 252 v50-1.csv,50.1,585553,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=252
EEZ_254,254,SAU EEZ 254 v50-1.csv,50.1,2313659,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=254
EEZ_258,258,SAU EEZ 258 v50-1.csv,50.1,4817554,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=258
EEZ_262,262,SAU EEZ 262 v50-1.csv,50.1,3017095,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=262
EEZ_266,266,SAU EEZ 266 v50-1.csv,50.1,10431275,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=266
EEZ_268,268,SAU EEZ 268 v50-1.csv,50.1,6639470,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=268
EEZ_270,270,SAU EEZ 270 v50-1.csv,50.1,12142723,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=270
EEZ_274,274,SAU EEZ 274 v50-1.csv,50.1,2378032,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=274
EEZ_277,277,SAU EEZ 277 v50-1.csv,50.1,43908435,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=277
EEZ_278,278,SAU EEZ 278 v50-1.csv,50.1,34436331,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=278
EEZ_288,288,SAU EEZ 288 v50-1.csv,50.1,6536944,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=288
EEZ_300,300,SAU EEZ 300 v50-1.csv,50.1,24023804,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=300
EEZ_304,304,SAU EEZ 304 v50-1.csv,50.1,15821651,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=304
EEZ_308,308,SAU EEZ 308 v50-1.csv,50.1,3228300,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=308
EEZ_312,312,SAU EEZ 312 v50-1.csv,50.1,977496,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=312
EEZ_316,316,SAU EEZ 316 v50-1.csv,50.1,4639766,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=316
EEZ_324,324,SAU EEZ 324 v50-1.csv,50.1,13232660,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=324
EEZ_328,328,SAU EEZ 328 v50-1.csv,50.1,4100738,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=328
EEZ_332,332,SAU EEZ 332 v50-1.csv,50.1,4660413,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=332
EEZ_334,334,SAU EEZ 334 v50-1.csv,50.1,506526,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=334
EEZ_344,344,SAU EEZ 344 v50-1.csv,50.1,21361742,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=344
EEZ_352,352,SAU EEZ 352 v50-1.csv,50.1,22457010,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=352
EEZ_356,356,SAU EEZ 356 v50-1.csv,50.1,15812639,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=356
EEZ_357,357,SAU EEZ 357 v50-1.csv,50.1,13557707,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=357
EEZ_361,361,SAU EEZ 361 v50-1.csv,50.1,34103453,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=361
EEZ_368,368,SAU EEZ 368 v50-1.csv,50.1,4083915,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=368
EEZ_372,372,SAU EEZ 372 v50-1.csv,50.1,41483903,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=372
EEZ_380,380,SAU EEZ 380 v50-1.csv,50.1,30345100,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=380
EEZ_384,384,SAU EEZ 384 v50-1.csv,50.1,10830723,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=384
EEZ_388,388,SAU EEZ 388 v50-1.csv,50.1,3004861,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=388
EEZ_390,390,SAU EEZ 390 v50-1.csv,50.1,27885450,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=390
EEZ_393,393,SAU EEZ 393 v50-1.csv,50.1,4170751,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=393
EEZ_396,396,SAU EEZ 396 v50-1.csv,50.1,1593179,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=396
EEZ_400,400,SAU EEZ 400 v50-1.csv,50.1,499963,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=400
EEZ_404,404,SAU EEZ 404 v50-1.csv,50.1,6596788,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=404
EEZ_410,410,SAU EEZ 410 v50-1.csv,50.1,23655848,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=410
EEZ_414,414,SAU EEZ 414 v50-1.csv,50.1,2287572,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=414
EEZ_422,422,SAU EEZ 422 v50-1.csv,50.1,4497901,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=422
EEZ_428,428,SAU EEZ 428 v50-1.csv,50.1,24672239,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=428
EEZ_430,430,SAU EEZ 430 v50-1.csv,50.1,19540975,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=430
EEZ_434,434,SAU EEZ 434 v50-1.csv,50.1,12050817,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=434
EEZ_440,440,SAU EEZ 440 v50-1.csv,50.1,22993020,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=440
EEZ_450,450,SAU EEZ 450 v50-1.csv,50.1,18974988,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=450
EEZ_459,459,SAU EEZ 459 v50-1.csv,50.1,52242170,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=459
EEZ_460,460,SAU EEZ 460 v50-1.csv,50.1,53119236,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=460
EEZ_461,461,SAU EEZ 461 v50-1.csv,50.1,46996986,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=461
EEZ_462,462,SAU EEZ 462 v50-1.csv,50.1,3098271,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=462
EEZ_463,463,SAU EEZ 463 v50-1.csv,50.1,44997645,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=463
EEZ_470,470,SAU EEZ 470 v50-1.csv,50.1,14772829,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=470
EEZ_474,474,SAU EEZ 474 v50-1.csv,50.1,1498056,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=474
EEZ_478,478,SAU EEZ 478 v50-1.csv,50.1,47330864,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=478
EEZ_480,480,SAU EEZ 480 v50-1.csv,50.1,6472584,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=480
EEZ_488,488,SAU EEZ 488 v50-1.csv,50.1,2561041,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=488
EEZ_500,500,SAU EEZ 500 v50-1.csv,50.1,5472428,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=500
EEZ_508,508,SAU EEZ 508 v50-1.csv,50.1,7776947,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=508
EEZ_512,512,SAU EEZ 512 v50-1.csv,50.1,7321234,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=512
EEZ_516,516,SAU EEZ 516 v50-1.csv,50.1,3539270,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=516
EEZ_520,520,SAU EEZ 520 v50-1.csv,50.1,4225247,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=520
EEZ_528,528,SAU EEZ 528 v50-1.csv,50.1,42175613,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=528
EEZ_540,540,SAU EEZ 540 v50-1.csv,50.1,3986009,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=540
EEZ_548,548,SAU EEZ 548 v50-1.csv,50.1,5766439,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=548
EEZ_554,554,SAU EEZ 554 v50-1.csv,50.1,52205032,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=554
EEZ_555,555,SAU EEZ 555 v50-1.csv,50.1,2111385,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=555
