unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_234,Faeroe Isl. (Denmark),EEZ,2019,573325.9947069994,573325.9947069994,0.0,1.0,104,104,566189494.4616262,566189494.4616263,566189494.4616263,553973447.5587559,555775924.898848,0.008521537552278888,31,0.7239259513651071
EEZ_459,Malaysia (Peninsula West),EEZ,2019,1109839.2864373184,1109839.2864373184,0.0,1.0,153,153,545876685.8837115,545876685.8837115,545876685.8837115,319692799.8992253,384466587.7167525,0.00821581594708813,32,0.7321417673121952
EEZ_948,Morocco (South),EEZ,2019,1708699.3094834066,1708699.3094834066,0.0,1.0,227,227,544607108.7029006,544607108.7029005,544607108.7029006,482639968.63426256,501100754.66269565,0.008196707945742955,33,0.7403384752579382
EEZ_516,Namibia,EEZ,2019,687243.3923951921,687243.3923951921,0.0,1.0,57,57,508372691.890099,508372691.890099,508372691.890099,462452298.54250896,468456450.4418779,0.007651355291595216,34,0.7479898305495334
EEZ_923,Iran (Sea of Oman),EEZ,2019,367466.85709092283,367466.85709092283,0.0,1.0,152,152,498970402.0793729,498970402.0793729,498970402.07937294,413435716.0336292,456002816.85696054,0.00750984442556317,35,0.7554996749750965
EEZ_922,Iran (Persian Gulf),EEZ,2019,441683.33469723596,441683.33469723596,0.0,1.0,165,165,497624044.3117129,497624044.3117129,497624044.311713,340296999.4360813,415369783.1834287,0.00748958082408673,36,0.7629892557991833
EEZ_372,Ireland,EEZ,2019,408364.4619338022,408364.4619338022,0.0,1.0,287,287,466342206.9327241,466342206.932724,466342206.9327239,432788434.38743633,451061367.4826854,0.0070187678638731045,37,0.7700080236630563
EEZ_461,Malaysia (Sabah),EEZ,2019,490558.95726488077,490558.95726488077,0.0,1.0,114,114,463737305.0889255,463737305.0889254,463737305.0889255,285551030.0534761,356452083.706455,0.0069795623167920205,38,0.7769875859798484
EEZ_953,South Africa (Atlantic and Cape),EEZ,2019,649172.6258836817,649172.6258836817,0.0,1.0,100,100,448581864.5071265,448581864.50712657,448581864.5071266,411561111.14749527,418059191.08651906,0.006751462612890001,39,0.7837390485927384
EEZ_798,Tuvalu,EEZ,2019,145109.2872791087,145109.2872791087,0.0,1.0,46,46,371273439.1947608,371273439.19476074,371273439.1947607,368772891.9813164,368904353.60025245,0.005587918153215251,40,0.7893269667459536
EEZ_050,Bangladesh,EEZ,2019,1114582.7199230574,1114582.7199230574,0.0,1.0,116,116,360072715.7005182,360072715.70051813,360072715.70051813,234022123.55637613,281557475.2599753,0.005419339635241089,41,0.7947463063811947
EEZ_926,Canada (East Coast),EEZ,2019,694924.7188260402,694924.7188260402,0.0,1.0,112,112,358887702.9263927,358887702.9263926,358887702.9263927,290071601.88415486,309167083.59283483,0.0054015043858176735,42,0.8001478107670124
EEZ_152,Chile (mainland),EEZ,2019,1654215.540126388,1654215.540126388,0.0,1.0,129,129,345575776.78016967,345575776.7801696,345575776.7801696,255387213.71260306,286243706.13320345,0.00520115082988307,43,0.8053489615968955
EEZ_324,Guinea,EEZ,2019,1012636.6535959236,1012636.6535959236,0.0,1.0,201,201,336296938.66161853,336296938.66161853,336296938.66161853,281411632.6133717,275820022.72623754,0.0050614979959075195,44,0.810410459592803
EEZ_917,Yemen (Arabian Sea),EEZ,2019,324367.1527000878,324367.1527000878,0.0,1.0,49,49,331675839.9836948,331675839.9836948,331675839.9836948,309304483.70174855,320546355.1211275,0.004991947313138038,45,0.815402406905941
EEZ_460,Malaysia (Peninsula East),EEZ,2019,493489.5345653823,493489.5345653823,0.0,1.0,157,157,326099085.0836484,326099085.08364826,326099085.0836483,222182994.882375,249715851.01259753,0.004908013353279266,46,0.8203104202592203
EEZ_288,Ghana,EEZ,2019,476804.00802107295,476804.00802107295,0.0,1.0,103,103,324126100.9393173,324126100.93931735,324126100.9393173,238206610.9968188,274662612.9582115,0.004878318598006643,47,0.825188738857227
EEZ_946,Morocco (Central),EEZ,2019,947648.9249708244,947648.9249708244,0.0,1.0,232,232,316140800.3054868,316140800.30548686,316140800.3054869,273451584.58033705,292387446.856549,0.0047581343842706975,48,0.8299468732414976
EEZ_956,Thailand (Andaman Sea),EEZ,2019,421454.11553944217,421454.11553944217,0.0,1.0,69,69,313495011.23728895,313495011.237289,313495011.23728895,224493243.41878027,252670912.2626254,0.004718313456612024,49,0.8346651866981096
EEZ_944,Mexico (Atlantic),EEZ,2019,513071.273739008,513071.273739008,0.0,1.0,103,103,306325336.4678513,306325336.46785116,306325336.4678512,202344282.69585595,247367572.20925406,0.004610404967699696,50,0.8392755916658093
EEZ_090,Solomon Isl.,EEZ,2019,142760.9815038889,142760.9815038889,0.0,1.0,52,52,304737248.27830005,304737248.27830005,304737248.27830005,300385320.9573925,299782267.2557317,0.004586503158718835,51,0.8438620948245282
EEZ_566,Nigeria,EEZ,2019,532269.8890131604,532269.8890131604,0.0,1.0,77,77,304675912.1204597,304675912.12045956,304675912.12045956,229015816.3190449,277012116.7712002,0.004585580007764142,52,0.8484476748322923
EEZ_852,USA (Gulf of Mexico),EEZ,2019,1104194.026503118,1104194.026503118,0.0,1.0,375,375,288829700.6693002,288829700.6693001,288829700.6693002,184927147.1340163,242453427.13459975,0.004347083731758868,53,0.8527947585640512
EEZ_925,Canada (Pacific),EEZ,2019,198174.6028298108,198174.6028298108,0.0,1.0,26,26,276796938.98617065,276796938.98617065,276796938.98617065,259836362.681948,260822475.22653812,0.004165982472298179,54,0.8569607410363493
EEZ_942,Kiribati (Line Islands),EEZ,2019,110424.34936910501,110424.34936910501,0.0,1.0,40,40,275077618.8439184,275077618.8439183,275077618.8439183,272099013.98385066,271544337.2471547,0.004140105533040372,55,0.8611008465693898
EEZ_686,Senegal,EEZ,2019,542145.3642563997,542145.3642563997,0.0,1.0,256,256,263403378.0497803,263403378.0497803,263403378.04978034,223582525.0829516,222639224.56650266,0.003964400257165925,56,0.8650652468265557
EEZ_645,Russia (Barents Sea),EEZ,2019,257638.50382026174,257638.50382026174,0.0,1.0,86,86,256304293.92408934,256304293.92408934,256304293.92408934,248417328.29440054,236031062.5418131,0.0038575542055248823,57,0.8689228010320805
