taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Centrolophidae,Small Benthopelagics,1.000000,single,low,1365.475,106.362581,735.919846,94.203452,274.118485,1003.748472,1056.007849,1032.775676,1426.864607,1426.864607,1426.864607,914.129060,345.870401,1426.864607,1426.864607,914.129060,914.129060,345.870401,345.870401,967.877402,1512.932250
Lethrinus harak,Med Benthic Carnivores,1.000000,single,medium,1213.476,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
Inermiidae,Small Benthopelagics,1.000000,single,low,1170.869,106.362581,735.919846,94.203452,274.118485,1003.748472,1056.007849,1032.775676,1426.864607,1426.864607,1426.864607,914.129060,345.870401,1426.864607,1426.864607,914.129060,914.129060,345.870401,345.870401,967.877402,1512.932250
Epinephelus fuscoguttatus,Large Benthic Carnivores,1.000000,single,high,1143.161,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Octopodidae,Cephalopods,1.000000,single,high,1121.42,106.362581,1254.312676,135.996248,384.963959,1331.752693,1334.257295,1300.900862,2933.853362,2933.853362,2933.853362,1771.038680,582.871532,2933.853362,2933.853362,1771.038680,1771.038680,582.871532,582.871532,1875.159902,3182.729383
Ferdauia orthogrammus,Med Benthic Carnivores,1.000000,single,low,1097.73,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
Makaira,Unresolved,,,unresolved,1056.261,,,,,,,,,,,,,,,,,,,,
Ephippidae,Unresolved,,,unresolved,1017.089,,,,,,,,,,,,,,,,,,,,
Cephalopholis miniata,Large Benthic Carnivores,1.000000,single,medium,977.987,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Epinephelus fasciatus,Large Benthic Carnivores,1.000000,single,high,958.118,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Cephalopholis,Large Benthic Carnivores,1.000000,single,high,957.904,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Ablennes hians,Unresolved,,,unresolved,947.754,,,,,,,,,,,,,,,,,,,,
Seriola,Large Benthopelagics,1.000000,single,low,936.569,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
Octopoda,Cephalopods,1.000000,single,high,919.627,106.362581,1254.312676,135.996248,384.963959,1331.752693,1334.257295,1300.900862,2933.853362,2933.853362,2933.853362,1771.038680,582.871532,2933.853362,2933.853362,1771.038680,1771.038680,582.871532,582.871532,1875.159902,3182.729383
Scomberomorus lineolatus,Large Pelagics,1.000000,single,high,859.85,106.362581,1182.417917,130.579526,655.098468,848.885192,883.261112,865.595889,1961.116323,1961.116323,1961.116323,1097.797369,300.803420,1961.116323,1961.116323,1097.797369,1097.797369,300.803420,300.803420,1217.954801,2161.079709
Gymnosarda unicolor,Tunas,1.000000,single,medium,859.668,106.362581,1377.951482,145.091076,354.016089,804.627355,818.101111,575.125081,970.782826,970.782826,970.782826,487.056907,182.863315,970.782826,970.782826,487.056907,487.056907,182.863315,182.863315,515.927281,1005.016370
Scolopsis,Small Benthic Carnivores,1.000000,single,high,851.321,106.362581,47.875255,14.351766,47.936313,123.682770,123.682770,121.085432,160.705061,160.705061,160.705061,86.695750,48.551122,160.705061,160.705061,86.695750,86.695750,48.551122,48.551122,90.594542,174.303817
Berycidae,Unresolved,,,unresolved,850.683,,,,,,,,,,,,,,,,,,,,
Aluterus monoceros,Unresolved,,,unresolved,816.494,,,,,,,,,,,,,,,,,,,,
Caranx lugubris,Large Benthopelagics,1.000000,single,low,763.41,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
Aphareus rutilans,Large Benthic Carnivores,1.000000,single,medium,739.554,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Macolor niger,Large Benthic Carnivores,1.000000,single,medium,725.062,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Macolor macularis,Large Benthic Carnivores,1.000000,single,medium,665.967,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Sillago,Small Benthic Carnivores,1.000000,single,medium,645.087,106.362581,47.875255,14.351766,47.936313,123.682770,123.682770,121.085432,160.705061,160.705061,160.705061,86.695750,48.551122,160.705061,160.705061,86.695750,86.695750,48.551122,48.551122,90.594542,174.303817
Rhincodon typus,Sharks,1.000000,single,high,616.106,106.362581,2569.289220,222.822151,1308.685037,1955.186859,2007.418175,1423.259486,3930.042293,3930.042293,3930.042293,1585.345045,411.268522,3930.042293,3930.042293,1585.345045,1585.345045,411.268522,411.268522,1727.014600,4280.685883
Penaeus indicus,Shrimps,1.000000,single,high,580.951,106.362581,102.724644,24.278186,49.254496,47.332503,47.332503,46.385853,49.861086,49.861086,49.861086,41.277787,24.793452,49.861086,49.861086,41.277787,41.277787,24.793452,24.793452,42.884683,51.839308
Nemipterus randalli,Small Benthic Carnivores,1.000000,single,high,523.825,106.362581,47.875255,14.351766,47.936313,123.682770,123.682770,121.085432,160.705061,160.705061,160.705061,86.695750,48.551122,160.705061,160.705061,86.695750,86.695750,48.551122,48.551122,90.594542,174.303817
Aethaloperca rogaa,Large Benthic Carnivores,1.000000,single,medium,520.786,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Plotosidae,Benthic Omnivores,1.000000,single,high,506.955,106.362581,34.853983,11.533933,23.954598,122.110584,122.110584,119.668372,234.326211,234.326211,234.326211,32.574396,28.191927,234.326211,234.326211,32.574396,32.574396,28.191927,28.191927,33.183579,263.249625
Elagatis bipinnulata,Large Benthopelagics,1.000000,single,low,501.236,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
Malacostraca,Crabs & Lobster | Shrimps | Benthic Omnivores | Heterotrophic Benthos,0.075579 | 0.558976 | 0.165769 | 0.199676,catch_composition,low,484.839,106.362581,72.878018,18.533766,37.212199,77.318285,77.318285,54.573151,127.659404,127.659404,127.659404,35.209948,23.940053,127.659404,127.659404,35.209948,35.209948,23.940053,23.940053,36.489895,139.929651
