system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,328,Guyana,138706.6463652489,139074.17546395524,100.26496862863986,common mask,1,65008608.50339978,65588161.337371856,65588161.337371856,65008608.50339978,65008608.50339978,65008608.50339978,65008608.50339978,65008608.50339978,,,Antoine-Morel,Antoine-Morel,1284.0464490262905
EEZ,eez,332,Haiti,116429.13471107198,117330.33037384762,100.77402933983151,common mask,1,18487760.062198307,18681731.55250493,18681731.55250493,18487760.062198307,18487760.062198307,18487760.062198307,18487760.062198307,18487760.062198307,,,Antoine-Morel,Antoine-Morel,435.0405725884308
EEZ,eez,344,Hong Kong (China),1819.0966986733629,1942.8484116600948,106.80292109138465,common mask,1,1486318.254459115,1583316.6815070775,1583316.6815070775,1486318.254459115,1486318.254459115,1486318.254459115,1486318.254459115,1486318.254459115,,,Antoine-Morel,Antoine-Morel,2238.5312499918336
EEZ,eez,352,Iceland,787782.8871438863,789408.2385371883,100.20631971318834,common mask,1,102946226.5276103,98761411.66359684,98761411.66359684,102946226.5276103,102946226.5276103,102946226.5276103,102946226.5276103,102946226.5276103,,,Antoine-Morel,Antoine-Morel,358.02308077874454
EEZ,eez,356,India (mainland),1654454.0352381498,1657445.0186317859,100.18078371051303,common mask,1,609415356.6519381,611992457.7369248,611992457.7369248,609415356.6519381,609415356.6519381,609415356.6519381,609415356.6519381,609415356.6519381,,,Antoine-Morel,Antoine-Morel,1009.1734666261456
EEZ,eez,357,Andaman & Nicobar Isl. (India),661430.8763589247,662335.2947384052,100.13673664351128,common mask,1,133390216.12666087,133656891.66331026,133656891.66331026,133390216.12666087,133390216.12666087,133390216.12666087,133390216.12666087,133390216.12666087,,,Antoine-Morel,Antoine-Morel,552.5182751281876
EEZ,eez,361,Indonesia (Eastern),3594305.3914701105,3610263.357412152,100.44397913376845,common mask,1,923253803.985456,930969852.4159768,930969852.4159768,923253803.985456,923253803.985456,923253803.985456,923253803.985456,923253803.985456,,,Antoine-Morel,Antoine-Morel,703.7416694405881
EEZ,eez,368,Iraq,1105.1365534187908,1124.5147265324724,101.75346413560699,common mask,1,657127.2928334072,667535.4009042388,667535.4009042388,657127.2928334072,657127.2928334072,657127.2928334072,657127.2928334072,657127.2928334072,,,Antoine-Morel,Antoine-Morel,1629.0735673517677
EEZ,eez,372,Ireland,423973.50034665025,425107.21292634547,100.267401754772,common mask,1,81080110.27591756,80424919.39967047,80424919.39967047,81080110.27591756,81080110.27591756,81080110.27591756,81080110.27591756,81080110.27591756,,,Antoine-Morel,Antoine-Morel,523.9414450326423
EEZ,eez,380,Italy (mainland),311592.3720891105,312859.0592101338,100.40652058088928,common mask,1,53896477.974432305,54349128.18537829,54349128.18537829,53896477.974432305,53896477.974432305,53896477.974432305,53896477.974432305,53896477.974432305,,,Antoine-Morel,Antoine-Morel,473.89344771689883
EEZ,eez,384,Côte d'Ivoire,170130.502356117,170407.50139345703,100.16281562300932,common mask,1,49771059.43750215,49942500.65544616,49942500.65544616,49771059.43750215,49771059.43750215,49771059.43750215,49771059.43750215,49771059.43750215,,,Antoine-Morel,Antoine-Morel,801.4968807100448
EEZ,eez,388,Jamaica,286472.38809782773,286751.31075084565,100.09736458542129,common mask,1,43082471.78144429,43040306.26255121,43040306.26255121,43082471.78144429,43082471.78144429,43082471.78144429,43082471.78144429,43082471.78144429,,,Antoine-Morel,Antoine-Morel,412.0263389011974
EEZ,eez,390,Japan (main islands),2574229.075504188,2580687.9240230503,100.25090418643482,common mask,1,488787605.8162805,488956369.97703385,488956369.97703385,488787605.8162805,488787605.8162805,488787605.8162805,488787605.8162805,488787605.8162805,,,Antoine-Morel,Antoine-Morel,520.2117163025872
EEZ,eez,400,Jordan,82.99637052313219,100.65200682570446,121.27278119668067,common mask,1,24197.12738579726,29332.62765253578,29332.62765253578,24197.12738579726,24197.12738579726,24197.12738579726,24197.12738579726,24197.12738579726,,,Antoine-Morel,Antoine-Morel,798.751792027326
EEZ,eez,404,Kenya,162975.2816702165,163335.8771996313,100.22125780407882,common mask,1,40613873.70155625,40814041.73928455,40814041.73928455,40613873.70155625,40613873.70155625,40613873.70155625,40613873.70155625,40613873.70155625,,,Antoine-Morel,Antoine-Morel,682.7470136160738
EEZ,eez,410,Korea (South),451756.6373150628,453215.5461728096,100.32294132221666,common mask,1,151045784.646699,151972919.48854542,151972919.48854542,151045784.646699,151045784.646699,151045784.646699,151045784.646699,151045784.646699,,,Antoine-Morel,Antoine-Morel,916.0331765897105
EEZ,eez,414,Kuwait,10803.04472656071,10914.213183822876,101.02904745908201,common mask,1,5964667.901446654,6029454.024283674,6029454.024283674,5964667.901446654,5964667.901446654,5964667.901446654,5964667.901446654,5964667.901446654,,,Antoine-Morel,Antoine-Morel,1512.6805736716542
EEZ,eez,422,Lebanon,20109.75282762343,20183.18542873706,100.36515914314353,common mask,1,2756277.8341129012,2771923.037255373,2771923.037255373,2756277.8341129012,2756277.8341129012,2756277.8341129012,2756277.8341129012,2756277.8341129012,,,Antoine-Morel,Antoine-Morel,375.51163286722976
EEZ,eez,428,Latvia,27773.578858221976,27903.497419779498,100.46777753137515,common mask,1,16913525.936683152,15657667.587947369,15657667.587947369,16913525.936683152,16913525.936683152,16913525.936683152,16913525.936683152,16913525.936683152,,,Antoine-Morel,Antoine-Morel,1668.4355826210572
EEZ,eez,430,Liberia,250778.09653424026,251029.56998651518,100.10027727929604,common mask,1,59081417.98596292,59192532.18941235,59192532.18941235,59081417.98596292,59081417.98596292,59081417.98596292,59081417.98596292,59081417.98596292,,,Antoine-Morel,Antoine-Morel,645.4586777261808
EEZ,eez,434,Libya,363335.8737257544,363732.1353837056,100.10906207908619,common mask,1,45965456.71131725,46042495.27294871,46042495.27294871,45965456.71131725,45965456.71131725,45965456.71131725,45965456.71131725,45965456.71131725,,,Antoine-Morel,Antoine-Morel,346.6014980074659
EEZ,eez,440,Lithuania,6908.58753539682,6971.62442511061,100.91244251289882,common mask,1,4297576.092537949,4226825.065949187,4226825.065949187,4297576.092537949,4297576.092537949,4297576.092537949,4297576.092537949,4297576.092537949,,,Antoine-Morel,Antoine-Morel,1704.281955627004
EEZ,eez,450,Madagascar,1238278.524457184,1240266.5596229823,100.16054830367585,common mask,1,234517872.95689562,236068358.00776193,236068358.00776193,234517872.95689562,234517872.95689562,234517872.95689562,234517872.95689562,234517872.95689562,,,Antoine-Morel,Antoine-Morel,518.8773831892998
EEZ,eez,459,Malaysia (Peninsula West),67741.86773765214,68265.1743616725,100.77250102705612,common mask,1,41489727.51500821,41983455.6361372,41983455.6361372,41489727.51500821,41489727.51500821,41489727.51500821,41489727.51500821,41489727.51500821,,,Antoine-Morel,Antoine-Morel,1677.9945717278795
EEZ,eez,460,Malaysia (Peninsula East),132094.38211961047,132588.3865371034,100.373978370288,common mask,1,36921446.93985385,37225895.306148805,37225895.306148805,36921446.93985385,36921446.93985385,36921446.93985385,36921446.93985385,36921446.93985385,,,Antoine-Morel,Antoine-Morel,765.7755578029785
EEZ,eez,461,Malaysia (Sabah),136465.5153698793,137528.4524527384,100.7789052640721,common mask,1,41160999.1116777,42076533.69070042,42076533.69070042,41160999.1116777,41160999.1116777,41160999.1116777,41160999.1116777,41160999.1116777,,,Antoine-Morel,Antoine-Morel,826.3615923355057
EEZ,eez,463,Malaysia (Sarawak),171941.69029595438,172449.8792902977,100.29555891504184,common mask,1,57461859.72849897,58000968.370117,58000968.370117,57461859.72849897,57461859.72849897,57461859.72849897,57461859.72849897,57461859.72849897,,,Antoine-Morel,Antoine-Morel,915.5996571270376
