layer,region_id,title,water_area_km2,common_area_km2,baseline_4km_tC_yr,npp_antoinemorel_tC_yr,npp_vgpm_tC_yr,npp_eppley_tC_yr,npp_cbpm_tC_yr,npp_cafe_tC_yr,ens_median_tC_yr,ens_min_tC_yr,ens_max_tC_yr,spread_pct,cv_pct,model_max,model_min,scaled_antoinemorel_tC_yr,scaled_vgpm_tC_yr,scaled_eppley_tC_yr,scaled_cbpm_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d,own_antoinemorel_tC_yr,own_vgpm_tC_yr,own_eppley_tC_yr,own_cbpm_tC_yr,own_cafe_tC_yr
lme,3,California Current,2208856.785150076,2181580.841878093,375579942.3590312,355338325.30191064,448254123.6133171,302593120.7096424,515068772.49542046,329617363.49995935,355338325.30191064,302593120.7096424,515068772.49542046,59.79530961239536,22.752304184940606,CbPM2,Eppley-VGPM,375579942.3590312,473788628.81127685,319830141.4231261,544409330.7987648,348393802.66304445,375579942.3590312,319830141.4231261,544409330.7987648,465.84556788252274,587.6574011342802,396.69704649663413,675.2508461276099,432.12560241880794,378905502.83220065,465086103.1675743,315591790.8389783,524679255.6051818,330865033.22744876
lme,4,Gulf of California,219625.97215051652,196847.990563268,101064972.43669356,82403701.41240296,73122708.70891982,89182396.17849551,88386576.63328016,41718488.9846364,82403701.41240296,41718488.9846364,89182396.17849551,57.59924175774354,26.228635923013858,Eppley-VGPM,CAFE,101064972.43669356,89682191.61877394,109378781.01506388,108402738.93172047,51166123.20885589,101064972.43669356,51166123.20885589,109378781.01506388,1260.7358443619523,1118.7412497989735,1364.4465190418557,1352.270873905777,638.2722321212857,102864545.80712546,81073726.86993214,99510250.08654866,94373351.41511495,43232004.003112085
lme,5,Gulf of Mexico,1529505.5679570364,1482694.777784985,489575816.2454212,429974890.9755587,360981063.453926,551304488.5720587,437350879.2289098,237622673.56944314,429974890.9755587,237622673.56944314,551304488.5720587,72.95351928362868,28.535640597665623,Eppley-VGPM,CAFE,489575816.2454212,411018416.42106915,627723503.5284245,497974226.3515505,270560716.0158388,489575816.2454212,270560716.0158388,627723503.5284245,876.9524179917964,736.2365177346253,1124.4093886646965,891.9960655852158,484.6417372968036,494386714.975985,384145788.36090344,590212008.2360647,450489277.5693972,241264138.44041225
lme,6,Southeast U.S. Continental Shelf,299409.8995652856,283433.869562087,84469091.1326702,71789606.44541201,68054419.82805786,90287257.58036156,84473488.50409906,45145701.83737457,71789606.44541201,45145701.83737457,90287257.58036156,62.88034992546186,24.339924393546248,Eppley-VGPM,CAFE,84469091.1326702,80074195.62619145,106233798.54399282,99393201.21740723,53119338.46091253,84469091.1326702,53119338.46091253,106233798.54399282,772.9275746151693,732.7124393632183,972.083766377909,909.4894347749749,486.0642027895053,85778442.62292628,74383309.64568065,99053522.0509722,87352863.40018585,46611910.53696517
lme,7,Northeast U.S. Continental Shelf,313287.5871178977,280804.3761882136,148365672.37021258,113589799.85592501,135241661.99762207,110233049.1970449,132394418.90656976,60216383.61954967,113589799.85592501,60216383.61954967,135241661.99762207,66.04930942147354,27.3008547722167,VGPM,CAFE,148365672.37021258,176646319.82970783,143981241.997806,172927384.36066723,78651817.81065643,148365672.37021258,78651817.81065643,176646319.82970783,1297.4701548325222,1544.786770946225,1259.1279462659472,1512.2643707053653,687.8166937296203,152567109.4060231,155024882.64243832,130251544.7734788,137752868.13448876,62160261.315767005
lme,8,Scotian Shelf,280726.9109772192,225317.9289380601,88384461.77432844,73963040.54786614,94349673.77913333,70256205.96962364,87166557.16560546,44656142.605907716,73963040.54786614,44656142.605907716,94349673.77913333,67.18697717823784,25.812447438427238,VGPM,CAFE,88384461.77432844,112746110.40571606,83954863.19836934,104162419.26692316,53363262.24428966,88384461.77432844,53363262.24428966,112746110.40571606,862.5792571780769,1100.3343145517385,819.3490357959105,1016.5626449877951,520.7933858872902,86952625.20423028,105298320.08292098,79052382.52828874,90007521.44774884,46553607.15847299
lme,9,Newfoundland-Labrador Shelf,891086.1650069747,531567.9094457079,161592979.84871426,136221125.41167906,156831255.27622753,113857769.09303355,199296481.31655055,120220594.76843868,136221125.41167906,113857769.09303355,199296481.31655055,62.72060369880913,23.715425857771475,CbPM2,Eppley-VGPM,161592979.84871426,186041847.74505764,135064338.45019978,236416430.94620836,142612271.69505662,161592979.84871426,135064338.45019978,236416430.94620836,496.83241657414595,572.0027001521488,415.2676788807607,726.8839699274473,438.47449094458557,154922010.0444405,169557447.0402681,123484806.7137903,205366517.91803914,123570283.734676
lme,10,Insular Pacific-Hawaiian,981510.2904000472,974393.2716283976,106878082.28198951,105878479.572701,72716771.65890892,85938343.5006708,106726597.14051181,137285978.69415987,105878479.572701,72716771.65890892,137285978.69415987,60.9842597814363,24.07093825381561,CAFE,VGPM,106878082.28198951,73403293.43608508,86749690.63506229,107734206.95966816,138582100.78435078,106878082.28198951,73403293.43608508,138582100.78435078,298.3327496922375,204.89333172610318,242.14762455997283,300.7224822147333,386.82935081151936,106982052.8103644,73203426.86570856,86592271.26289928,107411023.20352882,137542100.10012066
lme,11,Pacific Central-American Coastal,1979113.3338069024,1929871.0281111978,537106323.0543703,498298207.3905572,349179441.057896,594543681.9723225,535865298.79683125,413246248.2044339,498298207.3905572,349179441.057896,594543681.9723225,49.240442224211,20.416053528553757,Eppley-VGPM,VGPM,537106323.0543703,376373992.3025474,640847520.9887187,577599188.639288,445430406.124522,537106323.0543703,376373992.3025474,640847520.9887187,743.5269863606875,521.0220178564637,887.1379939968152,799.5820671243048,616.6181876538014,542212364.3998487,361606427.17309123,620309678.3545953,552033710.1433716,417735078.11795175
lme,12,Caribbean Sea,3256743.865658188,3116917.081928716,784221591.4402995,677421862.5201514,431138336.2427741,766085167.6192708,695398499.6479952,465326718.087827,677421862.5201514,431138336.2427741,766085167.6192708,49.44434921695976,24.58209978083678,Eppley-VGPM,VGPM,784221591.4402995,499109950.36593395,886863212.6724751,805032356.1308517,538688341.1777576,784221591.4402995,499109950.36593395,886863212.6724751,659.7240661054155,419.8747515792579,746.0710226927462,677.2310596009642,453.1699543654124,791155395.9577057,455628329.92106736,818253129.2253681,725104389.1160291,471668932.00604165
lme,13,Humboldt Current,2521808.2460855683,2414486.5103973644,681766691.4054654,631874285.9925013,805261417.3856375,612769653.944111,771324642.3787229,622061434.912123,631874285.9925013,612769653.944111,805261417.3856375,30.463617163843715,13.357863312435303,VGPM,Eppley-VGPM,681766691.4054654,868844364.1683447,661153569.34798,832227962.2568568,671179023.63257,681766691.4054654,661153569.34798,868844364.1683447,740.6804034190197,943.9240758944951,718.2860333893118,904.1435297319308,729.1778202976177,686507250.822887,837122949.032507,637094353.505996,788742278.5590148,626828971.7881206
lme,14,Patagonian Shelf,1161272.3836265658,1117737.947347807,440506228.8487485,411903923.3333113,516407794.0955977,387496469.52622104,417482041.49480253,262209534.75891498,411903923.3333113,262209534.75891498,516407794.0955977,61.71299784658431,22.80564185484216,VGPM,CAFE,440506228.8487485,552266771.542926,414403939.3989314,446471687.43313503,280417172.0194281,440506228.8487485,280417172.0194281,552266771.542926,1039.2621037267565,1302.932601684404,977.680408692392,1053.3360818730068,661.5728019911439,440811725.8062189,536218366.1835285,403833514.0514563,424785863.01861143,264007984.57215068
lme,15,South Brazil Shelf,564639.639196335,536705.2705104592,168027504.2872683,139733617.93893817,161178735.08475804,158865368.0385705,157516801.08730757,99754463.62417237,157516801.08730757,99754463.62417237,161178735.08475804,38.995377659136025,18.02536837619686,VGPM,CAFE,168027504.2872683,193814924.4250253,191033136.49879295,189411505.69493002,119953192.44943143,189411505.69493002,119953192.44943143,193814924.4250253,815.2975718631088,940.422450150789,926.9247495730438,919.0563255167802,582.0329651153422,169871321.73065534,184592111.97011924,187682217.69229686,165509241.84939584,101674630.41744724
lme,16,East Brazil Shelf,1076147.3178051102,1054656.1861273283,182572146.52220783,170256937.2197184,107297960.59531045,169085163.9731329,171222731.55569574,186542987.11812282,170256937.2197184,107297960.59531045,186542987.11812282,46.54437452997631,19.137722968491058,CAFE,VGPM,182572146.52220783,115059152.96749693,181315615.30321658,183607799.74079487,200036216.63221046,182572146.52220783,115059152.96749693,200036216.63221046,464.80407787000075,292.9250957185605,461.6051187424262,467.4407113786062,509.26524655297646,183706184.7875813,114763967.22996093,182691179.23440722,174874161.36650312,187616842.89324188
lme,17,North Brazil Shelf,1039824.3758260343,1003333.2524772044,660713247.3672116,598804968.3573015,345100788.0241671,732792233.6479387,446754225.7688785,226878885.91533035,446754225.7688785,226878885.91533035,732792233.6479387,113.24198374663723,42.66649563134758,Eppley-VGPM,CAFE,660713247.3672116,380779509.8125807,808552971.2073212,492942528.6709562,250335073.00949436,492942528.6709562,250335073.00949436,808552971.2073212,1740.8452066918667,1003.2766667009099,2130.3728506906027,1298.8034395115835,659.5820708181299,673016571.2156976,355742506.13576674,759346297.888366,462237158.75179136,227895848.86600634
lme,18,Canadian Eastern Arctic -West Greenland,1323969.525757551,0.0,103287753.96723004,75043203.74139082,100900245.71094678,74566607.17887829,111281760.65960988,89071610.81684531,89071610.81684531,74566607.17887829,111281760.65960988,41.21981531941486,17.833065388926112,CbPM2,Eppley-VGPM,103287753.96723004,138876796.76017222,102631777.32929139,153165677.1432629,122596133.49157731,122596133.49157731,102631777.32929139,153165677.1432629,213.73614902012847,287.38151995431855,212.37871878222575,316.94988744791334,253.69150214613816,84102888.42756371,108131011.27020444,80265486.86173303,119373589.5528477,93759868.95668717
