unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_te005_ppr,rank_global_te005_ppr
LME_037,Sulu-Celebes Sea,LME,2019,1731971.9673227614,1731971.9673227614,0.0,1.0,219,219,8838267718.521158,8838267718.521156,8838267718.52116,5187495221.232809,5814028415.653962,0.01517468570395233,22
LME_029,Benguela Current,LME,2019,1592518.0818040825,1592518.0818040825,0.0,1.0,147,147,8781047731.291618,8781047731.291618,8781047731.29162,7207421422.383103,7592411280.661282,0.015076442999629982,23
LME_002,Gulf of Alaska,LME,2019,1102866.6258441233,1102866.6258441233,0.0,1.0,170,170,8687784363.481363,8687784363.481363,8687784363.481363,4913191920.934804,5024530662.216864,0.014916316339147974,24
LME_046,New Zealand Shelf,LME,2019,431127.77716673305,431127.77716673305,0.0,1.0,197,197,7668472546.823327,7668472546.823326,7668472546.823325,6234766883.899371,6440158608.154922,0.01316622945054912,25
HS_087,"Pacific, Southeast",High Seas,2019,245882.41767354257,245882.41767354257,0.0,1.0,25,25,7106038431.013728,7106038431.013726,7106038431.013726,7057031097.273674,7051365657.04631,0.012200569526183416,26
LME_001,East Bering Sea,LME,2019,1300999.7714510453,1300999.7714510453,0.0,1.0,73,73,6602047764.292208,6602047764.292208,6602047764.292208,4369229292.061231,4837459089.366592,0.011335252904330267,27
LME_011,Pacific Central-American Coastal,LME,2019,1587670.713519913,1587670.713519913,0.0,1.0,270,270,6539180829.861604,6539180829.861604,6539180829.861603,4389895651.54288,5040418638.393685,0.011227314787774209,28
HS_034,"Atlantic, Eastern Central",High Seas,2019,235319.45527268611,235319.45527268611,0.0,1.0,37,37,6241160618.0005455,6241160618.0005455,6241160618.000545,6200922426.252451,6143035123.520142,0.010715634988921778,29
HS_057,"Indian Ocean, Eastern",High Seas,2019,249459.52394633277,249459.52394633277,0.0,1.0,34,34,6135048889.089157,6135048889.089157,6135048889.089157,5868641977.304701,5863592678.686966,0.010533448593689711,30
LME_059,Iceland Shelf and Sea,LME,2019,697974.9116856114,697974.9116856114,0.0,1.0,74,74,6102023191.813018,6102023191.813021,6102023191.813019,5586152010.149883,5358375394.965548,0.010476745788085724,31
LME_020,Barents Sea,LME,2019,675569.0179631643,675569.0179631643,0.0,1.0,138,138,5579801152.326019,5579801152.326019,5579801152.326018,5185614374.12366,4961234720.324261,0.009580127178051344,32
LME_053,West Bering Sea,LME,2019,705687.5220776038,705687.5220776038,0.0,1.0,63,63,4625977209.820812,4625977209.820813,4625977209.820812,2971418411.5394516,2349763349.9485536,0.007942478375663285,33
LME_005,Gulf of Mexico,LME,2019,1549275.8254257175,1549275.8254257175,0.0,1.0,418,418,4420193082.431709,4420193082.431709,4420193082.431709,2150751538.158106,2852658806.2098417,0.007589161463860772,34
LME_030,Agulhas Current,LME,2019,794215.4259763142,794215.4259763142,0.0,1.0,272,272,4271140176.4298186,4271140176.4298186,4271140176.429819,3003502191.1936836,3388628375.305276,0.007333248079714281,35
LME_051,Oyashio Current,LME,2019,1092021.8374498228,1092021.8374498228,0.0,1.0,143,143,4177201013.70978,4177201013.7097797,4177201013.7097797,2652519262.1187143,2760564835.875663,0.007171961126776456,36
LME_060,Faroe Plateau,LME,2019,420222.20101457404,420222.20101457404,0.0,1.0,114,114,4134169544.526112,4134169544.5261126,4134169544.5261126,3974014937.2680984,4028405550.969567,0.007098079112671691,37
LME_007,Northeast U.S. Continental Shelf,LME,2019,700878.7473042159,700878.7473042159,0.0,1.0,232,232,4041020141.543228,4041020141.5432277,4041020141.543227,2432567808.0710974,3129107500.480179,0.0069381481218041075,38
LME_012,Caribbean Sea,LME,2019,625707.9632201534,625707.9632201534,0.0,1.0,507,507,3501525344.1162376,3501525344.1162376,3501525344.1162376,1926141021.3126707,2523240818.4836807,0.006011873398000898,39
LME_025,Iberian Coastal,LME,2019,429516.3330948258,429516.3330948258,0.0,1.0,432,432,3264324211.732907,3264324211.7329073,3264324211.732908,2486804083.4107985,2838459229.2684045,0.0056046156923991826,40
HS_061,"Pacific, Northwest",High Seas,2019,132995.67933726683,132995.67933726683,0.0,1.0,21,21,3014307019.708086,3014307019.7080855,3014307019.7080855,2982422811.7304296,2978536944.5461483,0.005175353711387799,41
LME_017,North Brazil Shelf,LME,2019,453226.03085279715,453226.03085279715,0.0,1.0,311,311,2556403184.537815,2556403184.5378156,2556403184.537815,1317406474.3858385,1714644890.4552777,0.004389164946503235,42
LME_021,Norwegian Sea,LME,2019,707251.5165434971,707251.5165434971,0.0,1.0,162,162,2509115978.30411,2509115978.3041105,2509115978.3041105,2463095664.015684,2410057327.5933967,0.004307976130406305,43
LME_009,Newfoundland-Labrador Shelf,LME,2019,506689.99406100786,506689.99406100786,0.0,1.0,111,111,2226374981.35869,2226374981.358689,2226374981.358689,1667495704.3905146,1904605411.1372721,0.0038225296717888696,44
LME_062,Black Sea,LME,2019,1145168.1859547237,1145168.1859547237,0.0,1.0,120,120,2206940828.0437427,2206940828.0437427,2206940828.043743,1840791746.5603194,1775482294.3446324,0.0037891625937743908,45
LME_031,Somali Coastal Current,LME,2019,237379.07863162042,237379.07863162042,0.0,1.0,205,205,2070391952.970397,2070391952.970397,2070391952.970397,1279105527.2411063,1561343519.880025,0.0035547177536249938,46
LME_015,South Brazil Shelf,LME,2019,292432.0999772061,292432.0999772061,0.0,1.0,264,264,1982704269.602188,1982704269.602188,1982704269.602188,1400431945.4555478,1582894663.20655,0.0034041641522182574,47
LME_018,Canadian Eastern Arctic -West Greenland,LME,2019,219045.62416918142,219045.62416918142,0.0,1.0,61,61,1973019214.6667988,1973019214.6667988,1973019214.666799,1960401610.5096714,1968725219.689779,0.003387535592261642,48
LME_004,Gulf of California,LME,2019,664877.8552277525,664877.8552277525,0.0,1.0,129,129,1948428621.308239,1948428621.3082392,1948428621.3082395,1200518069.7926693,1309573558.1543546,0.0033453152683957025,49
LME_016,East Brazil Shelf,LME,2019,306003.2887419415,306003.2887419415,0.0,1.0,254,254,1769759598.5062199,1769759598.5062196,1769759598.50622,947012664.1411998,1206676130.520165,0.00303855308915425,50
LME_023,Baltic Sea,LME,2019,937172.6469930055,937172.6469930055,0.0,1.0,117,117,1626618648.7283013,1626618648.7283013,1626618648.7283013,1369571377.7898915,1379298307.9671254,0.0027927901191444906,51
HS_041,"Atlantic, Southwest",High Seas,2019,62238.365213295096,62238.365213295096,0.0,1.0,33,33,1594810873.3370414,1594810873.3370414,1594810873.3370416,1569651386.7049327,1563432860.2512712,0.0027381783999845463,52
LME_054,Northern Bering - Chukchi Seas,LME,2019,348828.221273396,348828.221273396,0.0,1.0,93,93,1521808296.592923,1521808296.5929236,1521808296.5929236,1023901755.5046562,861283543.1956842,0.002612838096550514,53
HS_027,"Atlantic, Northeast",High Seas,2019,734932.290461042,734932.290461042,0.0,1.0,131,131,1209283405.217195,1209283405.2171948,1209283405.2171953,1183166686.189144,1204114897.8595164,0.0020762547804160218,54
LME_033,Red Sea,LME,2019,147100.3417814472,147100.3417814472,0.0,1.0,193,193,1036970821.915729,1036970821.915729,1036970821.9157292,559003143.4224215,716847147.2758042,0.0017804061619184862,55
LME_006,Southeast U.S. Continental Shelf,LME,2019,115599.570034811,115599.570034811,0.0,1.0,283,283,992523016.8063041,992523016.8063041,992523016.806304,495078807.027515,818049886.9258182,0.0017040923983794355,56
HS_081,"Pacific, Southwest",High Seas,2019,45252.466822717106,45252.466822717106,0.0,1.0,27,27,934004716.0467415,934004716.0467417,934004716.0467416,868186980.8465496,861271453.4009252,0.0016036205807974829,57
HS_047,"Atlantic, Southeast",High Seas,2019,41830.7267805337,41830.7267805337,0.0,1.0,35,35,928860353.982921,928860353.982921,928860353.9829212,825278543.8193109,821203211.0116924,0.001594788071990104,58
HS_021,"Atlantic, Northwest",High Seas,2019,87745.0994728874,87745.0994728874,0.0,1.0,67,67,911311899.3877176,911311899.3877176,911311899.3877176,811549979.7077181,806116508.7542173,0.0015646586064032835,59
