scientific_name,habitat,tl,source_rows
Anampses twistii,reef-associated,3.5,1
Anaora tentaculata,reef-associated,2.91,1
Anarhichas denticulatus,benthopelagic,3.75,1
Anarhichas lupus,demersal,3.55,1
Anarhichas minor,demersal,3.45,1
Anarhichas orientalis,demersal,3.8,1
Anarhichas spp,demersal,3.54,1
Anarrhichthys ocellatus,demersal,3.51,1
Anchichoerops natalensis,reef-associated,3.39,1
Anchoa compressa,pelagic-neritic,3.4,1
Anchoa hepsetus,pelagic-neritic,3.34,1
Anchoa januaria,pelagic-neritic,2.88,1
Anchoa lamprotaenia,pelagic-neritic,3.4,1
Anchoa lyolepis,reef-associated,3.4,1
Anchoa marinii,pelagic-oceanic,3.4,1
Anchoa mitchilli,pelagic-neritic,3.46,1
Anchoa parva,pelagic-neritic,3.32,1
Anchoa spinifer,pelagic-neritic,4.09,1
Anchovia clupeoides,benthopelagic,3.4,1
Anchovia macrolepidota,pelagic-neritic,2.69,1
Anchoviella guianensis,pelagic,3.4,1
Anchoviella lepidentostole,pelagic-neritic,3.1,1
Ancistrus cirrhosus,demersal,2.0,1
Ancistrus gymnorhynchus,demersal,2.0,1
Ancistrus hoplogenys,demersal,2.0,1
Ancylopsetta dendritica,demersal,4.2,1
Ancylopsetta ommata,demersal,3.52,1
Andinoacara coeruleopunctatus,benthopelagic,3.2,1
Andinoacara pulcher,benthopelagic,3.27,1
Andriashevia aptera,bathydemersal,3.5,1
Anematichthys armatus,benthopelagic,3.38,1
Anematichthys repasson,benthopelagic,2.62,1
Anetarca armata,demersal,4.0,1
Anguilla anguilla,demersal,3.55,1
Anguilla australis australis,benthopelagic,4.28,1
Anguilla bicolor,demersal,3.55,1
Anguilla dieffenbachii,demersal,4.47,1
Anguilla japonica,demersal,3.55,1
Anguilla marmorata,demersal,3.79,1
Anguilla mossambica,demersal,3.3,1
Anguilla nebulosa,demersal,3.75,1
Anguilla obscura,demersal,4.5,1
Anguilla reinhardtii,demersal,3.55,1
Anguilla rostrata,demersal,3.83,1
Anisarchus medius,demersal,3.22,1
Anisochromis kenyae,reef-associated,3.65,1
Anisochromis mascarenensis,reef-associated,3.53,1
Anisochromis straussi,reef-associated,3.55,1
Anisotremus davidsonii,demersal,3.54,1
Anisotremus interruptus,reef-associated,3.5,1
Anisotremus scapularis,reef-associated,3.67,1
Anisotremus surinamensis,reef-associated,3.58,1
Anisotremus taeniatus,demersal,4.2,1
Anisotremus virginicus,reef-associated,3.59,1
Annamia normani,demersal,3.2,1
Anodontiglanis dahli,demersal,3.07,1
Anodontostoma chacunda,pelagic-neritic,2.84,1
Anodus elongatus,pelagic,3.4,1
Anomalops katoptron,reef-associated,3.4,1
Anoplarchus purpurescens,demersal,2.89,1
Anoplodactylus petiolatus,benthic,4.5,1
Anoplogaster cornuta,bathypelagic,4.01,1
Anoplopoma fimbria,bathydemersal,3.84,1
Anostomus anostomus,benthopelagic,2.96,1
Anostomus brevior,benthopelagic,2.0,1
Anostomus ternetzi,benthopelagic,2.56,1
Anotopterus nikparini,bathypelagic,4.5,1
Anotopterus pharao,bathypelagic,4.34,1
Anotopterus vorax,bathypelagic,4.5,1
Anous minutus,others,4.15,1
Anous minutus tenuirostris,others,4.18,1
Anous stolidus,others,4.5,1
Anoxypristis cuspidata,benthopelagic,4.5,1
Antennarius commerson,reef-associated,4.2,1
Antennarius hispidus,reef-associated,4.2,1
Antennarius maculatus,reef-associated,4.2,1
Antennarius multiocellatus,reef-associated,4.32,1
Antennarius pardalis,reef-associated,3.98,1
Antennarius striatus,reef-associated,4.2,1
Antennatus coccineus,reef-associated,4.2,1
Antennatus nummifer,reef-associated,4.2,1
Antennella secundaria,pelagic,2.72,1
Anthias anthias,reef-associated,3.75,1
Anthohebella parasitica,pelagic,2.76,1
Antigonia capros,demersal,4.05,1
Antimora microlepis,bathypelagic,3.5,1
Antimora rostrata,bathypelagic,3.58,1
Anyperodon leucogrammicus,reef-associated,3.94,1
Aonides paucibranchiata,benthic,2.0,1
Aonyx cinerea,pelagic,3.55,1
Apareiodon ibitiensis,benthopelagic,2.3,1
Apeltes quadracus,benthopelagic,3.23,1
Aphanius dispar dispar,demersal,2.0,1
Aphanius fasciatus,demersal,2.66,1
