cohort,year,functional_group,tl
eez,1955,Large pelagics (>=90 cm),4.29089552238806
eez,1955,Large rays (>=90 cm),3.7270454545454546
eez,1955,Large reef assoc. fish (>=90 cm),3.8185526315789473
eez,1955,Large sharks (>=90 cm),4.207118421052631
eez,1955,"Lobsters, crabs",3.1896774193548385
eez,1955,Medium bathydemersals (30 - 89 cm),3.899259259259259
eez,1955,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1955,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1955,Medium demersals (30 - 89 cm),3.6346575342465752
eez,1955,Medium pelagics (30 - 89 cm),3.588673469387755
eez,1955,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1955,Other demersal invertebrates,2.1736204379562043
eez,1955,Shrimps,2.8849382716049385
eez,1955,Small bathydemersals (<30 cm),3.505
eez,1955,Small bathypelagics (<30 cm),3.495
eez,1955,Small benthopelagics (<30 cm),3.5044444444444443
eez,1955,Small demersals (<30 cm),3.4252459016393444
eez,1955,Small pelagics (<30 cm),3.301181818181818
eez,1955,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1955,Small to medium flatfishes (<90 cm),3.6143939393939397
eez,1955,Small to medium rays (<90 cm),3.786190476190476
eez,1955,Small to medium sharks (<90 cm),3.9246666666666665
eez,1956,Cephalopods,3.8474285714285714
eez,1956,Jellyfish,3.2199999999999998
eez,1956,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1956,Large bathypelagics (>=90 cm),4.07
eez,1956,Large benthopelagics (>=90 cm),3.948723404255319
eez,1956,Large demersals (>=90 cm),3.9775316455696204
eez,1956,Large flatfishes (>=90 cm),4.02625
eez,1956,Large pelagics (>=90 cm),4.2924999999999995
eez,1956,Large rays (>=90 cm),3.7270454545454546
eez,1956,Large reef assoc. fish (>=90 cm),3.8041558441558445
eez,1956,Large sharks (>=90 cm),4.207118421052631
eez,1956,"Lobsters, crabs",3.1896774193548385
eez,1956,Medium bathydemersals (30 - 89 cm),3.889285714285714
eez,1956,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1956,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1956,Medium demersals (30 - 89 cm),3.635
eez,1956,Medium pelagics (30 - 89 cm),3.5867676767676766
eez,1956,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1956,Other demersal invertebrates,2.170042857142857
eez,1956,Shrimps,2.896
eez,1956,Small bathydemersals (<30 cm),3.505
eez,1956,Small bathypelagics (<30 cm),3.495
eez,1956,Small benthopelagics (<30 cm),3.5044444444444443
eez,1956,Small demersals (<30 cm),3.434590163934426
eez,1956,Small pelagics (<30 cm),3.293693693693694
eez,1956,Small reef assoc. fish (<30 cm),3.272183908045977
eez,1956,Small to medium flatfishes (<90 cm),3.621044776119403
eez,1956,Small to medium rays (<90 cm),3.786190476190476
eez,1956,Small to medium sharks (<90 cm),3.9246666666666665
eez,1957,Cephalopods,3.8474285714285714
eez,1957,Jellyfish,3.2199999999999998
eez,1957,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1957,Large bathypelagics (>=90 cm),4.07
eez,1957,Large benthopelagics (>=90 cm),3.948723404255319
eez,1957,Large demersals (>=90 cm),3.9775316455696204
eez,1957,Large flatfishes (>=90 cm),4.02625
eez,1957,Large pelagics (>=90 cm),4.2924999999999995
eez,1957,Large rays (>=90 cm),3.7270454545454546
eez,1957,Large reef assoc. fish (>=90 cm),3.8041558441558445
eez,1957,Large sharks (>=90 cm),4.207118421052631
eez,1957,"Lobsters, crabs",3.1896774193548385
eez,1957,Medium bathydemersals (30 - 89 cm),3.889285714285714
eez,1957,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1957,Medium benthopelagics (30 - 89 cm),3.669509803921569
eez,1957,Medium demersals (30 - 89 cm),3.6369230769230767
eez,1957,Medium pelagics (30 - 89 cm),3.586767676767677
eez,1957,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1957,Other demersal invertebrates,2.1711223021582735
eez,1957,Shrimps,2.8849382716049385
eez,1957,Small bathydemersals (<30 cm),3.505
eez,1957,Small bathypelagics (<30 cm),3.495
eez,1957,Small benthopelagics (<30 cm),3.5044444444444443
eez,1957,Small demersals (<30 cm),3.434590163934426
eez,1957,Small pelagics (<30 cm),3.292142857142857
eez,1957,Small reef assoc. fish (<30 cm),3.272183908045977
eez,1957,Small to medium flatfishes (<90 cm),3.621044776119403
eez,1957,Small to medium rays (<90 cm),3.786190476190476
eez,1957,Small to medium sharks (<90 cm),3.9246666666666665
eez,1958,Cephalopods,3.8474285714285714
eez,1958,Jellyfish,3.2199999999999998
eez,1958,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1958,Large bathypelagics (>=90 cm),4.07
eez,1958,Large benthopelagics (>=90 cm),3.948723404255319
eez,1958,Large demersals (>=90 cm),3.9775316455696204
eez,1958,Large flatfishes (>=90 cm),4.02625
eez,1958,Large pelagics (>=90 cm),4.2924999999999995
eez,1958,Large rays (>=90 cm),3.7220000000000004
eez,1958,Large reef assoc. fish (>=90 cm),3.8041558441558445
eez,1958,Large sharks (>=90 cm),4.207118421052631
eez,1958,"Lobsters, crabs",3.1896774193548385
eez,1958,Medium bathydemersals (30 - 89 cm),3.889285714285714
eez,1958,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1958,Medium benthopelagics (30 - 89 cm),3.675643564356436
eez,1958,Medium demersals (30 - 89 cm),3.633181818181818
eez,1958,Medium pelagics (30 - 89 cm),3.593265306122449
eez,1958,Medium reef assoc. fish (30 - 89 cm),3.4886530612244897
eez,1958,Other demersal invertebrates,2.1699
eez,1958,Shrimps,2.8849382716049385
eez,1958,Small bathydemersals (<30 cm),3.505
eez,1958,Small bathypelagics (<30 cm),3.495
eez,1958,Small benthopelagics (<30 cm),3.5044444444444443
eez,1958,Small demersals (<30 cm),3.4305000000000003
eez,1958,Small pelagics (<30 cm),3.292142857142857
eez,1958,Small reef assoc. fish (<30 cm),3.278488372093023
eez,1958,Small to medium flatfishes (<90 cm),3.6210447761194033
eez,1958,Small to medium rays (<90 cm),3.786190476190476
eez,1958,Small to medium sharks (<90 cm),3.9246666666666665
eez,1959,Cephalopods,3.8474285714285714
eez,1959,Jellyfish,3.2199999999999998
eez,1959,Large bathydemersals (>=90 cm),4.098125
eez,1959,Large bathypelagics (>=90 cm),4.07
eez,1959,Large benthopelagics (>=90 cm),3.948723404255319
