cohort,year,commercial_group,tl
eez,1978,Scorpionfishes,3.7575384615384615
eez,1978,Sharks & rays,3.996179012345679
eez,1978,Tuna & billfishes,4.389230769230769
eez,1979,Anchovies,3.175
eez,1979,Cod-likes,3.9896666666666665
eez,1979,Crustaceans,3.012835051546392
eez,1979,Flatfishes,3.667875
eez,1979,Herring-likes,3.1832835820895524
eez,1979,Molluscs,2.122144927536232
eez,1979,Other fishes & inverts,3.5734982935153585
eez,1979,Perch-likes,3.605310945273632
eez,1979,"Salmon, smelts, etc",3.676666666666667
eez,1979,Scorpionfishes,3.7373529411764705
eez,1979,Sharks & rays,3.992828220858896
eez,1979,Tuna & billfishes,4.389230769230769
eez,1980,Anchovies,3.175
eez,1980,Cod-likes,3.9896666666666665
eez,1980,Crustaceans,3.0112307692307696
eez,1980,Flatfishes,3.6576829268292683
eez,1980,Herring-likes,3.1832835820895524
eez,1980,Molluscs,2.122144927536232
eez,1980,Other fishes & inverts,3.577345890410959
eez,1980,Perch-likes,3.600122249388753
eez,1980,"Salmon, smelts, etc",3.6664864864864866
eez,1980,Scorpionfishes,3.742297297297297
eez,1980,Sharks & rays,3.992828220858896
eez,1980,Tuna & billfishes,4.389230769230769
eez,1981,Anchovies,3.175
eez,1981,Cod-likes,3.9896666666666665
eez,1981,Crustaceans,3.010769230769231
eez,1981,Flatfishes,3.665609756097561
eez,1981,Herring-likes,3.1871641791044776
eez,1981,Molluscs,2.1214202898550725
eez,1981,Other fishes & inverts,3.5700515463917526
eez,1981,Perch-likes,3.596572827417381
eez,1981,"Salmon, smelts, etc",3.6573684210526314
eez,1981,Scorpionfishes,3.707717391304348
eez,1981,Sharks & rays,3.9975060975609757
eez,1981,Tuna & billfishes,4.389230769230769
eez,1982,Anchovies,3.1636
eez,1982,Cod-likes,3.9977049180327873
eez,1982,Crustaceans,3.010876288659794
eez,1982,Flatfishes,3.667654320987654
eez,1982,Herring-likes,3.192647058823529
eez,1982,Molluscs,2.11954609929078
eez,1982,Other fishes & inverts,3.554761092150171
eez,1982,Perch-likes,3.595601458080194
eez,1982,"Salmon, smelts, etc",3.6560526315789477
eez,1982,Scorpionfishes,3.7294444444444443
eez,1982,Sharks & rays,4.001957317073171
eez,1982,Tuna & billfishes,4.389230769230769
eez,1983,Anchovies,3.175
eez,1983,Cod-likes,3.98327868852459
eez,1983,Crustaceans,3.010876288659794
eez,1983,Flatfishes,3.6533333333333333
eez,1983,Herring-likes,3.1871641791044776
eez,1983,Molluscs,2.1169929078014182
eez,1983,Other fishes & inverts,3.558078231292517
eez,1983,Perch-likes,3.5963459196102314
eez,1983,"Salmon, smelts, etc",3.6651351351351353
eez,1983,Scorpionfishes,3.7235555555555555
eez,1983,Sharks & rays,3.9923841463414633
eez,1983,Tuna & billfishes,4.389230769230769
eez,1984,Anchovies,3.1636
eez,1984,Cod-likes,3.9896666666666665
eez,1984,Crustaceans,3.013756345177665
eez,1984,Flatfishes,3.665609756097561
eez,1984,Herring-likes,3.1775757575757577
eez,1984,Molluscs,2.124257142857143
eez,1984,Other fishes & inverts,3.561900684931507
eez,1984,Perch-likes,3.601654501216545
eez,1984,"Salmon, smelts, etc",3.6671052631578944
eez,1984,Scorpionfishes,3.722087912087912
eez,1984,Sharks & rays,3.9899451219512194
eez,1984,Tuna & billfishes,4.389230769230769
eez,1985,Anchovies,3.1636
eez,1985,Cod-likes,3.9896666666666665
eez,1985,Crustaceans,3.020251256281407
eez,1985,Flatfishes,3.665609756097561
eez,1985,Herring-likes,3.1832835820895524
eez,1985,Molluscs,2.1243076923076925
eez,1985,Other fishes & inverts,3.558478260869565
eez,1985,Perch-likes,3.6000730816077953
eez,1985,"Salmon, smelts, etc",3.6475
eez,1985,Scorpionfishes,3.7127659574468086
eez,1985,Sharks & rays,3.9975521472392637
eez,1985,Tuna & billfishes,4.389230769230769
eez,1986,Anchovies,3.175
eez,1986,Cod-likes,3.9977049180327873
eez,1986,Crustaceans,3.027313432835821
eez,1986,Flatfishes,3.658795180722892
eez,1986,Herring-likes,3.1832835820895524
eez,1986,Molluscs,2.130179310344827
eez,1986,Other fishes & inverts,3.560546357615894
eez,1986,Perch-likes,3.598380024360536
eez,1986,"Salmon, smelts, etc",3.6564102564102563
eez,1986,Scorpionfishes,3.7226595744680853
eez,1986,Sharks & rays,3.994351190476191
eez,1986,Tuna & billfishes,4.389230769230769
eez,1987,Anchovies,3.175
eez,1987,Cod-likes,3.994516129032258
eez,1987,Crustaceans,3.022487562189055
