unit_id,year,metric,reference,historical,difference,comparison_status,passed
EEZ_578,2019,total_catch_tonnes,1710313.5041625751,1710313.5041625751,0.0,numeric_reproduction,True
EEZ_578,2019,matched_catch_tonnes,1710313.5041625751,1710313.5041625751,0.0,numeric_reproduction,True
EEZ_578,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_578,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_578,2019,taxa_count,222.0,222.0,0.0,numeric_reproduction,True
EEZ_578,2019,matched_taxa_count,222.0,222.0,0.0,numeric_reproduction,True
EEZ_578,2019,ppr_species,1486385233.701386,1486385233.701386,0.0,numeric_reproduction,True
EEZ_578,2019,ppr_commercial_correct,1486385233.701386,1486385233.7013862,2.384185791015625e-07,numeric_reproduction,True
EEZ_578,2019,ppr_functional_correct,1486385233.701386,1486385233.7013862,2.384185791015625e-07,numeric_reproduction,True
EEZ_578,2019,ppr_commercial_jensen,1354784615.3936987,1354784615.393696,-2.6226043701171875e-06,numeric_reproduction,True
EEZ_578,2019,ppr_functional_jensen,1424436259.700941,1424436259.7009423,1.1920928955078125e-06,numeric_reproduction,True
EEZ_598,2019,total_catch_tonnes,536763.5433324721,536763.5433324721,0.0,numeric_reproduction,True
EEZ_598,2019,matched_catch_tonnes,536763.5433324721,536763.5433324721,0.0,numeric_reproduction,True
EEZ_598,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_598,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_598,2019,taxa_count,55.0,55.0,0.0,numeric_reproduction,True
EEZ_598,2019,matched_taxa_count,55.0,55.0,0.0,numeric_reproduction,True
EEZ_598,2019,ppr_species,1304961504.034372,1304961504.0343719,-2.384185791015625e-07,numeric_reproduction,True
EEZ_598,2019,ppr_commercial_correct,1304961504.0343716,1304961504.0343719,2.384185791015625e-07,numeric_reproduction,True
EEZ_598,2019,ppr_functional_correct,1304961504.034372,1304961504.0343719,-2.384185791015625e-07,numeric_reproduction,True
EEZ_598,2019,ppr_commercial_jensen,1282035228.7863865,1282035228.7863865,0.0,numeric_reproduction,True
EEZ_598,2019,ppr_functional_jensen,1295086077.4864874,1295086077.486485,-2.384185791015625e-06,numeric_reproduction,True
EEZ_032,2019,total_catch_tonnes,1455579.158848894,1455579.158848894,0.0,numeric_reproduction,True
EEZ_032,2019,matched_catch_tonnes,1455579.158848894,1455579.158848894,0.0,numeric_reproduction,True
EEZ_032,2019,missing_tl_catch_tonnes,0.0,0.0,0.0,numeric_reproduction,True
EEZ_032,2019,catch_tl_coverage_fraction,1.0,1.0,0.0,numeric_reproduction,True
EEZ_032,2019,taxa_count,86.0,86.0,0.0,numeric_reproduction,True
EEZ_032,2019,matched_taxa_count,86.0,86.0,0.0,numeric_reproduction,True
EEZ_032,2019,ppr_species,1272031530.1874146,1272031530.1874144,-2.384185791015625e-07,numeric_reproduction,True
EEZ_032,2019,ppr_commercial_correct,1272031530.1874144,1272031530.1874144,0.0,numeric_reproduction,True
EEZ_032,2019,ppr_functional_correct,1272031530.1874144,1272031530.1874144,0.0,numeric_reproduction,True
EEZ_032,2019,ppr_commercial_jensen,1165759568.7681806,1165759568.7681787,-1.9073486328125e-06,numeric_reproduction,True
EEZ_032,2019,ppr_functional_jensen,1207458955.0805123,1207458955.0805123,0.0,numeric_reproduction,True
EEZ_608,2019,total_catch_tonnes,2152202.04182738,2152202.04182738,0.0,numeric_reproduction,True
EEZ_608,2019,matched_catch_tonnes,2152202.04182738,2152202.04182738,0.0,numeric_reproduction,True
