year,raw_rows_selected,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,unit_id
1959,4004,316337.5486799612,316337.5486799612,0.0,True,EEZ_076
1960,4204,307025.3408186255,307025.34081862547,-5.820766091346741e-11,True,EEZ_076
1961,4274,344765.6826617083,344765.68266170827,-5.820766091346741e-11,True,EEZ_076
1962,2765,507288.5821471149,507288.5821471149,0.0,True,EEZ_076
1963,2836,554267.390394929,554267.390394929,0.0,True,EEZ_076
1964,2838,482700.4121728819,482700.4121728819,0.0,True,EEZ_076
1965,4354,534459.2002377047,534459.2002377047,0.0,True,EEZ_076
1966,2962,603908.2896722839,603908.2896722839,0.0,True,EEZ_076
1967,3230,760526.8447618163,760526.8447618163,0.0,True,EEZ_076
1968,3351,685700.0521855688,685700.0521855688,0.0,True,EEZ_076
1969,3242,610240.7318429049,610240.7318429049,0.0,True,EEZ_076
1970,3364,683410.6736200053,683410.6736200053,0.0,True,EEZ_076
1971,3409,743380.0190112855,743380.0190112855,0.0,True,EEZ_076
1972,3393,831122.6389971944,831122.6389971942,-1.1641532182693481e-10,True,EEZ_076
1973,3469,930103.7115551566,930103.7115551566,0.0,True,EEZ_076
1974,3459,866497.0635360767,866497.0635360767,0.0,True,EEZ_076
1975,4576,796485.8649337888,796485.8649337888,0.0,True,EEZ_076
1976,4507,725575.3249506596,725575.3249506596,0.0,True,EEZ_076
1977,4601,839736.7704470778,839736.7704470778,0.0,True,EEZ_076
1978,5154,924980.5526671995,924980.5526671995,0.0,True,EEZ_076
1979,5315,1027060.6862129141,1027060.6862129141,0.0,True,EEZ_076
1980,5429,850362.1759087598,850362.1759087598,0.0,True,EEZ_076
1981,5445,844388.7771953823,844388.7771953823,0.0,True,EEZ_076
1982,5556,881838.8754737866,881838.8754737866,0.0,True,EEZ_076
1983,5557,956510.6046740061,956510.6046740061,0.0,True,EEZ_076
1984,5624,1072326.871951239,1072326.871951239,0.0,True,EEZ_076
1985,5579,1054980.4041155248,1054980.4041155248,0.0,True,EEZ_076
1986,5620,996776.0669214625,996776.0669214625,0.0,True,EEZ_076
1987,5581,993830.2413125067,993830.2413125067,0.0,True,EEZ_076
1988,5703,882987.6213961468,882987.6213961468,0.0,True,EEZ_076
1989,5566,829638.501431637,829638.501431637,0.0,True,EEZ_076
1990,6013,635664.8796471016,635664.8796471016,0.0,True,EEZ_076
1991,6001,662594.9141261998,662594.9141261998,0.0,True,EEZ_076
1992,5965,656347.5465342317,656347.5465342317,0.0,True,EEZ_076
1993,5915,661312.8371366637,661312.8371366637,0.0,True,EEZ_076
1994,5955,670717.5229018689,670717.5229018689,0.0,True,EEZ_076
1995,6109,657287.9806429074,657287.9806429074,0.0,True,EEZ_076
1996,5779,624618.944507485,624618.944507485,0.0,True,EEZ_076
1997,5792,683420.9576940007,683420.9576940007,0.0,True,EEZ_076
1998,5819,676448.4997002174,676448.4997002174,0.0,True,EEZ_076
1999,5950,662874.6777251341,662874.6777251341,0.0,True,EEZ_076
2000,5960,748435.5221939057,748435.5221939057,0.0,True,EEZ_076
2001,5932,798682.7693707063,798682.7693707063,0.0,True,EEZ_076
2002,5952,835158.8904151693,835158.8904151693,0.0,True,EEZ_076
2003,5969,777312.4784706346,777312.4784706346,0.0,True,EEZ_076
2004,5921,779706.0590270921,779706.0590270921,0.0,True,EEZ_076
2005,5886,782107.9427262921,782107.9427262921,0.0,True,EEZ_076
2006,5964,804527.9628081112,804527.9628081112,0.0,True,EEZ_076
2007,5973,844434.009201024,844434.009201024,0.0,True,EEZ_076
2008,8640,835098.4899152956,835098.4899152956,0.0,True,EEZ_076
2009,8479,845980.2118414055,845980.2118414055,0.0,True,EEZ_076
2010,8649,823973.9333810626,823973.9333810626,0.0,True,EEZ_076
2011,8173,959169.8821203114,959169.8821203114,0.0,True,EEZ_076
2012,8128,963248.9379094325,963248.9379094325,0.0,True,EEZ_076
2013,7891,891399.4505147109,891399.4505147109,0.0,True,EEZ_076
2014,7768,933251.3526388069,933251.3526388069,0.0,True,EEZ_076
2015,7594,824614.3851771078,824614.3851771078,0.0,True,EEZ_076
2016,7517,836814.810857692,836814.810857692,0.0,True,EEZ_076
2017,7516,853068.340845032,853068.340845032,0.0,True,EEZ_076
2018,7812,846397.8943084739,846397.8943084739,0.0,True,EEZ_076
2019,7758,904109.1796290668,904109.1796290667,-1.1641532182693481e-10,True,EEZ_076
1951,1,0.0467825748,0.0467825748,0.0,True,EEZ_077
1952,1,0.0415925372,0.0415925372,0.0,True,EEZ_077
1957,3,0.3845809987,0.3845809987,0.0,True,EEZ_077
1958,7,0.9411868751,0.9411868751,0.0,True,EEZ_077
1959,10,93.0208704479,93.0208704479,0.0,True,EEZ_077
1960,8,1.1695488647,1.1695488646999999,-2.220446049250313e-16,True,EEZ_077
1961,16,189.4541207251,189.4541207251,0.0,True,EEZ_077
1962,2,0.1644990312,0.1644990312,0.0,True,EEZ_077
1963,2,0.2838712656,0.2838712656,0.0,True,EEZ_077
1964,28,12.957213538,12.957213538,0.0,True,EEZ_077
1965,20,16.144412526500002,16.144412526500002,0.0,True,EEZ_077
1966,36,2910.9625312878998,2910.9625312878998,0.0,True,EEZ_077
1967,47,24699.0409344595,24699.0409344595,0.0,True,EEZ_077
1968,65,14662.5469366923,14662.5469366923,0.0,True,EEZ_077
1969,44,453.8099730696,453.8099730696,0.0,True,EEZ_077
1970,4,32554.3956220459,32554.3956220459,0.0,True,EEZ_077
1971,8,33927.3926776796,33927.3926776796,0.0,True,EEZ_077
1972,9,73247.5892622266,73247.58926222658,-1.4551915228366852e-11,True,EEZ_077
1973,8,50311.0139069446,50311.0139069446,0.0,True,EEZ_077
1974,9,44882.117468182696,44882.1174681827,7.275957614183426e-12,True,EEZ_077
1975,4,39672.4512323481,39672.4512323481,0.0,True,EEZ_077
1976,12,21331.6076169183,21331.6076169183,0.0,True,EEZ_077
1977,7,7646.6838712716,7646.6838712716,0.0,True,EEZ_077
1978,16,0.9803998146,0.9803998145999999,-1.1102230246251565e-16,True,EEZ_077
1980,4,11027.2835458005,11027.2835458005,0.0,True,EEZ_077
1981,24,13053.315760116398,13053.315760116398,0.0,True,EEZ_077
1982,24,11740.577229975299,11740.577229975299,0.0,True,EEZ_077
1983,24,7355.4802759011,7355.480275901099,-9.094947017729282e-13,True,EEZ_077
1984,24,6294.7005154022,6294.700515402201,9.094947017729282e-13,True,EEZ_077
1985,22,13149.7970849932,13149.797084993199,-1.8189894035458565e-12,True,EEZ_077
1986,35,57137.02013604221,57137.02013604219,-1.4551915228366852e-11,True,EEZ_077
1987,35,37305.3861269853,37305.3861269853,0.0,True,EEZ_077
1988,35,45472.510760167796,45472.5107601678,7.275957614183426e-12,True,EEZ_077
1989,30,34197.4878992152,34197.4878992152,0.0,True,EEZ_077
1990,27,74621.99774567831,74621.99774567831,0.0,True,EEZ_077
1991,37,68692.9588690658,68692.9588690658,0.0,True,EEZ_077
1992,44,73709.2277027898,73709.2277027898,0.0,True,EEZ_077
1993,48,83165.81525695842,83165.8152569584,-1.4551915228366852e-11,True,EEZ_077
1994,53,89135.0186051969,89135.0186051969,0.0,True,EEZ_077
1995,34,51468.242932526504,51468.242932526504,0.0,True,EEZ_077
1996,62,33739.2223759037,33739.2223759037,0.0,True,EEZ_077
1997,59,34335.959156841,34335.959156841,0.0,True,EEZ_077
1998,51,19997.5192301483,19997.5192301483,0.0,True,EEZ_077
1999,59,26953.024321834502,26953.024321834502,0.0,True,EEZ_077
2000,62,31204.2704637154,31204.2704637154,0.0,True,EEZ_077
2001,53,33568.2067693733,33568.206769373304,7.275957614183426e-12,True,EEZ_077
2002,58,31673.637067354503,31673.6370673545,-3.637978807091713e-12,True,EEZ_077
2003,80,31390.6442321347,31390.644232134702,3.637978807091713e-12,True,EEZ_077
2004,72,32798.659141764896,32798.659141764896,0.0,True,EEZ_077
2005,78,36376.7490077854,36376.7490077854,0.0,True,EEZ_077
2006,79,44044.951871818295,44044.951871818295,0.0,True,EEZ_077
2007,83,30063.7470186372,30063.747018637205,3.637978807091713e-12,True,EEZ_077
2008,60,28930.622520978297,28930.6225209783,3.637978807091713e-12,True,EEZ_077
2009,58,32158.385809956602,32158.385809956602,0.0,True,EEZ_077
2010,51,29202.621472074603,29202.621472074603,0.0,True,EEZ_077
2011,90,23359.3971548673,23359.3971548673,0.0,True,EEZ_077
2012,77,22376.1564501651,22376.1564501651,0.0,True,EEZ_077
2013,51,8543.6148391828,8543.6148391828,0.0,True,EEZ_077
2014,48,19187.605649091398,19187.6056490914,3.637978807091713e-12,True,EEZ_077
2015,54,5315.730578550099,5315.730578550099,0.0,True,EEZ_077
2016,52,5115.2110758696,5115.211075869599,-9.094947017729282e-13,True,EEZ_077
2017,54,5191.730493768499,5191.730493768499,0.0,True,EEZ_077
2018,60,5289.234843088399,5289.234843088399,0.0,True,EEZ_077
2019,49,6471.8616207145,6471.8616207145,0.0,True,EEZ_077
1950,165,4340.6334605975,4340.6334605975,0.0,True,EEZ_084
1951,167,4365.3563159105,4365.3563159105,0.0,True,EEZ_084
1952,166,4416.8557387838,4416.8557387838,0.0,True,EEZ_084
1953,166,4437.629426137,4437.629426137,0.0,True,EEZ_084
1954,166,4648.7643293467,4648.7643293467,0.0,True,EEZ_084
1955,167,4610.9531070708,4610.9531070708,0.0,True,EEZ_084
1956,165,4827.394317587,4827.394317587,0.0,True,EEZ_084
1957,167,4733.1242273455,4733.1242273455,0.0,True,EEZ_084
1958,166,4925.0811724223,4925.0811724223,0.0,True,EEZ_084
1959,169,5109.9409854457,5109.9409854457,0.0,True,EEZ_084
1960,169,5486.9287960386,5486.9287960386,0.0,True,EEZ_084
1961,178,5584.8977343357,5584.8977343357,0.0,True,EEZ_084
1962,178,5924.9725461856,5924.9725461856,0.0,True,EEZ_084
1963,190,6159.8080269712,6159.8080269712,0.0,True,EEZ_084
1964,197,5937.3809507763,5937.3809507763,0.0,True,EEZ_084
1965,200,5655.7053363148,5655.7053363148,0.0,True,EEZ_084
1966,211,6006.3321174606,6006.3321174606,0.0,True,EEZ_084
1967,212,7098.8815643115,7098.8815643115,0.0,True,EEZ_084
1968,197,6624.2767047485,6624.2767047485,0.0,True,EEZ_084
1969,194,7045.6278992063,7045.6278992063,0.0,True,EEZ_084
1970,196,6338.0387682145,6338.0387682145,0.0,True,EEZ_084
1971,208,6656.0041791908,6656.004179190801,9.094947017729282e-13,True,EEZ_084
1972,203,7367.3726148973,7367.3726148973,0.0,True,EEZ_084
1973,205,6320.3269080183,6320.3269080183,0.0,True,EEZ_084
1974,214,6550.7084479172,6550.7084479172,0.0,True,EEZ_084
1975,219,7084.0480112829,7084.0480112829,0.0,True,EEZ_084
1976,227,6859.4915962772,6859.4915962772,0.0,True,EEZ_084
1977,195,7968.875856536501,7968.8758565365,-9.094947017729282e-13,True,EEZ_084
1978,203,7790.9294952731,7790.9294952731,0.0,True,EEZ_084
1979,203,7554.8945093084,7554.8945093084,0.0,True,EEZ_084
1980,200,7408.2862712947,7408.2862712947,0.0,True,EEZ_084
1981,209,7328.5087129028,7328.5087129028,0.0,True,EEZ_084
1982,206,7277.4100353064005,7277.4100353064005,0.0,True,EEZ_084
1983,208,8821.5162405052,8821.5162405052,0.0,True,EEZ_084
1984,211,9048.1142094315,9048.1142094315,0.0,True,EEZ_084
1985,226,9708.1733308541,9708.1733308541,0.0,True,EEZ_084
1986,215,8260.9706667529,8260.9706667529,0.0,True,EEZ_084
1987,208,8903.1964963099,8903.1964963099,0.0,True,EEZ_084
1988,204,9520.1880872701,9520.1880872701,0.0,True,EEZ_084
1989,208,9687.4742479568,9687.4742479568,0.0,True,EEZ_084
1990,213,12827.3253597619,12827.3253597619,0.0,True,EEZ_084
1991,217,9293.5220646614,9293.5220646614,0.0,True,EEZ_084
1992,160,7327.4354349909,7327.4354349909,0.0,True,EEZ_084
1993,160,7012.3986278443,7012.3986278443,0.0,True,EEZ_084
1994,163,6868.9730127322,6868.9730127322,0.0,True,EEZ_084
1995,160,6621.1734302317,6621.1734302317,0.0,True,EEZ_084
1996,162,6676.6415398231,6676.6415398231,0.0,True,EEZ_084
1997,162,7304.2060994435,7304.2060994435,0.0,True,EEZ_084
1998,162,6884.0041634977,6884.0041634977,0.0,True,EEZ_084
1999,162,5973.7376315565,5973.7376315565,0.0,True,EEZ_084
2000,163,6339.4343442963,6339.4343442963,0.0,True,EEZ_084
2001,164,6449.0311211434,6449.0311211434,0.0,True,EEZ_084
2002,166,5882.1850357747,5882.1850357747,0.0,True,EEZ_084
2003,166,6253.3385731179005,6253.3385731179,-9.094947017729282e-13,True,EEZ_084
2004,166,6641.746728420199,6641.7467284202,9.094947017729282e-13,True,EEZ_084
2005,168,6075.4600403872,6075.4600403872,0.0,True,EEZ_084
2006,168,6212.9173325713,6212.9173325713,0.0,True,EEZ_084
2007,168,5748.8535308879,5748.8535308879,0.0,True,EEZ_084
2008,166,5708.7071231956,5708.7071231956,0.0,True,EEZ_084
2009,166,6346.6156754074,6346.6156754074,0.0,True,EEZ_084
2010,167,6520.4109938163,6520.4109938163,0.0,True,EEZ_084
2011,165,6814.8707674053,6814.8707674053,0.0,True,EEZ_084
2012,164,7275.885885242,7275.885885242,0.0,True,EEZ_084
2013,164,7219.3964819256,7219.3964819256,0.0,True,EEZ_084
2014,162,6180.9318142496995,6180.9318142496995,0.0,True,EEZ_084
2015,156,6263.1188062523,6263.1188062523,0.0,True,EEZ_084
2016,158,6476.7529298178,6476.7529298178,0.0,True,EEZ_084
2017,154,6698.7499871409,6698.7499871409,0.0,True,EEZ_084
2018,152,7726.7753652779,7726.7753652779,0.0,True,EEZ_084
2019,154,7918.6908172125,7918.6908172125,0.0,True,EEZ_084
1950,9,156.3425214298,156.3425214298,0.0,True,EEZ_086
1951,9,182.6027418803,182.6027418803,0.0,True,EEZ_086
1952,22,342.205918091,342.205918091,0.0,True,EEZ_086
1953,22,510.96145325680004,510.96145325680004,0.0,True,EEZ_086
1954,33,855.2526731073,855.2526731073,0.0,True,EEZ_086
1955,32,752.6980881309,752.6980881309,0.0,True,EEZ_086
1956,32,1100.3188032207,1100.3188032207,0.0,True,EEZ_086
1957,30,1646.6028027815,1646.6028027814998,-2.2737367544323206e-13,True,EEZ_086
1958,32,671.4048217598,671.4048217598,0.0,True,EEZ_086
1959,32,761.3181292879,761.3181292879,0.0,True,EEZ_086
1960,32,944.0258107399001,944.0258107399,-1.1368683772161603e-13,True,EEZ_086
1961,32,1121.8782669989,1121.8782669989,0.0,True,EEZ_086
1962,31,2090.9038456073,2090.9038456073,0.0,True,EEZ_086
1963,65,768.594343608,768.594343608,0.0,True,EEZ_086
1964,60,668.102200555,668.102200555,0.0,True,EEZ_086
1965,120,1909.4635978207,1909.4635978207,0.0,True,EEZ_086
1966,114,1281.9286532295,1281.9286532295,0.0,True,EEZ_086
1967,117,3140.5546482484,3140.5546482484,0.0,True,EEZ_086
1968,108,973.9395694998,973.9395694998,0.0,True,EEZ_086
1969,105,1253.371980922,1253.371980922,0.0,True,EEZ_086
1970,107,2192.9061409562,2192.9061409562,0.0,True,EEZ_086
1971,99,2838.6333864412,2838.6333864412,0.0,True,EEZ_086
1972,129,1805.4965974552001,1805.4965974552001,0.0,True,EEZ_086
1973,141,1553.9788866797,1553.9788866797,0.0,True,EEZ_086
1974,143,1175.5813657964,1175.5813657964,0.0,True,EEZ_086
1975,150,1294.5337484354,1294.5337484354,0.0,True,EEZ_086
1976,194,1611.3712658218,1611.3712658218,0.0,True,EEZ_086
1977,227,3861.9420040086,3861.9420040086,0.0,True,EEZ_086
1978,199,4462.4285532875,4462.4285532875,0.0,True,EEZ_086
1979,204,3777.8814254633,3777.8814254633003,4.547473508864641e-13,True,EEZ_086
1980,235,5489.6014504082,5489.6014504082,0.0,True,EEZ_086
1981,224,5487.0947318763,5487.0947318763,0.0,True,EEZ_086
1982,193,2709.3359306226,2709.3359306226,0.0,True,EEZ_086
1983,204,3982.2327751141997,3982.2327751142,4.547473508864641e-13,True,EEZ_086
1984,211,3108.5908840885,3108.5908840885,0.0,True,EEZ_086
1985,210,5619.7062508919,5619.7062508919,0.0,True,EEZ_086
1986,182,6772.7059371492,6772.7059371492,0.0,True,EEZ_086
1987,232,8381.176357168,8381.176357168,0.0,True,EEZ_086
1988,246,7258.4597455821,7258.4597455821,0.0,True,EEZ_086
1989,197,8191.6348557923,8191.6348557923,0.0,True,EEZ_086
1990,206,9496.4523884563,9496.4523884563,0.0,True,EEZ_086
1991,169,10615.5457018732,10615.5457018732,0.0,True,EEZ_086
1992,175,10816.7627052323,10816.7627052323,0.0,True,EEZ_086
1993,138,9466.0367901193,9466.0367901193,0.0,True,EEZ_086
1994,148,16508.0862934117,16508.0862934117,0.0,True,EEZ_086
1995,175,8081.2783216577,8081.2783216577,0.0,True,EEZ_086
1996,193,9008.3742164706,9008.3742164706,0.0,True,EEZ_086
1997,186,8772.7905457092,8772.7905457092,0.0,True,EEZ_086
1998,230,10681.554260286699,10681.554260286699,0.0,True,EEZ_086
1999,246,15849.6150937612,15849.6150937612,0.0,True,EEZ_086
2000,227,10948.423635085901,10948.4236350859,-1.8189894035458565e-12,True,EEZ_086
2001,256,12041.7673943523,12041.767394352299,-1.8189894035458565e-12,True,EEZ_086
2002,248,12916.377416657999,12916.377416658,1.8189894035458565e-12,True,EEZ_086
2003,26,365.6520608105,365.6520608105,0.0,True,EEZ_086
2004,88,1319.8549891269,1319.8549891269,0.0,True,EEZ_086
2005,108,1397.3971587071,1397.3971587071,0.0,True,EEZ_086
2006,126,2697.7081641311,2697.7081641311,0.0,True,EEZ_086
2007,102,2195.8404914081,2195.8404914081,0.0,True,EEZ_086
2008,90,1785.6164501471,1785.6164501470998,-2.2737367544323206e-13,True,EEZ_086
2009,123,2603.1477077889,2603.1477077889,0.0,True,EEZ_086
2010,15,129.676548338,129.676548338,0.0,True,EEZ_086
2011,12,72.16141690810001,72.1614169081,-1.4210854715202004e-14,True,EEZ_086
2012,12,69.39,69.39,0.0,True,EEZ_086
2013,33,540.8432988311,540.8432988311,0.0,True,EEZ_086
2014,45,953.3881832761,953.3881832761,0.0,True,EEZ_086
2015,12,71.800000008,71.800000008,0.0,True,EEZ_086
2016,12,71.800000008,71.800000008,0.0,True,EEZ_086
2017,11,71.799999993,71.799999993,0.0,True,EEZ_086
2018,15,73.053960641,73.053960641,0.0,True,EEZ_086
2019,24,135.2489756326,135.2489756326,0.0,True,EEZ_086
1950,53,6296.9753496756,6296.975349675599,-9.094947017729282e-13,True,EEZ_090
1951,64,6900.3824955254,6900.3824955253995,-9.094947017729282e-13,True,EEZ_090
1952,111,12331.6136812068,12331.6136812068,0.0,True,EEZ_090
1953,111,13442.5754498224,13442.5754498224,0.0,True,EEZ_090
1954,114,17621.9454944626,17621.9454944626,0.0,True,EEZ_090
1955,120,10149.665833262101,10149.6658332621,-1.8189894035458565e-12,True,EEZ_090
1956,120,10249.4942896417,10249.4942896417,0.0,True,EEZ_090
1957,119,11937.6689165865,11937.6689165865,0.0,True,EEZ_090
1958,132,10144.5744809653,10144.5744809653,0.0,True,EEZ_090
1959,132,8395.0354361587,8395.0354361587,0.0,True,EEZ_090
1960,129,13097.9061438367,13097.906143836699,-1.8189894035458565e-12,True,EEZ_090
1961,137,20802.7565130564,20802.7565130564,0.0,True,EEZ_090
1962,142,27635.8110794254,27635.8110794254,0.0,True,EEZ_090
1963,141,18326.3942788817,18326.3942788817,0.0,True,EEZ_090
1964,160,20272.3669312131,20272.3669312131,0.0,True,EEZ_090
1965,155,18054.9790106989,18054.9790106989,0.0,True,EEZ_090
1966,167,25399.903003435997,25399.903003436,3.637978807091713e-12,True,EEZ_090
1967,171,23376.6555541501,23376.6555541501,0.0,True,EEZ_090
1968,233,21487.6495606739,21487.6495606739,0.0,True,EEZ_090
1969,262,24381.9158023993,24381.9158023993,0.0,True,EEZ_090
1970,288,28068.9401335137,28068.9401335137,0.0,True,EEZ_090
1971,319,40336.9803046915,40336.9803046915,0.0,True,EEZ_090
1972,340,42654.9773464467,42654.9773464467,0.0,True,EEZ_090
1973,350,45793.3081339907,45793.3081339907,0.0,True,EEZ_090
