unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_global_ppr,rank_global_ppr
LME_015,South Brazil Shelf,LME,2019,292432.0999772061,292432.0999772061,0.0,1.0,264,264,226590038.89243433,226590038.8924343,226590038.8924343,177610722.1212687,192161835.32496005,0.003472501436318495,48
LME_031,Somali Coastal Current,LME,2019,237379.07863162042,237379.07863162042,0.0,1.0,205,205,220033882.6044375,220033882.60443753,220033882.6044375,156501852.68740436,180797899.8177598,0.0033720280781864326,49
LME_018,Canadian Eastern Arctic -West Greenland,LME,2019,219045.62416918142,219045.62416918142,0.0,1.0,61,61,208696707.97660503,208696707.97660506,208696707.976605,207626199.11109316,208407100.77841595,0.003198285422192492,50
LME_016,East Brazil Shelf,LME,2019,306003.2887419415,306003.2887419415,0.0,1.0,254,254,201658143.7250421,201658143.72504207,201658143.72504207,132379802.06755418,154874390.16322204,0.0030904191426656367,51
HS_027,"Atlantic, Northeast",High Seas,2019,734932.290461042,734932.290461042,0.0,1.0,131,131,192111009.49801588,192111009.49801588,192111009.49801588,190119918.21647057,191769855.84918004,0.0029441089276265194,52
LME_054,Northern Bering - Chukchi Seas,LME,2019,348828.221273396,348828.221273396,0.0,1.0,93,93,188778895.78178987,188778895.78178984,188778895.78178978,152040929.93117216,138060768.34332538,0.0028930441512483125,53
HS_041,"Atlantic, Southwest",High Seas,2019,62238.365213295096,62238.365213295096,0.0,1.0,33,33,149349456.4630281,149349456.46302813,149349456.4630281,147948022.15720508,147484387.13170964,0.0022887864118662626,54
LME_033,Red Sea,LME,2019,147100.3417814472,147100.3417814472,0.0,1.0,193,193,114071139.38229904,114071139.38229902,114071139.38229904,74674605.88945664,87236027.58411431,0.00174814478731592,55
LME_006,Southeast U.S. Continental Shelf,LME,2019,115599.570034811,115599.570034811,0.0,1.0,283,283,104438774.10426635,104438774.10426632,104438774.10426633,65622920.65646398,91125601.58560155,0.001600528403000847,56
HS_021,"Atlantic, Northwest",High Seas,2019,87745.0994728874,87745.0994728874,0.0,1.0,67,67,101551846.3748264,101551846.37482642,101551846.37482639,94575783.00091098,94079149.74054004,0.001556286119730015,57
HS_081,"Pacific, Southwest",High Seas,2019,45252.466822717106,45252.466822717106,0.0,1.0,27,27,91386286.47267893,91386286.47267893,91386286.47267893,87435123.8002821,86872298.1778867,0.0014004985064097924,58
HS_047,"Atlantic, Southeast",High Seas,2019,41830.7267805337,41830.7267805337,0.0,1.0,35,35,87861469.42037457,87861469.42037456,87861469.42037456,81599560.34715328,81300520.57549798,0.0013464805436753525,59
LME_065,Aleutian Islands,LME,2019,151507.6717909796,151507.6717909796,0.0,1.0,68,68,85526381.4039745,85526381.40397452,85526381.4039745,70379109.37733433,75180854.1365574,0.0013106952261454472,60
LME_019,Greenland Sea,LME,2019,87093.8235737202,87093.8235737202,0.0,1.0,64,64,76279788.78654897,76279788.78654899,76279788.78654897,74591467.5388397,75872029.19055331,0.0011689908233305261,61
LME_008,Scotian Shelf,LME,2019,148680.26073080715,148680.26073080715,0.0,1.0,92,92,75212513.43069898,75212513.43069899,75212513.43069899,64517927.31064559,61782823.81142751,0.0011526347856853946,62
LME_010,Insular Pacific-Hawaiian,LME,2019,21171.9533963985,21171.9533963985,0.0,1.0,140,140,44813494.47199182,44813494.47199182,44813494.47199182,40663775.27641271,43231826.719544135,0.0006867686006017028,63
HS_031,"Atlantic, Western Central",High Seas,2019,16859.0112032287,16859.0112032287,0.0,1.0,32,32,32845718.432304144,32845718.432304144,32845718.432304144,32332686.35082694,32085747.063295085,0.0005033619526727451,64
LME_039,North Australian Shelf,LME,2019,44872.4444403339,44872.4444403339,0.0,1.0,452,452,32609919.10129194,32609919.101291947,32609919.101291936,21306232.562969234,23668195.99001727,0.0004997483184652347,65
LME_041,East-Central Australian Shelf,LME,2019,39281.024733703096,39281.024733703096,0.0,1.0,382,382,32154354.584904723,32154354.58490472,32154354.58490472,21227256.672829352,27004717.00709983,0.0004927667739753583,66
HS_048,"Atlantic, Antarctic",High Seas,2019,154127.61540295082,154127.61540295082,0.0,1.0,6,6,29368420.191220015,29368420.191220015,29368420.191220015,29368419.84106065,29368420.191220015,0.000450072217626605,67
LME_040,Northeast Australian Shelf-Great Barrier Reef,LME,2019,22842.531697643197,22842.531697643197,0.0,1.0,332,332,27661702.09258175,27661702.092581745,27661702.09258174,20349298.750192918,24055117.92563951,0.0004239166942952127,68
LME_042,Southeast Australian Shelf,LME,2019,32645.7543579061,32645.7543579061,0.0,1.0,246,246,22122834.477210246,22122834.477210242,22122834.47721024,16994442.064237066,17411902.077911425,0.00033903332588250824,69
LME_043,Southwest Australian Shelf,LME,2019,30450.9174249122,30450.9174249122,0.0,1.0,245,245,21615913.499733415,21615913.49973341,21615913.499733415,17708395.819334067,17052177.81094027,0.0003312647415661257,70
LME_045,Northwest Australian Shelf,LME,2019,44647.94498142931,44647.94498142931,0.0,1.0,410,410,19198827.203371964,19198827.203371964,19198827.203371964,14488054.060753897,15071326.5809076,0.00029422279710622235,71
LME_044,West-Central Australian Shelf,LME,2019,19839.072931287603,19839.072931287603,0.0,1.0,411,411,8269244.800308174,8269244.800308174,8269244.800308176,6187071.010985136,5984450.086611022,0.00012672650830856163,72
HS_088,"Pacific, Antarctic",High Seas,2019,3559.327863,3559.327863,0.0,1.0,32,32,5471586.54715935,5471586.54715935,5471586.547159349,5441171.091395552,5471351.988849449,8.385228334318536e-05,73
LME_063,Hudson Bay Complex,LME,2019,1269.735630608,1269.735630608,0.0,1.0,44,44,2919836.9461889495,2919836.946188949,2919836.946188949,2767953.6523261997,2896761.9589186287,4.4746618337755504e-05,74
HS_067,"Pacific, Northeast",High Seas,2019,402.29139540870005,402.29139540870005,0.0,1.0,16,16,759816.5237174243,759816.5237174241,759816.523717424,741062.6904888835,736055.8992847266,1.1644218708130412e-05,75
LME_057,Laptev Sea,LME,2019,2616.1834162357,2616.1834162357,0.0,1.0,5,5,507104.9804889677,507104.9804889677,507104.9804889676,494176.8628170198,494181.0890332617,7.771404169925312e-06,76
LME_055,Beaufort Sea,LME,2019,212.78852302800001,212.78852302800001,0.0,1.0,19,19,439874.51024657505,439874.5102465751,439874.51024657505,381706.2485704526,438573.7452643022,6.741094516322656e-06,77
HS_058,"Indian Ocean, Antarctic",High Seas,2019,1622.2799593135003,1622.2799593135003,0.0,1.0,6,6,316826.047060139,316826.047060139,316826.047060139,316302.392591317,316825.92653248494,4.855371881557931e-06,78
LME_056,East Siberian Sea,LME,2019,1304.0687744917002,1304.0687744917002,0.0,1.0,4,4,275429.0625472164,275429.0625472164,275429.0625472164,257076.62225567218,257076.62225567218,4.220961433141799e-06,79
LME_058,Kara Sea,LME,2019,719.2892019078,719.2892019078,0.0,1.0,5,5,137138.92556169763,137138.92556169763,137138.92556169763,135651.10448002513,135652.11223848525,2.10165953594384e-06,80
LME_066,Canadian High Arctic - North Greenland,LME,2019,53.5919340839,53.5919340839,0.0,1.0,21,21,10566.207059943801,10566.2070599438,10566.207059943801,10565.421006259996,10565.545720551861,1.6192754708653065e-07,81
LME_061,Antarctic,LME,2019,0.2496140134,0.2496140134,0.0,1.0,10,10,57.73274163591119,57.7327416359112,57.7327416359112,57.58283522606718,57.732498833181225,8.847565816804313e-10,82
HS_018,Arctic Sea,High Seas,2019,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,83
LME_064,Central Arctic Ocean,LME,2019,0.0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84
