taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Osmeridae,Unresolved,,,unresolved,340195.148,,,,,,,,,,,,,,,,,,,,
Hippoglossus stenolepis,Pleuronectidae,1.000000,single,high,238734.624,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,2141.070009,2413.536959
Sebastidae,Other bottom fishes,1.000000,single,medium,237687.743,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Decapoda,Crabs and shrimps,1.000000,single,high,232812.554,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Octopoda,Unresolved,,,unresolved,231062.901,,,,,,,,,,,,,,,,,,,,
Anoplopoma fimbria,Other bottom fishes,1.000000,single,medium,222419.043,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Reinhardtius hippoglossoides,Pleuronectidae,1.000000,single,high,222110.863,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,2141.070009,2413.536959
Salmonidae,Salmon,1.000000,single,high,217485.93,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Arctoscopus japonicus,Other bottom fishes,1.000000,single,medium,204057.395,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Trichiurus lepturus,Unresolved,,,unresolved,195817.051,,,,,,,,,,,,,,,,,,,,
