Group number,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
13,Yellowfin tuna,,,,,,10.010,1.050,2.000,1.100,2.000,,,1.050,2.000,1.050,2.000,19.860,20.210,,1.050,,10.660,,,,,1.100,,5.050,,2.000,2.000,,,,,,,,,,,25.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bluefin tuna,,,,,,2.000,2.000,2.000,2.000,2.000,,,1.050,2.000,2.000,2.000,1.050,,,2.000,,2.000,,,,,1.100,,1.050,,2.000,2.000,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Other tunas,,,,,,2.000,2.000,2.000,1.100,2.000,,,1.050,2.000,2.000,1.050,1.050,2.000,,2.000,,2.000,,,,,22.690,,1.050,,2.000,2.000,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Billfish,,,,,,,2.000,,2.000,2.000,,,5.680,,2.000,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Swordfish,,,,,,,1.050,,1.100,5.650,,,15.960,,2.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pelagic coastal piscivores,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,22.700,2.000,2.000,1.050,1.050,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,
19,Amberjack,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,1.670,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
20,Cobia,2.000,2.000,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,,2.000,,2.000,2.000,2.000,2.000,,,,2.000,,,,,2.000,,2.000,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
21,King mackerel (0-1yr),2.000,,,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,,2.000,,,2.000,,,,,,,,,,,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,King mackerel (1+yr),2.000,2.000,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,2.000,2.000,,,,1.050,,,2.000,,2.000,,,2.000,,,,,,,,,,,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spanish mackerel (0-1yr),2.000,,,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.010,2.000,,2.000,,2.000,2.000,,2.000,,2.000,,,2.000,,,,,,,,,2.000,2.000,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spanish mackerel (1+yr),2.000,2.000,,,,5.170,2.000,2.000,2.000,2.000,2.000,2.000,57.520,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,,,2.000,,2.000,,,2.000,,,,,,,,,,,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skates-rays,2.000,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,2.000,,1.010,2.000,,,,,2.000,,2.000,,2.000,,2.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gag grouper (0-3yr),,,,2.000,,2.000,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,,2.000,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
27,Gag grouper (3+yr),,,,,,2.000,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,2.000,1.590,2.000,,2.000,,,,,2.000,,1.050,,2.000,2.000,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
28,Red grouper (0-3yr),,,,2.000,,2.000,2.000,,12.410,,,,2.000,2.000,2.000,2.000,,2.000,1.100,2.000,,2.000,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,14.130,2.000,2.000,,9.880,2.000,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
29,Red grouper (3+yr),,,,,,2.000,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,4.050,1.360,2.000,,2.000,,,,,1.100,,1.050,,2.000,2.000,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
30,Yellowedge grouper (0-3yr),,,,,,,2.000,,2.000,,,,,2.000,2.000,2.000,,,2.000,,,,,,,2.000,2.000,2.000,2.000,2.000,2.000,,,2.000,2.000,,,,2.000,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
31,Yellowedge grouper (3+yr),,,,,,,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,1.050,1.910,2.000,,,,,,,,,,,2.000,,2.000,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
32,Goliath grouper,,,,2.000,,2.000,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,,2.000,,,,2.000,2.000,1.050,2.000,2.000,,2.000,,2.000,2.000,2.000,2.000,,2.000,2.000,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
33,Deep-water grouper,,,,,,,2.000,,2.000,,,,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,,,,,,,,,,,2.000,,2.000,,,,2.000,,,2.000,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
34,Shallow-water grouper,,,,2.000,,2.000,2.000,,2.000,,,2.000,2.000,2.000,2.000,2.000,,2.000,1.080,1.050,,2.000,,,,2.000,2.000,58.120,17.830,2.000,2.000,2.000,2.000,35.240,2.000,2.000,2.000,,1.990,2.000,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
35,Red snapper (0yr),,,,,,2.000,,2.000,2.000,,2.000,,2.000,,2.000,2.000,,2.000,2.000,2.000,,2.000,,,2.000,,,,2.000,,2.000,,,2.000,2.000,2.000,,,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Red snapper (1-2yr),,,,,,2.000,,2.000,2.000,,2.000,,2.000,,2.000,2.000,,2.000,2.000,2.000,,2.000,,,2.000,,,,2.000,,2.000,,,2.000,2.000,2.000,,,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Red snapper (3+yr),,,,,,2.000,,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,2.000,2.000,,2.000,,,2.000,,,,2.000,,2.000,2.000,,1.050,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Vermilion snapper,,,,,,2.000,,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,2.000,,,2.000,,,2.000,2.000,1.100,2.000,12.420,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,,,,2.000,2.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mutton snapper,,,,,,2.000,,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,2.000,,,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,,,2.000,2.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Other snapper,,,,,,2.000,,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,,2.000,1.090,,,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,2.000,2.000,2.000,2.000,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Inshore coastal piscivores,1.050,,,1.050,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,,1.050,,2.000,,2.000,2.000,2.000,2.000,2.000,,2.000,,2.000,,,,,,,,,,,2.000,2.000,2.000,2.000,,2.000,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sea trout,2.000,,,2.000,2.000,6.360,2.000,2.000,2.000,,2.000,2.000,,2.000,2.000,2.000,,2.000,,2.000,,2.000,2.000,2.000,2.000,,,,,,,,,,,,,,,,2.000,2.000,6.640,2.000,,2.000,1.970,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Oceanic piscivores,2.000,2.000,,2.000,,1.050,2.000,2.000,2.000,31.440,1.050,2.000,1.050,2.000,80.660,176.990,1.050,8.580,,2.000,,2.000,,2.000,,,,,,,2.000,,,,1.050,9.090,2.000,2.000,,,,,1.050,10.810,,2.000,2.000,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
44,Benthic piscivores,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,1.010,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.860,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.180,2.000,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,
45,Reef piscivores,,,,,,2.000,2.000,2.000,2.000,2.000,1.050,2.000,2.000,2.000,40.180,2.000,10.350,2.000,,,,2.000,,,,,,,9.800,,2.000,2.000,2.000,1.050,1.050,2.000,2.000,,,,,,2.000,2.000,2.000,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
46,Reef invertebrate feeders,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,201.750,497.670,1.050,2.000,2.770,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,1.050,2.000,2.000,563.000,2.000,20.130,2.000,12.220,2.000,,1.990,2.000,2.000,2.000,2.000,2.000,2.350,2.000,2.000,1.180,2.000,2.000,,,,,,,2.000,,,,,,,,,2.000,,,,2.000,,,,
47,Demersal coastal invertebrate feeders,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,216.110,2.000,1.050,2.000,3.350,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,6.150,2.000,2.000,2.000,2.000,1.050,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.180,2.000,2.000,,2.000,,,,,2.000,,,,,,,,,2.000,,,,,,,,
48,Red drum,2.000,,,,,2.000,,,2.000,,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Benthic coastal invertebrate feeders,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,403.350,2.000,1.050,2.000,2.000,2.000,2.000,2.000,2.000,1.050,2.000,2.000,2.000,113.000,10.550,2.000,2.000,2.000,2.000,30.210,2.000,15.870,13.810,2.000,2.000,2.000,2.000,2.000,17.830,2.000,2.610,2.000,2.000,1.180,2.000,2.000,2.000,2.000,2.000,,,,,,,,,,,,,,,,,,,,,
50,Tilefish,,,,,,,,,,2.000,,,1.050,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,2.000,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
51,Gray triggerfish,2.000,,,,,2.000,2.000,2.000,2.000,2.000,,,2.000,2.000,52.910,2.000,2.000,2.000,2.000,2.000,,2.000,,,,,,,,,,,,,,,,,,2.000,,,44.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Coastal omnivores,2.000,,,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,252.550,2.000,138.010,2.000,1.050,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,1.050,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.180,2.000,,,,,,,,2.000,,,,,,,,,2.000,,,,2.000,,4.890,,2.000
53,Reef omnivores,2.000,,,2.000,,2.000,2.000,2.000,2.000,2.000,,2.000,158.050,2.000,58.440,2.000,44.010,2.000,2.000,2.000,,2.000,,2.000,2.000,2.000,2.000,39.170,9.280,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,,2.000,2.000,21.150,2.000,2.000,,2.000,2.000,1.930,1.180,,2.000,,,,,,,,,,,,,,,,2.000,,,,,,,,
54,Surface pelagics,2.000,2.000,,2.000,,2.000,2.000,2.000,2.000,147.880,,,1.050,2.000,86.660,2.000,1.050,9.320,2.000,,,2.000,,9.480,2.000,,,,,,,,,,,,,,,2.000,2.000,2.000,2.000,2.000,3.630,2.000,2.000,,2.000,,2.000,,,2.000,,,2.000,,,,,,,,,,,,,,,,,
55,Large oceanic planktivores,,,,,,,,,2.000,2.000,,,2.000,,1.050,2.000,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Oceanic planktivores,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,,16.890,2.000,33.580,2.000,1.050,2.000,1.620,,2.000,,,,2.000,,,,,,,,,,2.000,2.000,2.000,,,,,,2.000,2.000,2.000,2.000,2.000,,,2.000,,,,,2.000,2.000,2.000,,,,,,,,,,,,,,,,,
57,Sardine-herring-scad,25.020,32.400,2.000,16.270,2.000,33.700,2.000,2.000,2.000,376.340,1.050,2.000,1357.800,1.050,187.380,2101.690,1.050,1.050,2.320,1.050,2.000,12.400,2.000,14.700,2.000,2.000,1.100,115.000,1.050,2.000,61.160,2.000,2.000,101.000,2.000,2.000,2.000,2.000,2.000,2.000,5.770,1.100,34.410,76.810,4.290,2.000,2.000,,2.000,2.000,,2.000,,1.050,,,2.000,,,,,,,,,25.660,,,,2.000,,,,
58,Menhaden (0yr),,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000,2.000,10.830,,2.000,,,2.000,1.180,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
59,Menhaden (1yr),2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,,,2.000,,,2.000,2.000,2.000,2.000,1.100,2.000,1.050,,2.000,2.000,,,,,,,,,,,,,2.000,2.000,13.800,2.000,2.000,,,2.000,1.180,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
60,Menhaden (2yr),2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,9755.840,1.050,2.000,2.000,2.000,2.000,1.100,2.000,2.000,,2.000,2.000,,,,,,,,,,,,,2.000,2.000,6.250,2.000,2.000,,,2.000,1.180,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
61,Menhaden (3yr),2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.100,2.000,1.050,,2.000,2.000,,,,,,,,,,,,,2.000,2.000,2.000,2.000,2.000,,,2.000,1.180,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
62,Menhaden (4yr),2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.100,2.000,1.050,,2.000,2.000,,,,,,,,,,,,,2.000,2.000,2.000,2.000,2.000,,,2.000,1.180,2.000,,,,,,,,,,,,,,,,,,,,,,,,,
63,Anchovy-silverside-killifish,2.000,2.000,2.000,2.000,2.000,1.050,2.000,1.100,2.000,1.050,2.000,2.000,2.000,2.000,1.050,3910.580,1.050,1.050,1.010,1.050,958.610,1.100,255.710,1.050,2.000,2.000,,2.000,,2.000,,1.050,4.240,1.050,1.050,134.000,176.000,,1.990,2.000,28.740,1.500,67.760,174.000,12.320,2.000,2.000,1.180,2.000,,,2.000,,1.050,,,2.000,,,,,,2.000,,,2.820,,,,2.000,,,,
64,Mullet,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,410.740,2.000,,2.000,3.450,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,,,,,2.000,,,,,,,2.000,2.000,2.000,2.000,2.000,2.000,1.050,,2.000,1.180,,,,,,,,,,,,,,,,,,,,,,2.000,,,,
65,Butterfish,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,127.630,2.000,1.050,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,,,,,,,1.050,,2.000,2.000,2.000,,2.000,2.000,,,2.000,2.000,,,2.000,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,
66,Cephalopod,2.000,1.050,1.050,48.590,2.000,2.000,2.000,2.000,2.000,318.730,1.050,2.000,2997.780,2.000,2355.920,1.050,1.050,1.050,38.460,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,2.000,2.000,2.000,476.000,2.000,2.000,2.000,2.000,1.100,2.000,2.000,47.340,1.050,117.000,2.000,35.080,2.000,1.050,1.180,1.050,2.000,2.000,1.050,,35.040,2.000,2.000,10.530,,,,,,,,,22.370,,,,2.000,,1.050,,
67,Pink shrimp,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.300,1.180,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,,,,,,2.000,,2.000,,,,,2.000,,,,
68,Brown shrimp,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,1.180,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,,,,,,2.000,,2.000,,,,,2.000,,,,
69,White shrimp,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,3691.670,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,6308.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,39.680,2.000,2.000,1.180,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,,,,,,2.000,,2.000,,,,,2.000,,,,
70,Crab,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,795.440,2.000,2.000,2.000,2.000,1.050,,2.000,2.000,2.000,2.000,2.000,2.000,112.000,17.160,2.000,2.000,1.050,1.050,1.050,2.000,2.000,2.000,2.000,1.990,2.000,29.330,1.520,2.000,2.000,3.950,2.000,2.000,1.180,2.000,2.000,2.000,2.000,85.560,2.000,,,2.000,,,,,,,,,,,,,2.000,,,,
71,Sessile epifauna,,,,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,37018.110,2.000,,2.000,2.000,2.000,,,,,2.000,2.000,2.000,2.000,2.000,2.000,732.000,,2.000,4024.000,1.050,2.000,2.000,1.100,2.000,2.000,2.000,2.000,2.000,2.000,431.000,2.000,9.660,1.180,148.000,1.100,1.990,1.050,1.050,2.000,,,25.780,,,,,,18.310,,2.000,,2.000,2.000,2.000,,,2.210,,
72,Mobile epifauna,2.000,,2.000,2.000,2.000,2.000,2.000,1.100,2.000,2.000,1.050,2.000,2.000,2.000,49473.780,194191.700,1.050,2.000,54.670,2.000,2.000,1.100,2.000,2.000,1.100,2.000,2.000,7.240,1.050,1.990,596.000,23.220,17558.000,8552.000,1.050,1.050,3689.000,1.100,1.990,2.000,2.000,1.050,3038.000,2.000,428.000,1.050,21.570,1.180,258.000,1.100,1.990,319.000,3239.000,1.050,2.000,1.050,1.050,1.050,1.050,1.050,2.000,2.000,1.050,1.050,1.050,19.690,2.000,2.000,2.000,96.400,2.000,13.760,,2.000
73,Zooplankton,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,86045.320,2.000,1.050,2.000,1678.290,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,1.050,1.050,2.000,2.000,1553.000,24542.000,2.000,2.000,270.000,14951.000,2.000,1502.000,2.000,92.170,1.180,3.660,2.000,2.000,1.050,6669.000,393.000,2.000,1.050,113.000,9.130,1.050,23.980,118.000,1.050,70.350,1.050,1.050,16.900,,,,,187.000,,3.040,
74,Infauna,2.000,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.050,2.000,2.000,2.000,113089.400,2.000,2.000,2.000,1733.550,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,6735.000,2.000,2.000,2497.000,368135.000,2.000,1.050,1.050,2.000,9782.000,1970.000,1.990,2.000,2.000,151.000,10272.000,2.000,1289.000,1.050,30.910,1.180,670.000,2.100,1.990,147.000,4947.000,2.000,,1.050,1.050,2.000,2.000,2.000,2.000,2.000,66.200,1.050,2.000,1.050,2.000,2.000,2.000,1.100,2.000,4.440,,6.020
75,Algae,2.000,,,,2.000,2.000,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2128495.000,2.000,,2.000,,,,,,,2.000,2.000,,,,,,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,1.050,1.180,1254.000,,2.000,1.520,38157.000,2.000,,,2.000,1.050,1.050,1.050,1.050,2.000,2.000,1.050,2.000,,2.000,1.990,1.050,2.000,,1.050,,
76,Seagrass,,,,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,,2.000,2.000,2.000,2.000,,,2.000,,,2.000,2.000,,2.000,,,,,,,,,,,1.990,2.000,2.000,4448.000,2.000,2.000,99826.000,2.000,3016.000,1.180,21.050,,2.000,65.060,437657.000,2.000,2.000,,2.000,,,,,,5869.000,1.050,2.000,,,,,,,1.050,,
77,Phytoplankton,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,,,,,1.050,,,,,2.000,2.000,2.000,1347.000,,,85440.000,2.000,1.050,,,,2.000,1.050,351432.000,2.000,,,2.210,97.940,82.070,1.050,1266.000,4980.000,2317.000,1.050,1.050,,2.000,1.990,3371.000,,71.490,71.230,5.030,1.050
78,Detritus,2.000,2.000,,2.000,,1.050,2.000,2.000,2.000,10000000000.000,1.050,2.000,1.100,2.000,10000000000.000,5.240,1.050,1.050,2.000,2.000,2.000,2.000,2.000,2.000,1.100,2.000,2.000,934.000,2.000,2.000,2.000,2.000,2.000,10000000000.000,1.050,2.000,10000000000.000,1890000000.000,1.990,1.050,1.050,2.000,10000000000.000,1.050,1.050,1.050,1.050,1.180,4.720,2.000,2.000,10000000000.000,10000000000.000,10000000000.000,,,10000000000.000,1.050,1.050,1.050,1.050,1.050,10000000000.000,1.050,2.000,1.050,2.000,1.990,1.500,10000000000.000,10000000000.000,1.050,149460.000,1.050
