taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Scylla serrata,"Crab, lobster",1.000000,single,high,125460.293,92.758633,55.221127,13.377731,27.235027,96.283275,96.283275,82.590480,295.897518,295.897518,313.590452,47.292261,26.133043,,,,,,,48.061459,357.511777
Balistidae,Med.dem.benth.,1.000000,single,medium,117054.204,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Trichiurus,Lg. piscivores,1.000000,single,medium,103714.709,92.758633,629.814142,64.546074,110.616316,315.097689,315.097689,292.632358,806.383997,806.383997,851.766221,204.799662,89.620936,,,,,,,211.228913,998.356648
Penaeus semisulcatus,Shrimps,1.000000,single,high,101726.789,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Carcharhinus,Sharks,1.000000,single,high,101649.116,92.758633,2211.896778,145.413381,289.661473,829.165832,829.165832,789.681785,2016.586739,2016.586739,2128.697228,561.286115,207.956274,,,,,,,584.414524,2471.733238
Katsuwonus pelamis,Tuna,1.000000,single,high,89077.48,92.758633,1217.891849,98.865180,153.001145,327.693492,327.693492,311.308817,675.870038,675.870038,710.633419,254.942405,107.862693,,,,,,,261.836456,788.138459
Thenus orientalis,"Crab, lobster",1.000000,single,high,81875.773,92.758633,55.221127,13.377731,27.235027,96.283275,96.283275,82.590480,295.897518,295.897518,313.590452,47.292261,26.133043,,,,,,,48.061459,357.511777
Penaeus monodon,Shrimps,1.000000,single,high,80794.781,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Terapon,Med.dem.benth.,1.000000,single,medium,77932.215,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Polynemidae,Sm.dem.benth.,1.000000,single,medium,77893.985,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Cynoglossus,Flatfish,1.000000,single,high,72493.292,92.758633,198.898533,30.634607,45.331490,137.630101,137.630101,132.468972,418.824939,418.824939,443.184514,74.286663,38.351856,,,,,,,77.343250,521.310720
