unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,source_data_status
LME_060,Faroe Plateau,LME,1970,93248.7269388088,93248.7269388088,0.0,1.0,66,66,82666443.34299247,82666443.34299247,82666443.34299247,78335410.86799668,72175250.30530763,available
LME_060,Faroe Plateau,LME,1971,92341.53650645471,92341.53650645471,0.0,1.0,67,67,82559386.78040424,82559386.78040424,82559386.78040424,76504880.36650708,71747019.68467504,available
LME_060,Faroe Plateau,LME,1972,101831.51534127843,101831.51534127843,0.0,1.0,68,68,89187976.21663265,89187976.21663262,89187976.21663263,81552122.3601433,78316817.19338554,available
LME_060,Faroe Plateau,LME,1973,137681.3194498998,137681.3194498998,0.0,1.0,72,72,111202296.16641381,111202296.16641383,111202296.16641383,101118159.27270739,98349619.34192166,available
LME_060,Faroe Plateau,LME,1974,108944.9081523964,108944.9081523964,0.0,1.0,76,76,89343074.21673794,89343074.21673794,89343074.21673794,80753715.10859188,78137486.30203182,available
LME_060,Faroe Plateau,LME,1975,139386.40446402843,139386.40446402843,0.0,1.0,72,72,133699256.92866917,133699256.92866917,133699256.92866915,124427442.38327453,120395925.6466571,available
LME_060,Faroe Plateau,LME,1976,184066.97029234548,184066.97029234548,0.0,1.0,74,74,217262618.40272304,217262618.40272304,217262618.40272304,200957933.87111077,199080159.40123218,available
LME_060,Faroe Plateau,LME,1977,175356.35597017454,175356.35597017454,0.0,1.0,63,63,194848589.1522601,194848589.1522601,194848589.15226007,187470761.4670146,181317676.8264837,available
LME_060,Faroe Plateau,LME,1978,274997.04837269563,274997.04837269563,0.0,1.0,66,66,325107190.0005344,325107190.0005345,325107190.0005344,317708823.1921947,314041616.45502293,available
LME_060,Faroe Plateau,LME,1979,269775.17934102437,269775.17934102437,0.0,1.0,64,64,320678439.78661484,320678439.78661484,320678439.78661484,312594337.68560535,310278016.66840416,available
LME_060,Faroe Plateau,LME,1980,255222.31525706497,255222.31525706497,0.0,1.0,65,65,314201360.9793354,314201360.9793354,314201360.9793354,300612159.26118577,298206968.55682355,available
LME_060,Faroe Plateau,LME,1981,288115.3505225139,288115.3505225139,0.0,1.0,61,61,342758292.80031973,342758292.80031973,342758292.8003198,333149157.2699409,331848750.61631316,available
LME_060,Faroe Plateau,LME,1982,271164.1113209686,271164.1113209686,0.0,1.0,65,65,317951197.19247085,317951197.19247085,317951197.19247085,300641009.98650616,299385736.67980826,available
LME_060,Faroe Plateau,LME,1983,271888.89961792243,271888.89961792243,0.0,1.0,60,60,306476250.6594695,306476250.6594695,306476250.6594695,291660756.56422526,289145992.92456794,available
LME_060,Faroe Plateau,LME,1984,359927.203473562,359927.203473562,0.0,1.0,59,59,407393786.87741256,407393786.87741244,407393786.87741244,386601904.3832745,384343116.10649836,available
LME_060,Faroe Plateau,LME,1985,413452.4538914647,413452.4538914647,0.0,1.0,61,61,476836708.09056276,476836708.0905628,476836708.09056276,454238796.3112528,450744152.24938434,available
LME_060,Faroe Plateau,LME,1986,375531.9088975977,375531.9088975977,0.0,1.0,64,64,427180356.9197858,427180356.9197858,427180356.9197858,391339410.1750404,389555122.21532553,available
LME_060,Faroe Plateau,LME,1987,376964.4364745539,376964.4364745539,0.0,1.0,66,66,404471823.0486903,404471823.04869026,404471823.04869026,352591675.0500842,351061075.5348983,available
LME_060,Faroe Plateau,LME,1988,334168.89194898115,334168.89194898115,0.0,1.0,67,67,352548400.92435336,352548400.9243533,352548400.92435336,307428907.48055714,306976650.20928967,available
LME_060,Faroe Plateau,LME,1989,298596.5910862312,298596.5910862312,0.0,1.0,68,68,307247125.45319736,307247125.4531973,307247125.4531973,270174617.34426826,267855898.67049673,available
LME_060,Faroe Plateau,LME,1990,338546.5404304361,338546.5404304361,0.0,1.0,73,73,340826787.5206456,340826787.5206456,340826787.5206456,303024388.6213856,300372317.7315478,available
LME_060,Faroe Plateau,LME,1991,295623.43479641876,295623.43479641876,0.0,1.0,77,77,300572928.55554575,300572928.55554575,300572928.5555457,268597800.8912221,267459386.44771108,available
LME_060,Faroe Plateau,LME,1992,299179.4634167558,299179.4634167558,0.0,1.0,74,74,314142936.6719469,314142936.67194694,314142936.67194694,278854576.3075396,280190009.1857065,available
LME_060,Faroe Plateau,LME,1993,321711.99800792744,321711.99800792744,0.0,1.0,79,79,321966457.14541674,321966457.1454168,321966457.1454168,277573802.03448284,280468182.23251766,available
LME_060,Faroe Plateau,LME,1994,249830.84920546872,249830.84920546872,0.0,1.0,76,76,237475570.56007546,237475570.5600755,237475570.56007546,197819217.31352088,200057388.20119268,available
LME_060,Faroe Plateau,LME,1995,255768.56793444217,255768.56793444217,0.0,1.0,81,81,276379743.07547116,276379743.07547116,276379743.07547116,266876158.32030666,268956547.7669315,available
LME_060,Faroe Plateau,LME,1996,289449.89420069254,289449.89420069254,0.0,1.0,77,77,325598823.62565017,325598823.6256502,325598823.62565017,313788815.77078253,314298271.9004975,available
LME_060,Faroe Plateau,LME,1997,289826.88549179427,289826.88549179427,0.0,1.0,79,79,323487369.2141569,323487369.21415687,323487369.21415687,311565608.946793,309311415.19652385,available
LME_060,Faroe Plateau,LME,1998,333467.88649659307,333467.88649659307,0.0,1.0,77,77,374333499.29499376,374333499.2949937,374333499.29499364,364110440.407257,360873713.46000767,available
LME_060,Faroe Plateau,LME,1999,419461.6953946652,419461.6953946652,0.0,1.0,86,86,506466113.0636305,506466113.0636304,506466113.0636304,492356175.0824771,490757851.34808576,available
LME_060,Faroe Plateau,LME,2000,514234.28938998777,514234.28938998777,0.0,1.0,80,80,615414398.4606284,615414398.4606284,615414398.4606284,604447628.8044908,602613182.4323134,available
LME_060,Faroe Plateau,LME,2001,650643.0210882524,650643.0210882524,0.0,1.0,71,71,794958876.5216194,794958876.5216193,794958876.5216193,783064986.0905612,780762243.003273,available
LME_060,Faroe Plateau,LME,2002,543644.6083857659,543644.6083857659,0.0,1.0,84,84,640052620.5339404,640052620.5339403,640052620.5339403,627737198.7862809,623191523.7981834,available
LME_060,Faroe Plateau,LME,2003,651932.8415048682,651932.8415048682,0.0,1.0,80,80,795804714.7926886,795804714.7926885,795804714.7926885,783342287.8969889,778807279.1718524,available
LME_060,Faroe Plateau,LME,2004,543826.4790231112,543826.4790231112,0.0,1.0,74,74,658970336.59214,658970336.59214,658970336.5921398,644400242.424067,643347962.1798038,available
LME_060,Faroe Plateau,LME,2005,547715.0849409101,547715.0849409101,0.0,1.0,72,72,636144834.8688626,636144834.8688624,636144834.8688624,617790780.7606044,620057864.5027584,available
LME_060,Faroe Plateau,LME,2006,580486.693583107,580486.693583107,0.0,1.0,74,74,681486478.9841454,681486478.9841454,681486478.9841454,664621002.3617401,667781498.7969575,available
LME_060,Faroe Plateau,LME,2007,516088.32711686013,516088.32711686013,0.0,1.0,73,73,557109093.6047738,557109093.6047738,557109093.6047738,542558325.2763934,545279419.8098055,available
LME_060,Faroe Plateau,LME,2008,351044.53285761835,351044.53285761835,0.0,1.0,82,82,390848618.8427959,390848618.84279585,390848618.8427958,380527265.2385517,382091441.1234604,available
LME_060,Faroe Plateau,LME,2009,292981.27188395895,292981.27188395895,0.0,1.0,83,83,307617580.03978705,307617580.0397871,307617580.0397871,297274619.11743957,300468695.0881072,available
LME_060,Faroe Plateau,LME,2010,280042.8689517992,280042.8689517992,0.0,1.0,76,76,298989322.2276176,298989322.2276177,298989322.2276177,287795081.2228738,291128328.7322896,available
LME_060,Faroe Plateau,LME,2011,134074.34562057024,134074.34562057024,0.0,1.0,69,69,92992825.58448362,92992825.58448362,92992825.58448362,84391246.95019552,87588585.59841137,available
LME_060,Faroe Plateau,LME,2012,231348.6562445705,231348.6562445705,0.0,1.0,80,80,231890524.8365317,231890524.8365317,231890524.8365317,219606416.01556966,222391124.99147952,available
LME_060,Faroe Plateau,LME,2013,303457.0655406881,303457.0655406881,0.0,1.0,80,80,330526777.73989886,330526777.73989886,330526777.73989886,324274382.419381,325889804.4586738,available
LME_060,Faroe Plateau,LME,2014,424837.24772837077,424837.24772837077,0.0,1.0,84,84,524866776.42959625,524866776.4295963,524866776.42959636,515571681.0032422,518231759.2409896,available
LME_060,Faroe Plateau,LME,2015,516677.3313369126,516677.3313369126,0.0,1.0,99,99,647971388.0416324,647971388.0416322,647971388.0416322,641406724.9383633,643202385.3326845,available
LME_060,Faroe Plateau,LME,2016,515554.5916865394,515554.5916865394,0.0,1.0,79,79,644284645.6034286,644284645.6034282,644284645.6034282,636565051.6700697,639133035.1197944,available
LME_060,Faroe Plateau,LME,2017,499902.4912542101,499902.4912542101,0.0,1.0,84,84,619417932.2749345,619417932.2749346,619417932.2749346,612789198.6531112,615105965.7510322,available
LME_060,Faroe Plateau,LME,2018,459275.15962895774,459275.15962895774,0.0,1.0,109,109,522328458.2018007,522328458.20180064,522328458.2018007,513602421.0153242,515552448.8887487,available
LME_060,Faroe Plateau,LME,2019,420222.20101457404,420222.20101457404,0.0,1.0,114,114,476451437.8234684,476451437.8234683,476451437.8234683,464921354.38715464,468250278.9980398,available
