eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_044,Bahamas,LME_006,Southeast U.S. Continental Shelf,619981.826721081,301674.42192889133,45447.48191332631,0.07330453886638251,0.15065076323918136,2.055135542340474,False,False,False
EEZ_044,Bahamas,LME_012,Caribbean Sea,619981.826721081,3262576.84767364,255926.3882773978,0.412796597008213,0.07844302225704952,0.19002826773663742,False,False,False
EEZ_048,Bahrain,LME_032,Arabian Sea,7423.356182623587,3931902.1047515674,7405.216550648655,0.9975564109374958,0.0018833674779694307,0.0018879809275141207,False,False,False
EEZ_050,Bangladesh,LME_034,Bay of Bengal,112185.80624509312,3664559.241537097,109806.93274044056,0.978795236364791,0.029964567497176582,0.030613724284625526,False,False,False
EEZ_052,Barbados,LME_012,Caribbean Sea,184229.9230477758,3262576.84767364,14243.437463011496,0.07731337682488088,0.004365701752946506,0.056467611844649664,False,False,False
EEZ_052,Barbados,LME_017,North Brazil Shelf,184229.9230477758,1054826.778598855,23109.345058963452,0.12543752218237952,0.021908189598352824,0.17465419610648458,False,False,False
EEZ_056,Belgium,LME_022,North Sea,3563.4444389643254,696532.8905595425,3497.8226299905527,0.9815847250889521,0.00502176232795075,0.005115974403020251,False,False,False
EEZ_070,Bosnia & Herzegovina,LME_026,Mediterranean Sea,8.423500003006835,2527801.206996367,8.049444373667589,0.9555937995838163,3.1843660614563343e-06,3.332342741071783e-06,False,False,False
EEZ_076,Brazil (mainland),LME_015,South Brazil Shelf,2412664.317181936,566579.6220120125,557609.8703593346,0.2311178834072697,0.9841685946613736,4.258297022074654,True,True,False
EEZ_076,Brazil (mainland),LME_016,East Brazil Shelf,2412664.317181936,1075217.8820703696,947116.982596266,0.39256061270161563,0.880860519890684,2.243884107039093,False,False,False
EEZ_076,Brazil (mainland),LME_017,North Brazil Shelf,2412664.317181936,1054826.778598855,520509.7121148606,0.21574062682819942,0.49345515555289826,2.2872611561745906,False,False,False
EEZ_084,Belize,LME_012,Caribbean Sea,34287.26243474843,3262576.84767364,33948.2527876345,0.9901126650819937,0.010405349627807568,0.01050925818320471,False,False,False
EEZ_090,Solomon Isl.,LME_040,Northeast Australian Shelf-Great Barrier Reef,1598531.4968482617,1281812.9017148397,199.9353264221019,0.00012507437408415385,0.00015597855674148985,1.2470864466332865,False,False,False
EEZ_092,British Virgin Isl. (UK),LME_012,Caribbean Sea,80973.83009765265,3262576.84767364,1653.925646292676,0.020425434295229437,0.0005069384488129366,0.024818980173720823,False,False,False
EEZ_096,Brunei Darussalam,LME_036,South China Sea,43003.451351345146,3164824.0447257855,42968.62984542821,0.9991902625295714,0.013576941162664606,0.01358794382992978,False,False,False
EEZ_100,Bulgaria,LME_062,Black Sea,34853.710469157086,462205.2642152028,34762.912876961906,0.9973948945184609,0.07521098431448477,0.07540742862013185,False,False,False
EEZ_104,Myanmar,LME_034,Bay of Bengal,498939.3659281432,3664559.241537097,496007.1054981319,0.9941230124735565,0.1353524592742242,0.1361526265622229,False,False,False
EEZ_111,Eritrea,LME_033,Red Sea,78805.68437606614,460970.08083065716,78274.10580671318,0.9932545656628495,0.16980300687989358,0.1709561805704617,False,False,False
EEZ_116,Cambodia,LME_035,Gulf of Thailand,48875.105169272894,387309.2560812747,48722.2470468064,0.9968724748123386,0.12579675358076725,0.12619142042661827,False,False,False
EEZ_120,Cameroon,LME_028,Guinea Current,15340.603212116264,1918690.5432233866,14723.82416032674,0.9597943416395529,0.007673892078287319,0.007995350405148795,False,False,False
EEZ_132,Cape Verde,LME_027,Canary Current,796315.7467094944,1123299.8683993171,34675.69598091593,0.04354515922132838,0.030869491714913308,0.7089075402850625,False,False,False
EEZ_136,Cayman Isl. (UK),LME_012,Caribbean Sea,120299.77201997675,3262576.84767364,120268.45821429986,0.9997397018701607,0.03686302693530622,0.03687262481058668,False,False,False
EEZ_144,Sri Lanka,LME_034,Bay of Bengal,530837.5864557527,3664559.241537097,395604.8393330295,0.7452464735482792,0.1079542758782345,0.14485714419316995,False,False,False
EEZ_152,Chile (mainland),LME_013,Humboldt Current,1961185.5065139579,2559648.0480429977,1573025.8605883648,0.8020790768459463,0.6145477155701293,0.7661934256990527,False,False,False
EEZ_155,Juan Fernandez Islands (Chile),LME_013,Humboldt Current,503102.73879556305,2559648.0480429977,4080.0904086684336,0.008109855292054746,0.0015940044615852184,0.19655152948867904,False,False,False
EEZ_156,China,LME_036,South China Sea,2613096.913290415,3164824.0447257855,1935791.4528600052,0.7408035434944715,0.6116584762701178,0.8256689396824983,False,False,False
EEZ_156,China,LME_047,East China Sea,2613096.913290415,779660.4335896934,368327.17432381824,0.1409542724766454,0.4724199901077131,3.3515833312962395,False,False,False
EEZ_156,China,LME_048,Yellow Sea,2613096.913290415,440467.2676753383,275894.2754332075,0.10558134068047292,0.6263672596815184,5.932556412379066,False,False,False
EEZ_156,China,LME_049,Kuroshio Current,2613096.913290415,1320719.814467396,27845.15545123965,0.010655997988293895,0.021083317707676484,1.9785399481904444,False,False,False
