unit_id,eez_unit_id,eez_name,sau_region_id,area_km2,lme_union_intersection_km2,lme_overlap_fraction_of_eez,hs_union_intersection_km2,hs_overlap_fraction_of_eez,uncovered_by_lme_or_hs_km2,geometry_repaired,flag_add_low_lme_overlap,flag_prefer_eez_candidate,flag_review_110_120,prefer_eez_lme_ids,review_110_120_lme_ids,mostly_contained_lme_ids,mostly_contained_lme_count,max_lme_containment_fraction,max_eez_to_lme_area_ratio,max_eez_to_mostly_contained_lme_area_ratio
EEZ_278,EEZ_278,Germany (Baltic Sea),278,15527.898722394531,15251.1180334079,0.9821752644105377,0.0,0.0,276.77815266692767,True,False,False,False,,,,0,0.03846970383638754,0.039167860595100114,0.0
EEZ_288,EEZ_288,Ghana,288,225676.86432471164,206072.43047817194,0.9131305111616042,0.0,0.0,19604.434078654813,True,False,False,False,,,,0,0.10740264041327462,0.11762025154174997,0.0
EEZ_300,EEZ_300,Greece (without Crete),300,387855.22647616203,386666.84271458525,0.9969360119950587,0.0,0.0,1188.3844793057888,True,False,False,False,,,,0,0.15296568481903608,0.15343581030132783,0.0
EEZ_304,EEZ_304,Greenland (Denmark),304,2279905.916216645,1757732.0768598486,0.770966935239455,170.19964214800584,7.465204635743962e-05,522142.5825593087,True,False,False,False,,,,0,0.6613777810996865,4.742027426293079,0.0
EEZ_308,EEZ_308,Grenada,308,25686.23111047267,25641.31259630884,0.9982512609977446,0.0,0.0,44.9185261414267,False,False,False,False,,,,0,0.007859221037074487,0.007872988839722832,0.0
EEZ_312,EEZ_312,Guadeloupe  (France),312,90549.31835227297,17904.528788659834,0.19773234204816512,0.7683212665220748,8.48511375351274e-06,72644.02110015132,False,False,False,False,,,,0,0.005487848907352649,0.0277539265984918,0.0
EEZ_316,EEZ_316,Guam (USA),316,207707.8662407343,0.0,0.0,0.1172857163018955,5.646667043700737e-07,207707.74856101745,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_324,EEZ_324,Guinea,324,101986.56743171386,101457.45133847129,0.9948119040912241,0.0,0.0,529.1163149614665,True,False,False,False,,,,0,0.05287848616172543,0.053154255537413105,0.0
EEZ_328,EEZ_328,Guyana,328,138655.59958907196,138133.96332562107,0.9962378997675041,287.88176981083217,0.002076236161136051,521.6363677376065,True,False,False,False,,,,0,0.1309541681422867,0.13144869129436648,0.0
EEZ_332,EEZ_332,Haiti,332,117475.29404810692,117095.21354853609,0.9967645920561374,0.0,0.0,380.08078622799434,False,False,False,False,,,,0,0.03589040780205073,0.03600690482796503,0.0
EEZ_334,EEZ_334,Heard & McDonald Isl. (Australia),334,416044.35401642794,0.0,0.0,566.7679177314639,0.0013622776328051898,415477.5898400843,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_344,EEZ_344,Hong Kong (China),344,2062.218966103303,1907.387235383704,0.9249198396171461,0.0,0.0,154.83178073175017,True,False,False,False,,,,0,0.0006026835010187647,0.0006516061989417749,0.0
EEZ_352,EEZ_352,Iceland,352,795723.2675435634,489401.7118933019,0.6150400922724164,89.20667100173651,0.00011210765682034391,306321.55311280454,True,False,False,False,,,,0,0.8485076642727684,1.6550426627659869,0.0
EEZ_356,EEZ_356,India (mainland),356,1655050.8316858804,1631805.7945526564,0.9859550917179105,364.1441344917492,0.00022001990967299894,23245.04416172081,True,False,False,False,,,,0,0.2669570887315023,0.45163707900425987,0.0
EEZ_357,EEZ_357,Andaman & Nicobar Isl. (India),357,660062.0566406576,659199.2647798238,0.9986928625086785,97.41777780195102,0.00014758881656938802,862.7921438613998,True,False,False,False,,,,0,0.17988500699017848,0.18012044918225828,0.0
EEZ_361,EEZ_361,Indonesia (Eastern),361,3605063.517602203,2169628.0792906564,0.6018279757616358,147.57774005345965,4.093623852475599e-05,1435287.862371355,True,False,False,False,,,,0,0.7817480644417429,4.626421127814643,0.0
EEZ_368,EEZ_368,Iraq,368,1139.5025804027696,1130.017865152761,0.9916764424994491,0.0,0.0,9.485096200500498,False,False,False,False,,,,0,0.0002873972533006795,0.0002898094993325801,0.0
EEZ_372,EEZ_372,Ireland,372,427981.0954464815,291366.7216076104,0.6807934385598241,81.00732657680865,0.00018927781492848327,136536.44093634983,True,False,False,False,,,,0,0.38203963379000133,0.5611682077873462,0.0
EEZ_380,EEZ_380,Italy (mainland),380,313880.6871942103,312911.51465259824,0.9969122899842118,0.0,0.0,969.1708930325603,True,False,False,False,,,,0,0.12378802327751558,0.12417142864140639,0.0
EEZ_384,EEZ_384,Côte d'Ivoire,384,170058.23435710688,168592.29301724624,0.9913797685516228,79.17626453495753,0.0004655832446707317,1386.7651705040957,False,False,False,False,,,,0,0.08786841297190759,0.08863244516304868,0.0
EEZ_388,EEZ_388,Jamaica,388,286012.3556760835,285786.0072552433,0.9992086061446362,0.0,0.0,226.3489230919504,False,False,False,False,,,,0,0.08759518031246413,0.08766455750460646,0.0
EEZ_390,EEZ_390,Japan (main islands),390,2583959.1756775146,2276333.0392822586,0.8809477567250665,898.503278910763,0.00034772348083834384,306742.26939942193,True,False,False,False,,,,0,0.8339153026592265,4.835883253262839,0.0
EEZ_393,EEZ_393,Japan (Daito Islands),393,792374.5938506415,124632.03750151751,0.15728929027854469,7.364223333084343,9.293866045473514e-06,667735.1917574422,False,False,False,False,,,,0,0.09436675071902183,0.5999566184824605,0.0
EEZ_396,EEZ_396,Johnston Atoll (USA),396,439835.5026033457,0.0,0.0,681.7717533566583,0.0015500607598097796,439153.7321172923,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_400,EEZ_400,Jordan,400,100.52526667076052,90.72956237777626,0.902554804205921,0.0,0.0,9.79570394451265,False,False,False,False,,,,0,0.0001968231044719513,0.00021807329987581051,0.0
EEZ_404,EEZ_404,Kenya,404,162847.01515204387,152063.6119930169,0.9337820030108693,128.7099490134313,0.0007903733998026299,10654.6929004838,True,False,False,False,,,,0,0.18089005355437215,0.19371764819959436,0.0
EEZ_410,EEZ_410,Korea (South),410,453741.2637617713,452685.4525521006,0.9976730985387631,0.0,0.0,1055.8116276212172,True,False,False,False,,,,0,0.3026861354751003,1.0301361691561994,0.0
EEZ_414,EEZ_414,Kuwait,414,11029.174020879194,10923.506592344374,0.990419279962871,0.0,0.0,105.66758458588693,True,False,False,False,,,,0,0.002778173591642502,0.002805047970942822,0.0
EEZ_422,EEZ_422,Lebanon,422,20200.358913025284,20125.564119722043,0.9962973532487577,0.0,0.0,74.79395965378788,False,False,False,False,,,,0,0.007961687835269305,0.007991276710017932,0.0
