unit_id,region_name,region_type,area_km2,selected,selection_reason,unique_area_vs_other_selected_km2,overlap_area_with_other_selected_km2,overlap_fraction_with_other_selected,marginal_objective_km2,replacement_eligible_lme_ids,review_110_120_lme_ids
EEZ_855,Ascension Isl. (UK),EEZ,441612.2653472578,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,441575.3393767142,36.92597054358339,8.361627029210113e-05,441538.4134061706,,
EEZ_856,Tristan da Cunha Isl. (UK),EEZ,813533.0997511694,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,813382.4918449587,150.6079062107019,0.0001851281850200901,813231.883938748,,
EEZ_872,Wake Isl. (USA),EEZ,407385.60618401907,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,407376.86651245947,8.7396715595969,2.145306909947409e-05,407368.1268408999,,
EEZ_876,Wallis & Futuna Isl. (France),EEZ,261529.35841946694,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,261473.65270708385,55.70571238308912,0.0002129998433818001,261417.94699470076,,
EEZ_882,Samoa,EEZ,131639.5955676337,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,131639.5955676339,-2.0372681319713593e-10,-1.5476104459198625e-15,131639.5955676341,,
EEZ_895,St Paul & Amsterdam Isl. (France),EEZ,508955.7061077079,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,508943.76966493117,11.936442776757758,2.3452812560139967e-05,508931.8332221544,,
EEZ_896,Crozet Isl. (France),EEZ,574374.1488711125,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,574360.5297084965,13.619162615970708,2.3711308461110425e-05,574346.9105458806,,
EEZ_897,Kerguelen Isl. (France),EEZ,567940.6672875901,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,567935.827103101,4.840184489148669,8.522341800710898e-06,567930.9869186118,,
EEZ_898,Clipperton Isl. (France),EEZ,431261.2504463684,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,431257.025605241,4.224841127404943,9.796477478632974e-06,431252.8007641136,,
EEZ_904,St Barthelemy (France),EEZ,4200.286487737598,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,3945.592992716032,254.69349502156592,0.060637172194116594,3690.899497694466,,
EEZ_905,St Martin (France),EEZ,1070.241283917514,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,661.6196379323281,408.62164598518586,0.3818032925149982,252.99799194714228,,
EEZ_909,Sint Maarten (Netherlands),EEZ,479.0622999095295,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,308.12429519856374,170.93800471096574,0.35681790185378237,137.186290487598,,
EEZ_910,South Orkney Islands (UK),EEZ,496680.50276762893,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,492875.3838683839,3805.118899245048,0.007661099797640468,489070.26496913884,,
EEZ_930,Costa Rica (Pacific),EEZ,544937.9862180641,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,350926.5318888948,194011.4543291693,0.35602483078053043,156915.0775597255,,
EEZ_938,Indonesia (Indian Ocean),EEZ,1410011.8441569735,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1121184.1540640865,288827.69009288703,0.2048406127152592,832356.4639711995,,
EEZ_941,Kiribati (Gilbert Islands),EEZ,1050033.9656154083,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1049975.578390235,58.38722517318092,5.5605082392702504e-05,1049917.191165062,,
EEZ_942,Kiribati (Line Islands),EEZ,1637062.5744633037,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,1637056.7212805327,5.853182771010324,3.5754178626490427e-06,1637050.8680977616,,
EEZ_943,Kiribati (Phoenix Islands),EEZ,742995.546763819,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,742987.6846229135,7.862140905461274,1.0581679714912836e-05,742979.822482008,,
EEZ_963,Spain (Northwest),EEZ,288215.5247353311,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,155823.84204556822,132391.6826897629,0.4593495885113699,23432.159355805314,,
EEZ_969,Fernando de Noronha (Brazil),EEZ,363228.6093656739,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,238784.84748278814,124443.76188288577,0.3426045159278856,114341.08559990238,,
EEZ_970,St Paul and St. Peter Archipelago (Brazil),EEZ,411909.0341379875,True,EEZ addition: unique added coverage exceeds 1 x new duplicated area,411632.3633061054,276.6708318820456,0.0006716794460724604,411355.6924742234,,
