path,status,old_bytes,release_bytes,resolution
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/static_manifest.json,only-in-old,2705,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/tl_coverage.csv,only-in-old,10596,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_028/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/annual.csv,only-in-old,12976,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/commercial.csv.gz,only-in-old,50026,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/functional.csv.gz,only-in-old,91653,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/ingestion_audit.csv,only-in-old,4173,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/species.csv.gz,only-in-old,195996,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/static_manifest.json,only-in-old,2651,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/tl_coverage.csv,only-in-old,12594,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_032/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/annual.csv,only-in-old,13104,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/commercial.csv.gz,only-in-old,70949,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/functional.csv.gz,only-in-old,163949,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/ingestion_audit.csv,only-in-old,4032,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/species.csv.gz,only-in-old,2191391,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/static_manifest.json,only-in-old,2630,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/tl_coverage.csv,only-in-old,12716,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_036/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/annual.csv,only-in-old,10755,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/commercial.csv.gz,only-in-old,5023,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/functional.csv.gz,only-in-old,5499,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/ingestion_audit.csv,only-in-old,2257,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/species.csv.gz,only-in-old,5794,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/static_manifest.json,only-in-old,2389,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/tl_coverage.csv,only-in-old,4932,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_037/validation.csv,only-in-old,15070,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/annual.csv,only-in-old,13848,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/commercial.csv.gz,only-in-old,25790,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/functional.csv.gz,only-in-old,32892,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/ingestion_audit.csv,only-in-old,3965,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/species.csv.gz,only-in-old,67843,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/static_manifest.json,only-in-old,2644,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/tl_coverage.csv,only-in-old,12166,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_038/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/annual.csv,only-in-old,12775,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/commercial.csv.gz,only-in-old,33613,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/functional.csv.gz,only-in-old,58706,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/ingestion_audit.csv,only-in-old,3964,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/species.csv.gz,only-in-old,163398,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/static_manifest.json,only-in-old,2835,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/tl_coverage.csv,only-in-old,12438,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_044/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/annual.csv,only-in-old,12576,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/commercial.csv.gz,only-in-old,25688,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/functional.csv.gz,only-in-old,65035,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/ingestion_audit.csv,only-in-old,3979,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/species.csv.gz,only-in-old,113782,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/static_manifest.json,only-in-old,2625,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/tl_coverage.csv,only-in-old,12433,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_048/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/annual.csv,only-in-old,13118,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/commercial.csv.gz,only-in-old,60377,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/functional.csv.gz,only-in-old,113704,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/ingestion_audit.csv,only-in-old,4095,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/species.csv.gz,only-in-old,415786,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/static_manifest.json,only-in-old,2625,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/tl_coverage.csv,only-in-old,12611,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_050/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/annual.csv,only-in-old,12625,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/commercial.csv.gz,only-in-old,35142,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/functional.csv.gz,only-in-old,50994,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/ingestion_audit.csv,only-in-old,3975,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/species.csv.gz,only-in-old,148633,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/static_manifest.json,only-in-old,2686,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/tl_coverage.csv,only-in-old,12375,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_052/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/annual.csv,only-in-old,12724,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/commercial.csv.gz,only-in-old,69132,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/functional.csv.gz,only-in-old,128142,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/ingestion_audit.csv,only-in-old,3956,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/species.csv.gz,only-in-old,403652,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/static_manifest.json,only-in-old,2782,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/tl_coverage.csv,only-in-old,12396,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_056/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/annual.csv,only-in-old,12967,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/commercial.csv.gz,only-in-old,36522,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/functional.csv.gz,only-in-old,61128,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/ingestion_audit.csv,only-in-old,3740,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/species.csv.gz,only-in-old,165444,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/static_manifest.json,only-in-old,2627,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/tl_coverage.csv,only-in-old,12259,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_060/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/annual.csv,only-in-old,13592,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/commercial.csv.gz,only-in-old,53677,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/functional.csv.gz,only-in-old,80017,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/ingestion_audit.csv,only-in-old,3847,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/species.csv.gz,only-in-old,137190,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/static_manifest.json,only-in-old,2691,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/tl_coverage.csv,only-in-old,12365,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_070/validation.csv,only-in-old,22430,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/annual.csv,only-in-old,6721,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/commercial.csv.gz,only-in-old,4223,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/functional.csv.gz,only-in-old,4797,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/ingestion_audit.csv,only-in-old,1002,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/missing_tl.csv.gz,only-in-old,196,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/species.csv.gz,only-in-old,6398,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/static_manifest.json,only-in-old,2024,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/tl_coverage.csv,only-in-old,2729,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/tables/regions/EEZ_074/validation.csv,only-in-old,5150,,carry-up (unique to old tree)
