unit_id,legacy_headline_median_tC_yr,legacy_scaled_median_tC_yr,annual_median_tC_yr,antoinemorel_relative_difference_vs_scaled,vgpm_relative_difference_vs_scaled,eppley_relative_difference_vs_scaled,cbpm_relative_difference_vs_scaled,cafe_relative_difference_vs_scaled,median_relative_difference_vs_scaled,median_percent_change_vs_legacy_headline,note
LME_013,631874285.9925013,681766691.4054654,681766691.405465,-5.245604884496369e-16,-8.232265372283656e-16,-7.212199711382861e-16,-5.729645960345119e-16,-7.10447051253742e-16,-5.245604884496369e-16,7.895938562303817,
LME_014,411903923.3333113,440506228.8487485,440506228.84874856,1.353094255469799e-16,0.0,4.3149670484679997e-16,-2.6700302148192634e-16,2.125570425881802e-16,1.353094255469799e-16,6.943926458377603,
LME_015,157516801.08730757,189411505.69493002,189411505.69493002,1.7736573850876078e-16,1.5376691179024214e-16,3.120120721871058e-16,0.0,-2.4844959753996586e-16,0.0,20.24844612603833,
LME_016,170256937.2197184,182572146.52220783,182572146.52220786,1.6323586568595336e-16,3.8852609660850936e-16,1.6436710284360496e-16,1.623151218508594e-16,1.4898463333012492e-16,1.6323586568595336e-16,7.233308377089243,
LME_017,446754225.7688785,492942528.6709562,492942528.6709562,-1.8042515421902392e-16,-1.5653322523769194e-16,-1.4743534906906523e-16,0.0,0.0,0.0,10.338638167906765,
LME_018,89071610.81684531,122596133.49157731,122596133.49157731,2.88536842394217e-16,0.0,0.0,0.0,0.0,0.0,37.6377190973533,
LME_019,85020065.62851988,110911645.65467082,110911645.65467086,1.638148472958877e-16,-2.0700192771565678e-16,4.030549120218592e-16,0.0,1.2830470998634625e-16,4.030549120218592e-16,30.453493342712367,
LME_020,155191473.052221,201771574.74844936,201771574.74844947,8.389599896887975e-16,8.893196459536398e-16,-1.1900354311085214e-16,1.065496556242935e-15,5.908130999096412e-16,5.908130999096412e-16,30.014601176286625,
LME_021,135215527.15536106,142137556.9598246,142137556.95982465,-2.5393418513878026e-16,-2.70213584618417e-16,0.0,2.1743895348511772e-16,4.1934479563510417e-16,4.1934479563510417e-16,5.119256604687328,
LME_022,172162545.4344741,195637361.6687729,195637361.6687732,6.489840355402383e-16,1.480275536840099e-15,1.5233451388570978e-15,1.4545764848873902e-15,1.7552875837625218e-15,1.5233451388570978e-15,13.635263218871096,
LME_023,166244113.67246142,218538814.51835537,218538814.51835552,6.818542155400998e-16,1.4712856151037665e-15,1.2251997437563964e-15,1.1711885317961908e-15,1.8808485863621222e-15,6.818542155400998e-16,31.4565729219902,
LME_024,162456856.33825475,183284532.49863246,183284532.49863246,-4.923199014471572e-16,0.0,0.0,-5.714156095279712e-16,2.2654220277206193e-16,0.0,12.820435301919165,
LME_025,53037694.09917829,60160452.40220469,60160452.40220469,0.0,0.0,1.2973157377771744e-16,-3.8612533396944915e-16,1.366715236859592e-16,0.0,13.429615340567281,
LME_026,358762384.7102209,409223824.91728646,409223824.9172863,-4.3695875811315307e-16,-3.7851328367007262e-16,-1.5652459068612483e-16,-6.270732552567859e-16,2.1725337690521657e-16,-4.3695875811315307e-16,14.065421113705678,
LME_027,450594629.12586725,472963545.04584086,472963545.04584074,-2.5204752205421493e-16,-4.046998522800813e-16,-5.563875186657238e-16,-4.114488095815004e-16,-1.6225969729735598e-16,-2.5204752205421493e-16,4.9643103743531425,
LME_028,674836657.0345353,712813213.8828053,712813213.8828055,3.087950873050725e-16,3.5772402286371984e-16,1.979295004503374e-16,1.6723776612028495e-16,2.0471371434764972e-16,1.6723776612028495e-16,5.627518370912488,
LME_029,609087190.8474818,631318129.052747,631318129.0527474,4.055907781665456e-16,9.90344067488961e-16,7.246171072827332e-16,5.664780594673271e-16,8.444347079274276e-16,5.664780594673271e-16,3.6498778072041604,
LME_030,509113669.7811796,553758651.4094874,553758651.4094874,0.0,1.2878237364724624e-16,4.04905300655498e-16,0.0,0.0,0.0,8.769157906818027,
LME_031,202591143.05167237,220645099.4910218,220645099.49102187,2.7013808560845003e-16,2.0663580763152072e-16,2.6051126653611e-16,3.805080558597708e-16,3.174071633936671e-16,2.7013808560845003e-16,8.911523064334915,
LME_032,1399430163.7484744,1599715112.5364208,1599715112.5364206,-1.4903814887610771e-16,-2.073450103608312e-16,-2.4407182859766594e-16,0.0,-3.009209993376595e-16,-1.4903814887610771e-16,14.311893081643223,
LME_033,132017236.29687104,167237425.9047926,167237425.90479258,-1.782036659943667e-16,-1.4227636500614114e-16,-2.994069965316189e-16,-3.28566987695233e-16,-3.4706011205741303e-16,-1.782036659943667e-16,26.67847820168032,
