unit_id,ecosystem,region_type,year,method,model,default_model,catch_tonnes,landings_tonnes,discards_tonnes,discard_catch_percent,covered_catch_percent,covered_discard_percent,ppr_total_tC,ppr_landings_tC,ppr_discards_tC,discard_share_of_total_ppr_percent,increase_over_landings_only_percent,npp_ensemble_2019_tC,ppr_total_over_npp_percent,ppr_landings_over_npp_percent,discard_contribution_npp_percentage_points,status
EEZ_086,Chagos Archipelago (UK),EEZ,2019,simple trophic chain,,False,135.2489756326,135.2489756326,0.0,0.0,100.0,,29225.083984547855,29225.083984547855,0.0,0.0,0.0,,,,,available
EEZ_090,Solomon Isl.,EEZ,2019,simple trophic chain,,False,142760.9815038889,129478.7122449928,13282.2692588961,9.303851177665294,100.0,100.0,33859694.25314444,31179598.347361587,2680095.905782861,7.915298601770361,8.595671682248115,219419834.80429947,15.431464654662557,14.210018148619367,1.2214465060431927,available
EEZ_092,British Virgin Isl. (UK),EEZ,2019,simple trophic chain,,False,4102.3911591021,4102.2074307111,0.183728391,0.004478568324533272,100.0,100.0,292965.4084984439,292961.5186403125,3.889858131389911,0.001327753386082976,0.0013277710156075952,7440461.899852444,3.937462652745441,3.937410372951743,5.2279793697580165e-05,available
EEZ_096,Brunei Darussalam,EEZ,2019,simple trophic chain,,False,16692.4609859602,14636.6995963434,2055.7613896168,12.315508128764673,100.0,100.0,1050799.2142724728,868489.6262924599,182309.58798001282,17.349612133678267,20.991567712591294,,,,,available
EEZ_100,Bulgaria,EEZ,2019,simple trophic chain,,False,17051.5126534866,16121.3950552932,930.1175981934,5.454751241692418,100.0,100.0,549730.292182999,528785.0619555905,20945.230227408487,3.810092062461069,3.9610101975928265,,,,,available
EEZ_104,Myanmar,EEZ,2019,simple trophic chain,,False,1333934.8992368774,1261181.9386600063,72752.9605768713,5.45401133282382,100.0,100.0,79982930.02260031,75920309.50479908,4062620.5178012294,5.079359454140126,5.351164325198678,,,,,available
EEZ_111,Eritrea,EEZ,2019,simple trophic chain,,False,10673.4414939733,8166.2291329074005,2507.2123610659,23.490196320292608,100.0,100.0,977409.4891045726,893013.5025045162,84395.98660005638,8.634660041757268,9.450695466906401,,,,,available
EEZ_116,Cambodia,EEZ,2019,simple trophic chain,,False,211746.984487642,208566.1479580369,3180.8365296051,1.5021874041331342,100.0,99.99999999999999,17526311.891705155,17230892.751366124,295419.1403390297,1.685575049470879,1.7144737919374948,,,,,available
EEZ_120,Cameroon,EEZ,2019,simple trophic chain,,False,280509.9182943579,278928.758106734,1581.1601876239,0.563673540400337,100.0,100.0,11235937.926583456,11193043.076822339,42894.849761116864,0.38176474488730133,0.3832277734188311,,,,,available
EEZ_132,Cape Verde,EEZ,2019,simple trophic chain,,False,41113.6989825735,37562.2802016355,3551.418780938,8.638042474464067,100.0,100.0,7587866.861533648,7388409.424631613,199457.43690203538,2.6286364869312075,2.699599134789154,190220914.58846182,3.988976121763376,3.884120439971731,0.10485568179164553,available
EEZ_136,Cayman Isl. (UK),EEZ,2019,simple trophic chain,,False,244.3796527111,244.3796527111,0.0,0.0,100.0,,19390.98727255486,19390.98727255486,0.0,0.0,0.0,,,,,available
EEZ_144,Sri Lanka,EEZ,2019,simple trophic chain,,False,312721.7820648597,296053.1874841825,16668.5945806772,5.330167432091465,100.0,100.0,13777805.831270501,13302468.965387123,475336.86588337884,3.4500186147531613,3.573298063090394,,,,,available
EEZ_152,Chile (mainland),EEZ,2019,simple trophic chain,,False,1654215.5401263882,1649009.9722975667,5205.5678288215,0.31468497922730043,99.99999999999999,100.0,38397308.53112996,37738554.78510974,658753.7460202223,1.715624795644593,1.745572266270627,,,,,available
EEZ_153,Easter Isl. (Chile),EEZ,2019,simple trophic chain,,False,3582.4039295136,3527.5905251674,54.8134043462,1.5300732531756207,100.0,100.0,810813.7408040339,799909.3786858736,10904.36211816043,1.3448664680185671,1.363199683453468,32718336.603822567,2.478163088246071,2.4448351038494365,0.03332798439663478,available
EEZ_154,Desventuradas Isl. (Chile),EEZ,2019,simple trophic chain,,False,21.535833428,21.535833428,0.0,0.0,100.0,,526.7361796935527,526.7361796935527,0.0,0.0,0.0,71238906.78302145,0.0007393939680993126,0.0007393939680993126,0.0,available
EEZ_155,Juan Fernandez Islands (Chile),EEZ,2019,simple trophic chain,,False,42555.5279449449,40936.501478946295,1619.0264659985999,3.804503302351631,100.0,100.0,1126000.0572250385,1050622.2690857695,75377.78813926915,6.694297007855694,7.1745850394796395,95397925.8978005,1.1803192224863661,1.1013051480923157,0.07901407439405038,available
EEZ_156,China,EEZ,2019,simple trophic chain,,False,9568140.597730292,9478611.690425958,89528.90730433281,0.9356980741437937,100.0,100.0,685092067.4387095,680627144.8592688,4464922.5794407055,0.6517259200114957,0.6560012501946134,,,,,available
EEZ_157,Taiwan,EEZ,2019,simple trophic chain,,False,974842.5837373973,950599.4061222287,24243.1776151686,2.4868812687915174,100.0,100.0,72418913.1168694,69947931.41005316,2470981.706816239,3.4120668213130685,3.5326015466142873,,,,,available
EEZ_162,Christmas Isl. (Australia),EEZ,2019,simple trophic chain,,False,25.629903931,25.629903931,0.0,0.0,99.99999999999999,,2504.0418031029626,2504.0418031029626,0.0,0.0,0.0,64543191.57427519,0.003879637405629926,0.003879637405629926,0.0,available
EEZ_166,Cocos (Keeling) Isl. (Australia),EEZ,2019,simple trophic chain,,False,268.594720107,268.594720107,0.0,0.0,100.0,,21390.136557918682,21390.136557918682,0.0,0.0,0.0,74077260.20460929,0.028875442340654672,0.028875442340654672,0.0,available
EEZ_174,Comoros Isl.,EEZ,2019,simple trophic chain,,False,20265.4402931076,20265.3873774916,0.052915616,0.000261112589880403,100.0,100.0,4738432.903567219,4738431.783249134,1.1203180850536383,2.3643219348114708e-05,2.364322493813424e-05,,,,,available
EEZ_175,Mayotte (France),EEZ,2019,simple trophic chain,,False,2674.2376296267,2666.4189076993002,7.8187219274,0.29237199569626227,100.00000000000001,100.0,491112.10071726755,490946.5644117415,165.53630552598423,0.033706419630919096,0.0337177846889166,,,,,available
EEZ_178,"Congo, R. of",EEZ,2019,simple trophic chain,,False,43444.3810041495,41467.3794299717,1977.0015741778,4.550649654759658,100.0,100.0,2221295.616474932,2178082.7454906893,43212.87098424251,1.9453903687442937,1.9839866540289453,,,,,available
EEZ_180,Congo (ex-Zaire),EEZ,2019,simple trophic chain,,False,23378.355883991502,18580.927731309002,4797.4281526825,20.520810686980656,100.00000000000001,100.0,1523517.3432036869,1349624.6924949843,173892.65070870257,11.41389374295124,12.88451905746003,,,,,available
EEZ_184,Cook Islands,EEZ,2019,simple trophic chain,,False,57850.2090052755,49824.4948737479,8025.7141315276,13.873267304523853,100.0,100.0,15264710.062906496,13689486.750658736,1575223.3122477622,10.319379180843935,11.506810598081499,159772068.45841876,9.55405422874599,8.568135145738239,0.9859190830077533,available
EEZ_191,Croatia,EEZ,2019,simple trophic chain,,False,77072.9733877067,74925.01187390651,2147.9615138002,2.7869192265298075,100.0,100.0,2345640.024248346,2243195.359028234,102444.66522011207,4.367450425516173,4.566907862384832,,,,,available
EEZ_192,Cuba,EEZ,2019,simple trophic chain,,False,24306.839375778498,24296.6058958285,10.23347995,0.0421012365770498,100.0,100.0,1415321.3560144722,1415166.7139228086,154.64209166370097,0.010926288295343131,0.010927482263558668,,,,,available
EEZ_197,Cyprus (North),EEZ,2019,simple trophic chain,,False,4715.9276116986,4646.1230209679,69.8045907307,1.4801879180150843,100.0,100.0,1285477.251506631,1282344.8625733766,3132.3889332544745,0.24367517430457744,0.24427040062908484,,,,,available
EEZ_198,Cyprus (South),EEZ,2019,simple trophic chain,,False,2236.2086502549,1737.1881963611,499.02045389380004,22.315469258063995,100.0,100.0,239525.28959932967,222483.90263036938,17041.38696896028,7.114650397653865,7.659604478114771,,,,,available
EEZ_204,Benin,EEZ,2019,simple trophic chain,,False,83987.6435485869,83524.7610400917,462.88250849519994,0.5511316771584646,100.00000000000001,100.0,8726440.864613233,8715886.543151975,10554.321461258254,0.12094646173627666,0.12109291933762868,,,,,available
EEZ_212,Dominica,EEZ,2019,simple trophic chain,,False,1874.1702079981999,1853.9334335408,20.2367744574,1.079772497238385,100.0,100.0,339234.7388647699,338806.2902115827,428.4486531873076,0.1262985785657115,0.12645829359299787,,,,,available
EEZ_214,Dominican Republic,EEZ,2019,simple trophic chain,,False,54410.016272012,54410.016272012,0.0,0.0,100.0,,4134802.6817853893,4134802.6817853893,0.0,0.0,0.0,,,,,available
EEZ_218,Ecuador (mainland),EEZ,2019,simple trophic chain,,False,227592.5966285953,221203.2913425143,6389.305286080999,2.8073432004062964,100.0,100.0,17403891.943452425,17119931.88565469,283960.05779773236,1.631589409543317,1.658651796597807,,,,,available
EEZ_219,Galapagos Isl. (Ecuador),EEZ,2019,simple trophic chain,,False,68947.833359488,66886.2311355147,2061.6022239733,2.990089932520846,100.0,100.0,19796825.310571346,19443265.013682593,353560.2968887519,1.7859444195830405,1.8184203971912374,181623927.5539225,10.89989935642915,10.705233212132836,0.19466614429631418,available
EEZ_222,El Salvador,EEZ,2019,simple trophic chain,,False,19144.4662436629,15845.6485604103,3298.8176832526,17.23118127853033,100.0,100.0,1418131.7433074545,1272332.6617499993,145799.08155745527,10.281067485127554,11.459195062784872,,,,,available
EEZ_226,Equatorial Guinea,EEZ,2019,simple trophic chain,,False,23094.192527557498,20815.4376709436,2278.7548566139003,9.867220314781482,100.00000000000001,100.0,1525953.0553508983,1452182.2146776165,73770.84067328181,4.834410889286365,5.079998909755198,106476792.88653581,1.4331320600320765,1.3638485676640317,0.06928349236804471,available
EEZ_233,Estonia,EEZ,2019,simple trophic chain,,False,79757.3063875073,76218.9431138617,3538.3632736455997,4.4364127048801985,100.0,100.0,1799764.2288214923,1705560.7305395652,94203.4982819271,5.234213280459113,5.523315388020525,,,,,available
EEZ_234,Faeroe Isl. (Denmark),EEZ,2019,simple trophic chain,,False,573325.9947069994,572123.6183095772,1202.3763974222,0.20971949789869188,100.0,100.0,62909943.82906958,62784479.57197112,125464.2570984704,0.199434698971223,0.19983323578345216,,,,,available
EEZ_238,Falkland Isl. (UK),EEZ,2019,simple trophic chain,,False,278214.98085805017,270251.7552264753,7963.2256315749,2.86225623329675,100.0,100.0,26719549.00315546,26550953.296163857,168595.7069916004,0.6309826074223408,0.6349892793339345,99950399.28950584,26.732808666188934,26.564129293029787,0.1686793731591444,available
EEZ_239,South Georgia & Sandwich Isl. (UK),EEZ,2019,simple trophic chain,,False,142823.9584061877,142823.9584060155,1.722e-07,1.2056800688177787e-10,100.0,99.99999999999999,513823.41156158317,513823.41155378864,7.794542648652022e-06,1.5169691519044038e-09,1.5169691519274155e-09,99517422.42441401,0.5163150321260028,0.5163150321181705,7.832339763996775e-12,available
EEZ_242,Fiji,EEZ,2019,simple trophic chain,,False,57561.827748763695,50776.0678415168,6785.7599072469,11.788645657438568,100.0,100.0,8823670.71745625,7354900.470122327,1468770.2473339224,16.64579622659978,19.969954091159764,140810138.36944357,6.266360376910918,5.223274797745937,1.0430855791649816,available
EEZ_246,Finland,EEZ,2019,simple trophic chain,,False,122751.58946063151,121405.2126978486,1346.3767627829,1.0968304106682916,100.0,100.0,3723223.7765222527,3678634.413341412,44589.363180840715,1.197600946309229,1.2121172742560977,,,,,available
EEZ_251,Mozambique Channel Isl. (France),EEZ,2019,simple trophic chain,,False,3801.8421879603998,3791.2731989604,10.568989,0.27799652056757296,100.0,99.99999999999999,1024142.2555997573,1023906.095674473,236.15992528436192,0.023059289272862014,0.023064607807495998,,,,,available
EEZ_252,Tromelin Isl. (France),EEZ,2019,simple trophic chain,,False,20.057971261,19.3791022659,0.6788689951,3.3845346883110183,100.0,99.99999999999999,4514.452232650597,4500.079363730528,14.372868920069262,0.3183745929598736,0.3193914542021382,,,,,available
EEZ_254,French Guiana,EEZ,2019,simple trophic chain,,False,6463.6550972397,4256.717346276,2206.9377509637,34.143804360882,100.0,100.0,544328.7389115891,403764.14379843936,140564.59511314982,25.82347487186058,34.81354084361691,,,,,available
EEZ_258,French Polynesia,EEZ,2019,simple trophic chain,,False,30503.777685111698,26585.3784298369,3918.3992552748,12.845619633489838,100.0,100.0,5302431.650176873,4462776.979471451,839654.6707054229,15.835275701807765,18.814623149841278,425940367.7467483,1.2448765253753886,1.047746895435111,0.1971296299402777,available
EEZ_262,Djibouti,EEZ,2019,simple trophic chain,,False,3605.053587344,3519.118587344,85.935,2.3837371045380786,100.0,100.0,727086.9675181444,725267.5701092759,1819.3974088685732,0.25023105765173415,0.25085878424075203,,,,,available
EEZ_266,Gabon,EEZ,2019,simple trophic chain,,False,158907.5327978865,152208.2028811017,6699.3299167848,4.215866799282344,100.0,99.99999999999999,12569742.639912007,12337425.902254416,232316.73765759158,1.8482219112420737,1.8830243804353093,,,,,available
EEZ_268,Georgia,EEZ,2019,simple trophic chain,,False,350092.2854428537,292512.5959501777,57579.689492676,16.44700322940274,100.0,100.0,6953653.367543895,4746847.934609547,2206805.432934347,31.735913717450867,46.48991211292864,,,,,available
EEZ_270,Gambia,EEZ,2019,simple trophic chain,,False,168306.3027997336,163400.535449678,4905.7673500556,2.9147852863792845,100.0,100.0,5857519.466458196,5583135.227761784,274384.23869641236,4.684307756339757,4.914518948637573,,,,,available
EEZ_274,Gaza Strip,EEZ,2019,simple trophic chain,,False,6410.774318524001,6410.774318524001,0.0,0.0,100.0,,237566.55772683065,237566.55772683065,0.0,0.0,0.0,,,,,available
EEZ_277,Germany (North Sea),EEZ,2019,simple trophic chain,,False,93934.3963977611,76129.9053140239,17804.4910837372,18.954176283142186,100.00000000000001,100.0,2473613.1633338896,1744799.9377595405,728813.2255743487,29.46350853793436,41.770589842535294,,,,,available
