taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Ilisha africana,Côtier pel S inv,1.000000,single,high,715365.881,163.765772,63.371783,61.431046,318.709045,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717,44.410268,180.282129
Lutjanidae,Côtier L pred,1.000000,single,medium,701348.539,163.765772,834.792702,793.737434,7076.977860,5090.744396,9568.388961,8272.995088,19279.704720,19279.704720,19279.704720,6360.723192,2029.298348,19279.704720,-84799.195448,6360.723192,6366.230780,2029.298348,-469234.864873,6996.154043,20790.115719,469.046047,2908.726875
Cynoglossus monodi,Côtier M inv,1.000000,single,high,697298.156,163.765772,170.837609,164.379174,573.174129,332.812451,332.812451,331.190423,425.732264,425.732264,425.732264,368.426453,198.243136,425.732264,425.732264,368.426453,368.498294,198.243136,-2197.047861,402.613215,447.451967,109.967259,314.242463
Rachycentron canadum,Côtier pel L pred,1.000000,single,high,677083.234,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Perciformes,Côtier L pred | Côtier M pred | Disques | Côtier M inv | Côtier S pred | Côtier S inv | Dem L pred | Dem L inv | Dem M pred | Dem M inv | Dem S pred | Dem S inv,0.233760 | 0.000041 | 0.021347 | 0.226684 | 0.049627 | 0.258703 | 0.045643 | 0.006084 | 0.011537 | 0.145730 | 0.000024 | 0.000820,catch_composition,low,663130.919,163.765772,354.067847,337.902487,2691.990120,1848.384274,2898.080220,2529.306872,5472.155195,5472.155195,5472.155195,2102.984041,744.815864,5472.155195,-18867.520232,2102.984041,2104.718580,744.815864,-112631.389431,2317.627791,5897.158448,207.950597,1145.876672
Caranx crysos,Côtier pel L pred,1.000000,single,high,638202.504,163.765772,1052.557933,999.055395,11777.423523,6532.776468,7781.630289,7457.950731,14096.896099,14096.896099,14096.896099,6109.578522,1921.956368,14096.896099,-57719.913078,6109.578522,6113.693041,1921.956368,-289813.586120,6783.158943,15274.306707,579.770625,4535.549158
Scombroidei,Thons majeurs | Thons mineurs | Pel S inv | Côtier L pred | Bathy L pred,0.382945 | 0.128414 | 0.298300 | 0.189490 | 0.000851,catch_composition,low,602457.396,163.765772,1433.367235,1353.951124,9558.524766,4684.023111,5674.940789,3565.569093,9494.334748,9494.334748,9494.334748,2808.212744,918.798847,9494.334748,-29128.509684,2808.212744,2809.869626,918.798847,-116260.573680,3099.379770,10320.396179,748.121096,3816.503605
Engraulidae,Côtier pel S inv,1.000000,single,high,599019.25,163.765772,63.371783,61.431046,318.709045,117.871263,118.151769,106.830226,182.678519,182.678519,182.678519,118.787049,55.817264,182.678519,182.678573,118.787049,118.805172,55.817264,-489.077361,128.847647,189.690717,44.410268,180.282129
Auxis rochei,Thons mineurs,1.000000,single,high,562844.136,163.765772,1395.634937,1321.894731,9241.412090,2965.086479,2997.818641,1727.313722,4278.698550,4278.698550,4278.698550,1413.607110,516.926347,4278.698550,4279.691205,1413.607110,1414.299730,516.926347,-5162.630056,1554.151413,4550.096146,750.381718,3860.227378
Diplodus,Côtier M inv,1.000000,single,medium,557560.791,163.765772,170.837609,164.379174,573.174129,332.812451,332.812451,331.190423,425.732264,425.732264,425.732264,368.426453,198.243136,425.732264,425.732264,368.426453,368.498294,198.243136,-2197.047861,402.613215,447.451967,109.967259,314.242463
Dentex,Côtier L pred | Dem M pred,0.952966 | 0.047034,catch_composition,medium,548413.921,163.765772,836.222704,795.086734,7008.237941,4971.054639,9238.238462,7997.777946,18538.654791,18538.654791,18538.654791,6171.711698,1979.334137,18538.654791,-80644.891517,6171.711698,6177.037068,1979.334137,-447654.680854,6788.218313,19988.742421,469.779539,2885.367314
Dendrobranchiata,Crustacés,1.000000,single,high,542861.24,163.765772,79.649220,77.077782,199.420396,94.919134,94.919134,90.173177,135.651174,135.651174,135.651174,112.097094,63.654470,135.651174,135.651174,112.097094,112.118405,63.654470,-691.708697,122.926325,140.897505,54.734450,122.753568
Penaeus notialis,Crustacés,1.000000,single,high,535244.302,163.765772,79.649220,77.077782,199.420396,94.919134,94.919134,90.173177,135.651174,135.651174,135.651174,112.097094,63.654470,135.651174,135.651174,112.097094,112.118405,63.654470,-691.708697,122.926325,140.897505,54.734450,122.753568
