printed_name,accepted_name,group_name,source_page
Chirocentrus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Exocoetidae,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Exocoetidae,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Exocoetidae,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus dorab,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus dorab,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus dorab,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Fenneropenaeus indicus,Penaeus indicus,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Fenneropenaeus indicus,Penaeus indicus,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus nudus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus nudus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Chirocentrus nudus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Fenneropenaeus merguiensis,Penaeus merguiensis,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Fenneropenaeus merguiensis,Penaeus merguiensis,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 38"
Clams or cockles and arkshells,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Clams or cockles and arkshells,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Clams or cockles and arkshells,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Fistulariidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Fistulariidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Fistulariidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Clupeidae,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeidae,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeidae,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Galeocerdo cuvier,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Clupeiformes,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeiformes,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeiformes,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Gastropoda,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Gastropoda,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Gastropoda,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Clupeoids,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeoids,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Clupeoids,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Gazza minuta,Gazza minuta,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gazza minuta,Gazza minuta,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gazza minuta,Gazza minuta,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Congresox talabonoides,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Congresox talabonoides,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Congresox talabonoides,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gerreidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gerreidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gerreidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Congridae,,ML bathy,"Guenette (2013) Appendix A1.1, p. 38"
Congridae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Congridae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Congridae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gerres,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gerres,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gerres,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gnathanodon speciosus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Gnathanodon speciosus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Gnathanodon speciosus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena hippurus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena hippurus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Coryphaena hippurus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Gobiidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Gymnosarda unicolor,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea madrasensis,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea madrasensis,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Crassostrea madrasensis,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Haemulidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Haemulidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Haemulidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Harpadon nehereus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Harpadon nehereus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Harpadon nehereus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Cynoglossus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 38"
Harpago chiragra,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Harpago chiragra,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Harpago chiragra,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 38"
Dasyatidae,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 38"
Dasyatidae,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Hemiramphidae,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Hemiramphidae,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Hemiramphidae,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
Dasyatis,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 38"
Hemiramphus,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 38"
