taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Cardiidae,Mollusks,1.000000,single,high,63368.616,0.000000,14.497407,1.466668,1.466497,17.850747,17.850747,5.355224,17.186608,17.186608,17.598965,3.995111,2.967513,17.598965,17.186608,3.995111,3.995111,2.967513,2.967513,3.990277,17.941416
Lethrinidae,Benthivores/piscivores,1.000000,single,medium,62949.675,0.000000,136.120059,2.021353,2.039787,36.046055,36.076344,35.535199,34.759886,34.759886,35.313702,13.890783,8.319740,35.313702,34.759886,13.890783,13.890783,8.319740,8.319740,14.220855,35.767132
Chondrichthyes,Sharks | Benthivores,0.017407 | 0.982593,catch_composition,medium,60255.79,0.000000,86.734781,1.845317,1.856032,33.396859,37.813436,34.981647,378.523224,378.523224,384.771695,19.951341,11.433576,384.771695,378.523224,19.951341,19.951341,11.433576,11.433576,20.527001,41.735391
Parapristipoma trilineatum,Planktivores/Benthivores,1.000000,single,medium,50735.141,0.000000,90.847833,1.907611,1.912050,124.271163,124.271163,113.832386,118.840107,118.840107,120.054666,37.420523,24.182504,120.054666,118.840107,37.420523,37.420523,24.182504,24.182504,38.102317,122.241888
Evynnis tumifrons,Omnivores,1.000000,single,medium,42287.885,0.000000,131.221463,2.010770,2.036134,66.044357,68.255823,68.187568,72.544996,72.544996,73.572832,17.500018,10.032554,73.572832,72.544996,17.500018,17.500018,10.032554,10.032554,17.704629,72.854687
Scyllaridae,Crabs,1.000000,single,medium,40680.528,0.000000,21.002175,1.546636,1.565985,12.039474,12.039474,11.028158,11.032425,11.032425,11.257068,7.495998,5.212079,11.257068,11.032425,7.495998,7.495998,5.212079,5.212079,7.536350,11.035506
Xiphias gladius,Piscivores,1.000000,single,low,35796.868,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Epinephelus coioides,Piscivores,1.000000,single,medium,35633.301,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Gobiidae,Benthivores,1.000000,single,medium,33882.463,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
Ariomma indica,Planktivores/piscivores,1.000000,single,medium,31521.954,0.000000,123.077794,1.992402,1.977810,560.299311,592.272682,209.072257,660.166914,660.166914,670.165526,72.857719,43.071646,670.165526,660.166914,72.857719,72.857719,43.071646,43.071646,75.193746,683.804243
Platycaranx talamparoides,Planktivores/piscivores,1.000000,single,medium,29929.006,0.000000,123.077794,1.992402,1.977810,560.299311,592.272682,209.072257,660.166914,660.166914,670.165526,72.857719,43.071646,670.165526,660.166914,72.857719,72.857719,43.071646,43.071646,75.193746,683.804243
Decapterus russelli,Planktivores/piscivores,1.000000,single,high,29675.304,0.000000,123.077794,1.992402,1.977810,560.299311,592.272682,209.072257,660.166914,660.166914,670.165526,72.857719,43.071646,670.165526,660.166914,72.857719,72.857719,43.071646,43.071646,75.193746,683.804243
Panulirus,Crabs,1.000000,single,medium,29277.507,0.000000,21.002175,1.546636,1.565985,12.039474,12.039474,11.028158,11.032425,11.032425,11.257068,7.495998,5.212079,11.257068,11.032425,7.495998,7.495998,5.212079,5.212079,7.536350,11.035506
Niphon spinosus,Piscivores,1.000000,single,medium,28912.863,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Chanos chanos,Omnivores,1.000000,single,low,28554.868,0.000000,131.221463,2.010770,2.036134,66.044357,68.255823,68.187568,72.544996,72.544996,73.572832,17.500018,10.032554,73.572832,72.544996,17.500018,17.500018,10.032554,10.032554,17.704629,72.854687
Istiompax indica,Piscivores,1.000000,single,low,28314.261,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Panulirus longipes,Crabs,1.000000,single,medium,28084.837,0.000000,21.002175,1.546636,1.565985,12.039474,12.039474,11.028158,11.032425,11.032425,11.257068,7.495998,5.212079,11.257068,11.032425,7.495998,7.495998,5.212079,5.212079,7.536350,11.035506
Sillaginidae,Benthivores,1.000000,single,medium,26807.788,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
Lateolabracidae,Benthivores/piscivores,1.000000,single,medium,26535.807,0.000000,136.120059,2.021353,2.039787,36.046055,36.076344,35.535199,34.759886,34.759886,35.313702,13.890783,8.319740,35.313702,34.759886,13.890783,13.890783,8.319740,8.319740,14.220855,35.767132
Ammodytes,Planktivores,1.000000,single,medium,24878.756,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Cypselurus,Planktivores,1.000000,single,medium,24833.102,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Gymnocranius,Benthivores/piscivores,1.000000,single,medium,23372.077,0.000000,136.120059,2.021353,2.039787,36.046055,36.076344,35.535199,34.759886,34.759886,35.313702,13.890783,8.319740,35.313702,34.759886,13.890783,13.890783,8.319740,8.319740,14.220855,35.767132
Muraenidae,Piscivores,1.000000,single,medium,21849.888,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
