taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Pentaceros wheeleri,Unresolved,,,unresolved,67590.722,,,,,,,,,,,,,,,,,,,,
Limanda aspera,Pleuronectidae,1.000000,single,high,61014.086,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Bathylagidae,Bathylagidae,1.000000,single,high,54063.278,0.000000,433.072664,80.403265,90.834756,595.980811,596.660103,82.339094,1635.350237,1635.350237,1661.441813,216.520696,75.945399,1661.441813,1635.350237,216.520696,216.520696,75.945399,75.945399,288.590309,1722.343841
Seriola,Unresolved,,,unresolved,51867.348,,,,,,,,,,,,,,,,,,,,
Thunnus alalunga,Unresolved,,,unresolved,44138.992,,,,,,,,,,,,,,,,,,,,
Loliginidae,Squids,1.000000,single,high,43261.709,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Hippoglossoides elassodon,Pleuronectidae,1.000000,single,high,38210.958,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,1563.239343,2786.139764
Gadidae,Walleye pollock | Juv. pollock | Other Gadidae,0.505102 | 0.432449 | 0.062449,model_biomass,medium,37945.049,0.000000,472.214500,85.463455,148.830842,1277.049753,1391.928805,1020.549982,-27110.768695,-27110.768695,-27559.513334,2305.122701,484.611104,-27559.513334,-27110.768695,2305.122701,2305.122701,484.611104,484.611104,5857.766457,105118.298666
Gastropoda,2nd level benthos | Carnivorous invertebrates,0.783853 | 0.216147,catch_composition,low,36062.372,0.000000,29.453200,10.164646,10.164646,10.971317,10.971317,7.910732,10.347032,10.347032,10.576934,5.769085,3.931470,10.576934,10.347032,5.769085,5.769085,3.931470,3.931470,7.075540,10.914750
Berryteuthis magister,Squids,1.000000,single,high,32710.65,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,147.581283,273.218985
Lutjanidae,Unresolved,,,unresolved,29831.411,,,,,,,,,,,,,,,,,,,,
Clupeidae,Unresolved,,,unresolved,27777.798,,,,,,,,,,,,,,,,,,,,
Holothuroidea,2nd level benthos,1.000000,single,medium,27769.803,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Dendrobranchiata,Crabs and shrimps,1.000000,single,high,26930.721,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Pandalus,Crabs and shrimps,1.000000,single,high,21986.6,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Tetraodontidae,Unresolved,,,unresolved,21764.075,,,,,,,,,,,,,,,,,,,,
Muraenesox cinereus,Unresolved,,,unresolved,21403.087,,,,,,,,,,,,,,,,,,,,
Paralichthys olivaceus,Other bottom fishes,1.000000,single,medium,21142.497,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
Salvelinus malma,Unresolved,,,unresolved,20766.736,,,,,,,,,,,,,,,,,,,,
Mactridae,2nd level benthos,1.000000,single,medium,20332.194,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,3.133370,4.076903
Cyprinidae,Unresolved,,,unresolved,19289.495,,,,,,,,,,,,,,,,,,,,
Paralithodes,Crabs and shrimps,1.000000,single,high,17042.087,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.526950,203.433007
Scorpaeniformes,Cottidae | Other bottom fishes,0.000000 | 1.000000,catch_composition,medium,15485.573,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,3363.787374,6233.035290
