unit_id,model_id,year,method,scope,unidentified_treatment,status,npp_tC_yr,discard_fraction_catch,catch_tonnes,catch_covered_tonnes,catch_ppr_tC_yr,catch_ppr_npp_percent,landings_tonnes,landings_covered_tonnes,landings_ppr_tC_yr,landings_ppr_npp_percent,discards_tonnes,discards_covered_tonnes,discards_ppr_tC_yr,discards_ppr_npp_percent,discard_share_ppr_percent
LME_034,34_1_Bay_of_Bengal_(1978),2019,Ulanowicz_TE,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,298213710.33150893,28.096440904086013,6452157.579298264,6452157.579298264,287427552.072713,27.080214461098226,245568.2060776026,245568.2060776026,10786158.258795984,1.0162264429877905,3.6169223228554994
LME_034,34_1_Bay_of_Bengal_(1978),2019,EwE_TE_noEE,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,356736824.92641616,33.61024249594103,6452157.579298264,6452157.579298264,343819151.14331686,32.3931936296711,245568.2060776026,245568.2060776026,12917673.783099301,1.2170488662699248,3.6210654130713364
LME_034,34_1_Bay_of_Bengal_(1978),2019,EwE_TE_EE,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,308788526.48047674,29.092755582813428,6452157.579298264,6452157.579298264,297451416.55332917,28.024620792038274,245568.2060776026,245568.2060776026,11337109.92714762,1.0681347907751584,3.6714803028358025
LME_034,34_1_Bay_of_Bengal_(1978),2019,SPPR_2015,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,1102542225.8796995,103.8768890244929,6452157.579298264,6452157.579298264,1059130737.1103488,99.78684122819753,245568.2060776026,245568.2060776026,43411488.76935053,4.09004779629536,3.9373991989026313
LME_034,34_1_Bay_of_Bengal_(1978),2019,new_TE_noEEfix,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,1102542225.8796995,103.8768890244929,6452157.579298264,6452157.579298264,1059130737.1103488,99.78684122819753,245568.2060776026,245568.2060776026,43411488.76935053,4.09004779629536,3.9373991989026313
LME_034,34_1_Bay_of_Bengal_(1978),2019,new_TE_EEfix,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,1102542225.8796995,103.8768890244929,6452157.579298264,6452157.579298264,1059130737.1103488,99.78684122819753,245568.2060776026,245568.2060776026,43411488.76935053,4.09004779629536,3.9373991989026313
LME_034,34_1_Bay_of_Bengal_(1978),2019,new_GE,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,756889998.564513,71.31099067149312,6452157.579298264,6452157.579298264,727715670.6140152,68.56230825757468,245568.2060776026,245568.2060776026,29174327.950497724,2.748682413918432,3.8545003905228734
LME_034,34_1_Bay_of_Bengal_(1978),2019,new_WithEgestion,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,223374949.03707558,21.045447736446004,6452157.579298264,6452157.579298264,214889388.1020356,20.245973892388534,245568.2060776026,245568.2060776026,8485560.935039967,0.7994738440574666,3.7987970323527827
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_TE_asPP,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,1102542225.8796995,103.8768890244929,6452157.579298264,6452157.579298264,1059130737.1103488,99.78684122819753,245568.2060776026,245568.2060776026,43411488.76935053,4.09004779629536,3.9373991989026313
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_TE_asDC,all,method,DIVERGED - negative SPPR in a source-model group,1061393189.7977166,0.03666441624316539,6697725.785375867,,,,6452157.579298264,,,,245568.2060776026,,,,
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_GE_asPP,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,756889998.564513,71.31099067149312,6452157.579298264,6452157.579298264,727715670.6140152,68.56230825757468,245568.2060776026,245568.2060776026,29174327.950497724,2.748682413918432,3.8545003905228734
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_GE_asDC,all,method,DIVERGED - negative SPPR in a source-model group,1061393189.7977166,0.03666441624316539,6697725.785375867,,,,6452157.579298264,,,,245568.2060776026,,,,
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_WithEgestion_asPP,all,method,ok,1061393189.7977166,0.03666441624316539,6697725.785375867,6697725.785375867,223374949.03707558,21.045447736446004,6452157.579298264,6452157.579298264,214889388.1020356,20.245973892388534,245568.2060776026,245568.2060776026,8485560.935039967,0.7994738440574666,3.7987970323527827
LME_034,34_1_Bay_of_Bengal_(1978),2019,sym_WithEgestion_asDC,all,method,DIVERGED - negative SPPR in a source-model group,1061393189.7977166,0.03666441624316539,6697725.785375867,,,,6452157.579298264,,,,245568.2060776026,,,,
