model_id,fraction,donor_group_id,offal_group_id,donor_to_offal,offal_to_pelagic,offal_to_benthic
13_2_Northern_Humboldt_Current_(1995-1998),0.3,23,37,0.012153491010000001,0.0012153491010000001,0.010938141909000002
13_2_Northern_Humboldt_Current_(1995-1998),0.3,26,37,0.04487023485,0.004487023485000001,0.040383211365000005
13_2_Northern_Humboldt_Current_(1995-1998),0.3,27,37,0.018389673585000002,0.0018389673585000002,0.0165507062265
13_2_Northern_Humboldt_Current_(1995-1998),0.3,29,37,0.10193130000000002,0.010193130000000002,0.09173817000000002
13_2_Northern_Humboldt_Current_(1995-1998),0.3,30,37,0.004318908435,0.00043189084350000003,0.0038870175915000004
13_2_Northern_Humboldt_Current_(1995-1998),0.4,9,37,2.3303875933000002,0.23303875933000004,2.0973488339700004
13_2_Northern_Humboldt_Current_(1995-1998),0.4,10,37,9.2679951182,0.9267995118200001,8.34119560638
13_2_Northern_Humboldt_Current_(1995-1998),0.4,12,37,0.04218531986,0.004218531986000001,0.037966787874
13_2_Northern_Humboldt_Current_(1995-1998),0.4,13,37,0.014188337815,0.0014188337815000001,0.0127695040335
13_2_Northern_Humboldt_Current_(1995-1998),0.4,14,37,0.675917406,0.0675917406,0.6083256654000001
13_2_Northern_Humboldt_Current_(1995-1998),0.4,15,37,0.69860917828,0.06986091782800001,0.628748260452
13_2_Northern_Humboldt_Current_(1995-1998),0.4,16,37,0.29706166984000004,0.029706166984000006,0.26735550285600007
13_2_Northern_Humboldt_Current_(1995-1998),0.4,17,37,0.1335276054,0.013352760540000001,0.12017484486
13_2_Northern_Humboldt_Current_(1995-1998),0.4,18,37,0.46636590656000004,0.04663659065600001,0.41972931590400003
13_2_Northern_Humboldt_Current_(1995-1998),0.4,19,37,0.0194704,0.00194704,0.017523359999999998
13_2_Northern_Humboldt_Current_(1995-1998),0.4,20,37,0.018533905151999996,0.0018533905151999997,0.016680514636799995
13_2_Northern_Humboldt_Current_(1995-1998),0.4,21,37,0.0016232908620000001,0.00016232908620000003,0.0014609617758000002
13_2_Northern_Humboldt_Current_(1995-1998),0.4,22,37,0.007735692119999998,0.0007735692119999999,0.006962122907999998
13_2_Northern_Humboldt_Current_(1995-1998),0.4,23,37,0.016204654680000003,0.0016204654680000005,0.014584189212000003
13_2_Northern_Humboldt_Current_(1995-1998),0.4,26,37,0.059826979800000006,0.005982697980000001,0.053844281820000006
13_2_Northern_Humboldt_Current_(1995-1998),0.4,27,37,0.024519564780000003,0.0024519564780000006,0.022067608302000004
13_2_Northern_Humboldt_Current_(1995-1998),0.4,29,37,0.1359084,0.013590840000000002,0.12231756000000002
13_2_Northern_Humboldt_Current_(1995-1998),0.4,30,37,0.00575854458,0.000575854458,0.005182690122000001
13_2_Northern_Humboldt_Current_(1995-1998),0.5,9,37,2.912984491625,0.29129844916250003,2.6216860424625
13_2_Northern_Humboldt_Current_(1995-1998),0.5,10,37,11.58499389775,1.158499389775,10.426494507975
13_2_Northern_Humboldt_Current_(1995-1998),0.5,12,37,0.052731649825,0.0052731649825,0.047458484842499996
13_2_Northern_Humboldt_Current_(1995-1998),0.5,13,37,0.01773542226875,0.001773542226875,0.015961880041874998
13_2_Northern_Humboldt_Current_(1995-1998),0.5,14,37,0.8448967575,0.08448967575,0.76040708175
13_2_Northern_Humboldt_Current_(1995-1998),0.5,15,37,0.87326147285,0.087326147285,0.785935325565
13_2_Northern_Humboldt_Current_(1995-1998),0.5,16,37,0.3713270873,0.037132708730000005,0.33419437857
13_2_Northern_Humboldt_Current_(1995-1998),0.5,17,37,0.16690950675,0.016690950675,0.150218556075
13_2_Northern_Humboldt_Current_(1995-1998),0.5,18,37,0.5829573832,0.058295738320000005,0.52466164488
13_2_Northern_Humboldt_Current_(1995-1998),0.5,19,37,0.024338,0.0024338,0.0219042
13_2_Northern_Humboldt_Current_(1995-1998),0.5,20,37,0.023167381439999996,0.0023167381439999995,0.020850643295999997
13_2_Northern_Humboldt_Current_(1995-1998),0.5,21,37,0.0020291135775,0.00020291135775000002,0.00182620221975
13_2_Northern_Humboldt_Current_(1995-1998),0.5,22,37,0.009669615149999998,0.0009669615149999998,0.008702653634999998
13_2_Northern_Humboldt_Current_(1995-1998),0.5,23,37,0.020255818350000003,0.0020255818350000004,0.018230236515000005
13_2_Northern_Humboldt_Current_(1995-1998),0.5,26,37,0.07478372475,0.007478372475000001,0.06730535227500001
13_2_Northern_Humboldt_Current_(1995-1998),0.5,27,37,0.030649455975000003,0.0030649455975000003,0.027584510377500003
13_2_Northern_Humboldt_Current_(1995-1998),0.5,29,37,0.16988550000000002,0.01698855,0.15289695000000003
13_2_Northern_Humboldt_Current_(1995-1998),0.5,30,37,0.007198180725,0.0007198180725,0.006478362652500001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,9,37,4.3694767374375,0.43694767374375004,3.93252906369375
13_2_Northern_Humboldt_Current_(1995-1998),0.75,10,37,17.377490846625,1.7377490846625,15.639741761962501
13_2_Northern_Humboldt_Current_(1995-1998),0.75,12,37,0.07909747473749999,0.00790974747375,0.07118772726375
13_2_Northern_Humboldt_Current_(1995-1998),0.75,13,37,0.026603133403125,0.0026603133403125,0.023942820062812502
13_2_Northern_Humboldt_Current_(1995-1998),0.75,14,37,1.2673451362500001,0.12673451362500002,1.1406106226250001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,15,37,1.309892209275,0.1309892209275,1.1789029883475002
13_2_Northern_Humboldt_Current_(1995-1998),0.75,16,37,0.55699063095,0.055699063095,0.5012915678550001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,17,37,0.250364260125,0.0250364260125,0.22532783411250001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,18,37,0.8744360748,0.08744360748,0.7869924673199999
13_2_Northern_Humboldt_Current_(1995-1998),0.75,19,37,0.036507,0.0036506999999999998,0.0328563
13_2_Northern_Humboldt_Current_(1995-1998),0.75,20,37,0.03475107215999999,0.0034751072159999994,0.03127596494399999
13_2_Northern_Humboldt_Current_(1995-1998),0.75,21,37,0.00304367036625,0.000304367036625,0.0027393033296250003
13_2_Northern_Humboldt_Current_(1995-1998),0.75,22,37,0.014504422724999997,0.0014504422724999997,0.013053980452499997
13_2_Northern_Humboldt_Current_(1995-1998),0.75,23,37,0.030383727525000005,0.003038372752500001,0.027345354772500004
13_2_Northern_Humboldt_Current_(1995-1998),0.75,26,37,0.112175587125,0.0112175587125,0.10095802841250001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,27,37,0.045974183962500005,0.0045974183962500005,0.04137676556625001
13_2_Northern_Humboldt_Current_(1995-1998),0.75,29,37,0.25482825000000003,0.025482825000000004,0.22934542500000005
13_2_Northern_Humboldt_Current_(1995-1998),0.75,30,37,0.010797271087500001,0.00107972710875,0.009717543978750002
13_2_Northern_Humboldt_Current_(1995-1998),1.0,9,37,5.82596898325,0.5825968983250001,5.243372084925
13_2_Northern_Humboldt_Current_(1995-1998),1.0,10,37,23.1699877955,2.31699877955,20.85298901595
13_2_Northern_Humboldt_Current_(1995-1998),1.0,12,37,0.10546329965,0.010546329965,0.09491696968499999
