taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Pterotolithus maculatus,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,1007970.642,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Rastrelliger brachysoma,2-3 Indian mackerel,1.000000,single,high,999158.268,276.665746,120.781790,85.112274,192.146529,101.395560,103.551538,96.717136,293.317418,293.317418,293.317418,271.728732,111.244059,293.317418,263.487421,271.728732,60.624655,111.244059,132.607488,466.304362,427.286877,30.767747,48.426923
Polynemidae,2 L pisc | 3 L pisc | 2 SM inv | 3 SM inv,0.092118 | 0.112802 | 0.252112 | 0.542968,model_biomass,medium,976298.669,276.665746,497.781419,303.811932,1095.751534,300.256473,352.156415,320.786361,1010.836663,1010.836663,1010.836663,791.681783,251.155339,1010.836663,17125.375003,791.681783,1103613.561783,251.155339,1798726826.260244,1293.436300,1364.669930,74.929619,142.652833
Thunnus albacares,Yellowfin tuna,1.000000,single,high,968421.249,276.665746,7345.100997,3834.748855,9823.345812,1880.530271,2274.693646,2047.224281,5882.016048,5882.016048,5882.016048,4117.740330,1090.333002,5882.016048,-1269627.804890,4117.740330,825155.204990,1090.333002,-14280820701585190420480.000000,6516.838262,7809.894595,579.688036,954.472864
Mullidae,2 SM inv | 3 SM inv,0.317090 | 0.682910,model_biomass,medium,940283.532,276.665746,195.237034,132.430212,264.469084,118.913507,136.139541,127.362312,358.406583,358.406583,358.406583,341.418803,140.125818,358.406583,5989.509989,341.418803,178554.604556,140.125818,-299079.478285,574.027146,502.728082,42.955466,65.044787
Saurida tumbil,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,936600.418,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Scomberomorus guttatus,Coastal scombrids,1.000000,single,high,927088.841,276.665746,2151.411916,1228.563684,5449.628126,1746.481623,2058.735989,1231.124121,5799.192784,5799.192784,5799.192784,2889.445671,773.655572,5799.192784,16496946.005748,2889.445671,-17915259.483700,773.655572,-5915900048852866.000000,4649.462240,7908.520493,241.012964,536.974768
Priacanthus,2 SM pisc | 3 SM pisc,0.305599 | 0.694401,model_biomass,medium,913014.392,276.665746,735.917019,452.492682,682.505571,235.544874,314.328392,298.611973,954.928230,954.928230,954.928230,843.700548,294.126635,954.928230,10111.529968,843.700548,668478.011642,294.126635,-16893452.951404,1324.453670,1272.235398,110.428635,131.805708
Marine pelagic fishes not identified,2 S pelagics | 3 S pelagics | 2 Carangids | 3 Carangids,0.182453 | 0.430631 | 0.117772 | 0.269144,model_biomass,medium,888209.162,276.665746,491.216771,303.545359,984.281548,297.657600,356.959553,341.747874,979.496059,979.496059,979.496059,787.853017,245.687577,979.496059,668899.957231,787.853017,6116715.910736,245.687577,137375765.447534,1264.835795,1301.860609,76.526741,143.510816
Batoidea,Coastal elasmobranch,1.000000,single,medium,859915.397,276.665746,1214.104792,722.888243,10121.435398,2496.053382,2721.712560,2569.296656,17002.234886,17002.234886,17002.234886,9185.440402,1863.771432,17002.234886,111559561.583727,9185.440402,-6478612.295953,1863.771432,12995984252063950848.000000,15257.306447,23728.582321,160.121668,658.771560
Parapenaeopsis,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,825731.486,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Sphyraena,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,795466.491,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Sepiidae,Cephalopods,1.000000,single,high,793464.904,276.665746,990.119511,598.369015,1346.888416,377.016205,457.659002,411.893102,1154.963068,1154.963068,1154.963068,883.487560,288.738455,1154.963068,-30007.429063,883.487560,-4635.736133,288.738455,-68084.421791,1393.890949,1512.449191,138.403273,209.479831
Trichiurus lepturus,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,790742.026,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Alepes,2 Carangids | 3 Carangids,0.304387 | 0.695613,model_biomass,medium,766760.554,276.665746,1047.559324,629.821299,2238.505040,641.128381,754.920494,726.746267,2160.615050,2160.615050,2160.615050,1714.802766,507.968664,2160.615050,1782592.482977,1714.802766,15448395.144238,507.968664,363121069.828352,2799.375544,2890.556852,143.635600,294.157869
Euthynnus affinis,Coastal scombrids,1.000000,single,high,761505.631,276.665746,2151.411916,1228.563684,5449.628126,1746.481623,2058.735989,1231.124121,5799.192784,5799.192784,5799.192784,2889.445671,773.655572,5799.192784,16496946.005748,2889.445671,-17915259.483700,773.655572,-5915900048852866.000000,4649.462240,7908.520493,241.012964,536.974768
Trichiurus,2 L pisc | 3 L pisc,0.449531 | 0.550469,model_biomass,medium,761359.093,276.665746,1671.644897,968.768055,4321.103431,1003.861945,1190.295649,1071.266084,3542.246528,3542.246528,3542.246528,2538.689141,681.946673,3542.246528,60332.209612,2538.689141,4692815.596611,681.946673,8778895377.827705,4084.723039,4708.979406,198.988407,443.769811
Portunus pelagicus,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,737898.839,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Penaeus merguiensis,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,729485.106,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Metapenaeus,2 Crustaceans | 3 Crustaceans,0.212999 | 0.787001,model_biomass,medium,710501.801,276.665746,87.346446,62.825827,62.583797,49.059783,49.059783,45.848307,88.616835,88.616835,88.616835,112.736869,69.749027,88.616835,88.616835,112.736869,18.000131,69.749027,77.336753,138.030843,98.463929,24.163479,23.495104
Tegillarca granosa,2 Macrobenthos | 3 Macrobenthos,0.363211 | 0.636789,model_biomass,medium,709404.924,276.665746,43.212782,32.623281,41.368719,34.461512,34.461512,31.432014,106.719149,106.719149,106.719149,113.412456,57.717594,106.719149,106.719149,113.412456,25.029149,57.717594,63.584441,206.884057,165.070073,14.477738,16.337529
Setipinna taty,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,675728.339,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Loliginidae,Cephalopods,1.000000,single,high,673711.353,276.665746,990.119511,598.369015,1346.888416,377.016205,457.659002,411.893102,1154.963068,1154.963068,1154.963068,883.487560,288.738455,1154.963068,-30007.429063,883.487560,-4635.736133,288.738455,-68084.421791,1393.890949,1512.449191,138.403273,209.479831
Lethrinidae,2 L pisc comm | 3 L pisc comm,0.479099 | 0.520901,model_biomass,medium,668938.579,276.665746,942.008432,569.455705,2134.327853,640.479051,809.758325,735.799922,2161.826618,2161.826618,2161.826618,1597.141175,484.321234,2161.826618,-1582279.837302,1597.141175,18597729.236262,484.321234,-731199951.695844,2522.004884,2847.344437,132.205276,267.681374
Setipinna phasa,2 S pelagics | 3 S pelagics,0.297599 | 0.702401,model_biomass,medium,662986.142,276.665746,140.109476,97.632900,192.742209,80.893492,105.806754,98.775728,234.092906,234.092906,234.092906,202.855848,80.162213,234.092906,-33950.413664,202.855848,227501.375555,80.162213,-5091897.075108,296.389113,299.235812,34.174400,48.437594
Auxis thazard,Coastal scombrids,1.000000,single,high,640115.441,276.665746,2151.411916,1228.563684,5449.628126,1746.481623,2058.735989,1231.124121,5799.192784,5799.192784,5799.192784,2889.445671,773.655572,5799.192784,16496946.005748,2889.445671,-17915259.483700,773.655572,-5915900048852866.000000,4649.462240,7908.520493,241.012964,536.974768
